"msp_prior_lbounds","msp_prior_ubounds"
0.0146432224862712,0.0714535499855487
0.0157195145022955,0.0709952684437169
0.0165986818588332,0.0701480830008255
0.0181985572660962,0.0708948422639921
0.019557246000488,0.0720581933707434
0.0211173897644895,0.0724616601146897
0.0220491767301906,0.0734886071013039
0.0225933554966081,0.073885332840494
0.0240562688216192,0.0754750689783883
0.0294972176896829,0.082309816470498
0.03456592738533,0.0911487824269402
0.0348761807433654,0.0913533919661581
0.0352524919659022,0.0917459933237779
0.0367800814112263,0.0942901685057386
0.0367969017416546,0.0937555422351234
0.0342746850122525,0.181551149480098
0.0405877279773539,0.185868245602211
0.0427991794920394,0.184728594642406
0.0454140261691605,0.184627398171915
0.0579363693356664,0.199231666928136
0.0599879510393403,0.199159410582374
0.0591682233369816,0.196789629636386
0.0586170826226672,0.194824425349153
0.0599719472601978,0.194291162720907
0.0728772653327019,0.210954367333649
0.0938615772264014,0.235711240900267
0.105086215155768,0.246163205837777
0.105734316886228,0.243978651796407
0.105927627057101,0.24085837147877
0.121802509335979,0.256269664604971
0.0165818179005888,0.0769507845144514
0.0441506904295339,0.127070457468568
0.0473843075734596,0.134304544033225
0.0520962382314621,0.146659199838554
0.0531731642277336,0.149176235317249
0.0583383943608046,0.157794704653293
0.0609492952648082,0.161919862178003
0.066932777620493,0.172799824456574
0.0972430335332534,0.226555638118086
0.103869382077963,0.237853584209275
0.107316250566129,0.243526197862188
0.13004014227973,0.290238490157739
0.131774490030219,0.293708253661182
0.138584342012703,0.306237726207647
0.140137011478381,0.308797329494877
0.0242407622622108,0.132072435064267
0.0289572800834202,0.136477076850886
0.0302313705352175,0.136457579503728
0.0376784695386435,0.142597099763407
0.0381491100370218,0.140905579905389
0.0433993246927605,0.14339429133533
0.0454962643869892,0.142149293682235
0.0465646239824671,0.139208551763724
0.0528426030881916,0.14397197822429
0.0566667039181226,0.145825165202109
0.0640436556787842,0.151182661942904
0.0648648965309201,0.148369704273504
0.0662896112630884,0.145892246580511
0.0665156162812211,0.142046153283996
0.0666345725087767,0.138150582230624
0.00760228272454757,0.0272777334295548
0.013345145210671,0.0437665610908821
0.0173126172582331,0.054590697381012
0.0203736036759013,0.0633543005833886
0.0221031763890056,0.0678689766817965
0.029103664447669,0.0847223312816775
0.0349397068755451,0.0979073663806017
0.0445355213528346,0.119865755761136
0.0566732843675213,0.14681669913792
0.0619851552906985,0.158284767336417
0.0663726077107338,0.170664099469034
0.0712059017911856,0.184692931592627
0.0753013495070264,0.196678505270718
0.077613909937955,0.203391725962056
0.0784523897851523,0.205779988320313
0.0122758669249736,0.0745637204649524
0.0161492835401385,0.0761519858092822
0.0167702968342382,0.0751946739053797
0.0210392171847428,0.0771982036785666
0.0235592981526565,0.0776696235142489
0.0261010479543694,0.0781691781564679
0.0279326197498981,0.0780240946717412
0.0315531902946274,0.0793449812131716
0.03176925428666,0.0781342370738166
0.0321132717862638,0.0771225335711288
0.0336265451759062,0.0785585181902985
0.0352781118904255,0.0799358026864289
0.0359184720375965,0.0798943066129574
0.0366388941438574,0.0816939069382559
0.036772962138906,0.082483100676091
0.191456517172339,0.519409810834745
0.197169481667046,0.516722430995218
0.191538687628709,0.505717280108306
0.186417458751201,0.495477649490874
