"foi_prior_lbounds","foi_prior_ubounds"
0.0014984325,0.007955689
0.0008564488,0.0046421793
0.000622839646,0.0037746245
0.001370321,0.00741194
0.00153187474,0.00792664
0.0015278275,0.0037025732
0.0009869434,0.0023181496
0.0006542908,0.00150526
0.00125351671,0.00299716657
0.004343487,0.00990163
0.004978808,0.01057218
0.00055695823,0.001215801
0.00067266485,0.0015390366
0.00181011279,0.0040025867
0.0004528928,0.001001435006
0.0028207261,0.01321718
0.0037110879,0.017993266
0.00153825774,0.0077227052
0.0017421433,0.007926899
0.007894667,0.0345478
0.0018734404,0.0064520443
0.00023539978,0.0008162756
0.0004096844,0.0014358901
0.0014205848,0.0046528635
0.01198435,0.03905435
0.02107374,0.04176453
0.0110076037,0.0201062122
0.00149427387,0.0027651809
0.001452836,0.0026496611
0.0156814,0.02962265
0.0100065992,0.0271105333652
0.02619412488419,0.06703662384
0.0031022198,0.00845371
0.00495283165,0.014516941
0.00106118035,0.003086534
0.00502049818,0.0134548472
0.0022033359,0.0059861001
0.005806801,0.015451001
0.033144743,0.07100435
0.005817649,0.016763353
0.0028469422,0.007675910263
0.0223699203369,0.064056929
0.0015573914,0.0053365938
0.006219184,0.019627542
0.001567533,0.0051406284
0.00725345,0.01397891
0.005260479,0.0098360271
0.0019537294,0.003694969
0.00718865927,0.0128644573
0.000779554,0.00163814661
0.003369227,0.010505718
0.0013011444,0.00435505959
0.00088037444,0.0028112789
0.005277873,0.01631544
0.004163588,0.01245677
0.007729892,0.01707565
0.0014900551,0.0035961743
0.0019604209,0.0047389959
0.00088516843,0.00224098487
0.0009119703,0.0020541013
0.0033056006,0.01056414782
0.0059252603,0.018639711
0.0040711221,0.013700561078
0.0032247665,0.0108112378
0.0016653802,0.005436447
0.006906584,0.01891308641
0.00558522565,0.015389147
0.0091292947,0.02706401
0.011320579,0.03299447
0.0049827738,0.014608925
0.003130114,0.015152485
0.00351517343,0.017521389
0.0029019389,0.0157321364
0.0016878321,0.00950361624
0.0007164626,0.00353263551
5.2895638e-05,0.000428012342
0.00296298466,0.005951703
0.00073310584,0.0015402914121
0.003668893,0.00700545
0.00221455913,0.0044166879
0.0020960939,0.005288002
0.00153868346,0.003831053
0.002789342,0.0068344
0.00078977794,0.00213104544
0.0009417603,0.00237544687
0.002029951,0.006688762
0.00183275,0.00644707
0.0012199191,0.0040276525
0.00117577,0.0040705043
0.0007094982,0.0027068103
0.00309652507,0.0189729642
0.011565927,0.06832006
0.00438809565,0.02763394181
0.004072306,0.025393181
0.0035691249,0.0208272423461
0.0030481869,0.023741365
0.0050968884,0.0435228
0.011925694,0.0936007
0.008799781,0.07216962
0.0035583015,0.032032995
0.010233726,0.05366858
