state,ageGroup,year,age,cohort,numpop
51,From 0 to 4 years,2000,0,2000,55123.121990379885
51,From 0 to 4 years,2000,1,1999,54954.89951344383
51,From 0 to 4 years,2000,2,1998,55018.94680649216
51,From 0 to 4 years,2000,3,1997,55278.14750338043
51,From 0 to 4 years,2000,4,1996,55613.88418630372
51,From 0 to 4 years,2001,0,2001,54467.57121485723
51,From 0 to 4 years,2001,1,2000,54294.49359443469
51,From 0 to 4 years,2001,2,1999,54398.89740527104
51,From 0 to 4 years,2001,3,1998,54709.665098177626
51,From 0 to 4 years,2001,4,1997,55126.37268725941
51,From 0 to 4 years,2002,0,2002,53572.0694542059
51,From 0 to 4 years,2002,1,2001,53464.77645313519
51,From 0 to 4 years,2002,2,2000,53605.685470302684
51,From 0 to 4 years,2002,3,1999,53946.7071237424
51,From 0 to 4 years,2002,4,1998,54379.761498613814
51,From 0 to 4 years,2003,0,2003,52861.813089324714
51,From 0 to 4 years,2003,1,2002,52813.529650747645
51,From 0 to 4 years,2003,2,2001,52965.43806075095
51,From 0 to 4 years,2003,3,2000,53297.269501921495
51,From 0 to 4 years,2003,4,1999,53718.949697255186
51,From 0 to 4 years,2004,0,2004,52562.3664278457
51,From 0 to 4 years,2004,1,2003,52534.68666383296
51,From 0 to 4 years,2004,2,2002,52710.711666027404
51,From 0 to 4 years,2004,3,2001,53026.29052685663
51,From 0 to 4 years,2004,4,2000,53413.94471543729
51,From 0 to 4 years,2005,0,2005,52850.899898645075
51,From 0 to 4 years,2005,1,2004,52841.36954213259
51,From 0 to 4 years,2005,2,2003,53024.27077379285
51,From 0 to 4 years,2005,3,2002,53325.64515320496
51,From 0 to 4 years,2005,4,2001,53673.814632224516
51,From 0 to 4 years,2006,0,2006,53501.7502567888
51,From 0 to 4 years,2006,1,2005,53496.6013460364
51,From 0 to 4 years,2006,2,2004,53678.622971520264
51,From 0 to 4 years,2006,3,2003,53967.823609690626
51,From 0 to 4 years,2006,4,2002,54285.201815963876
51,From 0 to 4 years,2007,0,2007,53810.41911409574
51,From 0 to 4 years,2007,1,2006,53792.017969465276
51,From 0 to 4 years,2007,2,2005,53965.23680354218
51,From 0 to 4 years,2007,3,2004,54252.616289292535
51,From 0 to 4 years,2007,4,2003,54575.70982360429
51,From 0 to 4 years,2008,0,2008,53877.969361778094
51,From 0 to 4 years,2008,1,2007,53822.813827134196
51,From 0 to 4 years,2008,2,2006,53983.17363084291
51,From 0 to 4 years,2008,3,2005,54274.63457937866
51,From 0 to 4 years,2008,4,2004,54613.40860086616
51,From 0 to 4 years,2009,0,2009,53852.131839018024
51,From 0 to 4 years,2009,1,2008,53744.10144069906
51,From 0 to 4 years,2009,2,2007,53880.30112420899
51,From 0 to 4 years,2009,3,2006,54173.30126690708
51,From 0 to 4 years,2009,4,2005,54526.16432916685
51,From 0 to 4 years,2010,0,2010,53213.58148104709
51,From 0 to 4 years,2010,1,2009,53042.9237778667
51,From 0 to 4 years,2010,2,2008,53140.915745309685
51,From 0 to 4 years,2010,3,2007,53422.57502775308
51,From 0 to 4 years,2010,4,2006,53788.00396802342
51,From 0 to 4 years,2011,0,2011,52330.89285881447
51,From 0 to 4 years,2011,1,2010,52095.885121923966
51,From 0 to 4 years,2011,2,2009,52140.002879991174
51,From 0 to 4 years,2011,3,2008,52384.083850754614
51,From 0 to 4 years,2011,4,2007,52728.13528851578
51,From 0 to 4 years,2012,0,2012,52056.46839540649
51,From 0 to 4 years,2012,1,2011,51760.20704816674
51,From 0 to 4 years,2012,2,2010,51734.39173102899
51,From 0 to 4 years,2012,3,2009,51906.981149622916
51,From 0 to 4 years,2012,4,2008,52185.95167577488
51,From 0 to 4 years,2013,0,2013,52318.37673683016
51,From 0 to 4 years,2013,1,2012,51971.145489371855
51,From 0 to 4 years,2013,2,2011,51861.86104566327
51,From 0 to 4 years,2013,3,2010,51923.06174662055
51,From 0 to 4 years,2013,4,2009,52085.55498151418
51,From 0 to 4 years,2014,0,2014,53009.35776673095
51,From 0 to 4 years,2014,1,2013,52624.1583824999
51,From 0 to 4 years,2014,2,2012,52430.64608334491
51,From 0 to 4 years,2014,3,2011,52336.80256217809
51,From 0 to 4 years,2014,4,2010,52339.035205246124
51,From 0 to 4 years,2015,0,2015,54313.595240317685
51,From 0 to 4 years,2015,1,2014,53897.234405375515
51,From 0 to 4 years,2015,2,2013,53584.00901117646
51,From 0 to 4 years,2015,3,2012,53342.5216788559
51,From 0 to 4 years,2015,4,2011,53158.63966427442
51,From 0 to 4 years,2016,0,2016,55527.493164611595
51,From 0 to 4 years,2016,1,2015,55099.76282428238
51,From 0 to 4 years,2016,2,2014,54684.93312062407
51,From 0 to 4 years,2016,3,2013,54281.700726467585
51,From 0 to 4 years,2016,4,2012,53898.110164014375
51,From 0 to 4 years,2017,0,2017,56594.1972223932
51,From 0 to 4 years,2017,1,2016,56173.37409120623
51,From 0 to 4 years,2017,2,2015,55676.10985560034
51,From 0 to 4 years,2017,3,2014,55130.77097241444
51,From 0 to 4 years,2017,4,2013,54564.54785838581
51,From 0 to 4 years,2018,0,2018,57598.4410832592
51,From 0 to 4 years,2018,1,2017,57193.946875481
51,From 0 to 4 years,2018,2,2016,56628.5983908431
51,From 0 to 4 years,2018,3,2015,55992.44467727391
51,From 0 to 4 years,2018,4,2014,55286.56897314282
51,From 0 to 4 years,2019,0,2019,57896.58909567652
51,From 0 to 4 years,2019,1,2018,57511.81640425351
51,From 0 to 4 years,2019,2,2017,56945.69397911365
51,From 0 to 4 years,2019,3,2016,56250.29672608438
51,From 0 to 4 years,2019,4,2015,55466.60379487195
51,From 0 to 4 years,2020,0,2020,57699.18014621744
51,From 0 to 4 years,2020,1,2019,57300.805396801545
51,From 0 to 4 years,2020,2,2018,56753.611046602804
51,From 0 to 4 years,2020,3,2017,56088.54870990334
51,From 0 to 4 years,2020,4,2016,55287.854700474854
51,From 0 to 4 years,2021,0,2021,57850.03888583442
51,From 0 to 4 years,2021,1,2020,57496.42166602349
51,From 0 to 4 years,2021,2,2019,56969.27508699523
51,From 0 to 4 years,2021,3,2018,56306.59002974089
51,From 0 to 4 years,2021,4,2017,55550.67433140596
51,From 5 to 9 years,2000,5,1995,54891.68883549464
51,From 5 to 9 years,2000,6,1994,55255.098640568984
51,From 5 to 9 years,2000,7,1993,55586.267489925485
51,From 5 to 9 years,2000,8,1992,55820.738127686636
51,From 5 to 9 years,2000,9,1991,55939.20690632426
51,From 5 to 9 years,2001,5,1996,54971.28312545955
51,From 5 to 9 years,2001,6,1995,55391.13156167609
51,From 5 to 9 years,2001,7,1994,55773.62315934139
51,From 5 to 9 years,2001,8,1993,56051.2328425336
51,From 5 to 9 years,2001,9,1992,56207.729310989365
51,From 5 to 9 years,2002,5,1997,55147.15704247492
51,From 5 to 9 years,2002,6,1996,55589.1592333653
51,From 5 to 9 years,2002,7,1995,55971.72488016602
51,From 5 to 9 years,2002,8,1994,56268.02302621801
51,From 5 to 9 years,2002,9,1993,56459.93581777572
51,From 5 to 9 years,2003,5,1998,55339.43326642139
51,From 5 to 9 years,2003,6,1997,55758.96220851418
51,From 5 to 9 years,2003,7,1996,56116.17088551816
51,From 5 to 9 years,2003,8,1995,56423.513682679484
51,From 5 to 9 years,2003,9,1994,56651.91995686679
51,From 5 to 9 years,2004,5,1999,55412.37713674373
51,From 5 to 9 years,2004,6,1998,55795.37295026573
51,From 5 to 9 years,2004,7,1997,56130.804991992685
51,From 5 to 9 years,2004,8,1996,56428.67905441239
51,From 5 to 9 years,2004,9,1995,56692.7658665855
51,From 5 to 9 years,2005,5,2000,55302.41245246106
51,From 5 to 9 years,2005,6,1999,55635.9199558311
51,From 5 to 9 years,2005,7,1998,55942.02525990058
51,From 5 to 9 years,2005,8,1997,56237.33124806707
51,From 5 to 9 years,2005,9,1996,56538.31108374019
51,From 5 to 9 years,2006,5,2001,54741.621519196924
51,From 5 to 9 years,2006,6,2000,55046.99568016431
51,From 5 to 9 years,2006,7,1999,55332.776750151796
51,From 5 to 9 years,2006,8,1998,55630.83622430268
51,From 5 to 9 years,2006,9,1997,55965.76982618431
51,From 5 to 9 years,2007,5,2002,53955.690911056125
51,From 5 to 9 years,2007,6,2001,54244.06217072749
51,From 5 to 9 years,2007,7,2000,54524.271971106245
51,From 5 to 9 years,2007,8,1999,54830.77036713182
51,From 5 to 9 years,2007,9,1998,55192.204579978315
51,From 5 to 9 years,2008,5,2003,53275.59201563991
51,From 5 to 9 years,2008,6,2002,53576.95385265056
51,From 5 to 9 years,2008,7,2001,53869.23134872293
51,From 5 to 9 years,2008,8,2000,54188.96143171399
51,From 5 to 9 years,2008,9,1999,54567.26135127259
51,From 5 to 9 years,2009,5,2004,52955.08517305898
51,From 5 to 9 years,2009,6,2003,53287.048114125944
51,From 5 to 9 years,2009,7,2002,53601.62662130126
51,From 5 to 9 years,2009,8,2001,53935.509344842874
51,From 5 to 9 years,2009,9,2000,54319.73074667094
51,From 5 to 9 years,2010,5,2005,53214.56554894902
51,From 5 to 9 years,2010,6,2004,53577.62871216324
51,From 5 to 9 years,2010,7,2003,53912.44203710137
51,From 5 to 9 years,2010,8,2002,54252.10133298153
51,From 5 to 9 years,2010,9,2001,54631.26236880484
51,From 5 to 9 years,2011,5,2006,53620.3418678966
51,From 5 to 9 years,2011,6,2005,53973.894056390025
51,From 5 to 9 years,2011,7,2004,54304.18933125103
51,From 5 to 9 years,2011,8,2003,54634.078037126
51,From 5 to 9 years,2011,9,2002,54995.49670733633
51,From 5 to 9 years,2012,5,2007,53807.99978061499
51,From 5 to 9 years,2012,6,2006,54115.45427028277
51,From 5 to 9 years,2012,7,2005,54409.9313175039
51,From 5 to 9 years,2012,8,2004,54709.57019837998
51,From 5 to 9 years,2012,9,2003,55042.044433218354
51,From 5 to 9 years,2013,5,2008,53875.96757175694
51,From 5 to 9 years,2013,6,2007,54088.10559319963
51,From 5 to 9 years,2013,7,2006,54316.32530094061
51,From 5 to 9 years,2013,8,2005,54564.8370115265
51,From 5 to 9 years,2013,9,2004,54861.7645225763
51,From 5 to 9 years,2014,5,2009,53955.86587178159
51,From 5 to 9 years,2014,6,2008,54036.55474566428
51,From 5 to 9 years,2014,7,2007,54159.146461394535
51,From 5 to 9 years,2014,8,2006,54343.7673892141
51,From 5 to 9 years,2014,9,2005,54592.66553194547
51,From 5 to 9 years,2015,5,2010,53534.579864812076
51,From 5 to 9 years,2015,6,2009,53452.56186050874
51,From 5 to 9 years,2015,7,2008,53443.478545048296
51,From 5 to 9 years,2015,8,2007,53550.84775434665
51,From 5 to 9 years,2015,9,2006,53748.531975284204
51,From 5 to 9 years,2016,5,2011,52812.77537260314
51,From 5 to 9 years,2016,6,2010,52553.95792031577
51,From 5 to 9 years,2016,7,2009,52415.351640225024
51,From 5 to 9 years,2016,8,2008,52428.96373354476
51,From 5 to 9 years,2016,9,2007,52593.951333311285
51,From 5 to 9 years,2017,5,2012,52666.207136465695
51,From 5 to 9 years,2017,6,2011,52240.033720408544
51,From 5 to 9 years,2017,7,2010,51970.72960469436
51,From 5 to 9 years,2017,8,2009,51891.82358507905
51,From 5 to 9 years,2017,9,2008,51993.20595335234
51,From 5 to 9 years,2018,5,2013,52991.87000576683
51,From 5 to 9 years,2018,6,2012,52427.47104512076
51,From 5 to 9 years,2018,7,2011,52043.883576497064
51,From 5 to 9 years,2018,8,2010,51878.13554220946
51,From 5 to 9 years,2018,9,2009,51916.639830405875
51,From 5 to 9 years,2019,5,2014,53669.32588117707
51,From 5 to 9 years,2019,6,2013,53012.63020556587
51,From 5 to 9 years,2019,7,2012,52544.31575065822
51,From 5 to 9 years,2019,8,2011,52304.905484646624
51,From 5 to 9 years,2019,9,2010,52277.82267795223
51,From 5 to 9 years,2020,5,2015,54875.06637081156
51,From 5 to 9 years,2020,6,2014,54176.79257895697
51,From 5 to 9 years,2020,7,2013,53657.42427451193
51,From 5 to 9 years,2020,8,2012,53358.872675889215
51,From 5 to 9 years,2020,9,2011,53269.844099830305
51,From 5 to 9 years,2021,5,2016,55936.9391686719
51,From 5 to 9 years,2021,6,2015,55255.14308004022
51,From 5 to 9 years,2021,7,2014,54724.11994411584
51,From 5 to 9 years,2021,8,2013,54381.961857354814
51,From 5 to 9 years,2021,9,2012,54218.835949817214
51,From 10 to 14 years,2000,10,1990,56187.422115449146
51,From 10 to 14 years,2000,11,1989,56101.20618424605
51,From 10 to 14 years,2000,12,1988,55953.2220204398
51,From 10 to 14 years,2000,13,1987,55776.12222101314
51,From 10 to 14 years,2000,14,1986,55596.02745885181
51,From 10 to 14 years,2001,10,1991,56231.17467044464
51,From 10 to 14 years,2001,11,1990,56179.60102112959
51,From 10 to 14 years,2001,12,1989,56068.27513970812
51,From 10 to 14 years,2001,13,1988,55932.08002865753
51,From 10 to 14 years,2001,14,1987,55799.86914006011
51,From 10 to 14 years,2002,10,1992,56223.97926793542
51,From 10 to 14 years,2002,11,1991,56232.82678231121
51,From 10 to 14 years,2002,12,1990,56187.65764694612
51,From 10 to 14 years,2002,13,1989,56115.87795141114
51,From 10 to 14 years,2002,14,1988,56042.65835139613
51,From 10 to 14 years,2003,10,1993,56183.84099356913
51,From 10 to 14 years,2003,11,1992,56275.49207895692
51,From 10 to 14 years,2003,12,1991,56323.70445783111
51,From 10 to 14 years,2003,13,1990,56335.87214249204
51,From 10 to 14 years,2003,14,1989,56329.090327150814
51,From 10 to 14 years,2004,10,1994,56136.68726513021
51,From 10 to 14 years,2004,11,1993,56329.901455519604
51,From 10 to 14 years,2004,12,1992,56482.28985608634
51,From 10 to 14 years,2004,13,1991,56587.48232953113
51,From 10 to 14 years,2004,14,1990,56647.639093732694
51,From 10 to 14 years,2005,10,1995,56110.82301959049
51,From 10 to 14 years,2005,11,1994,56405.11983324792
51,From 10 to 14 years,2005,12,1993,56663.56386115623
51,From 10 to 14 years,2005,13,1992,56860.42112686721
51,From 10 to 14 years,2005,14,1991,56982.07215913813
51,From 10 to 14 years,2006,10,1996,56127.547845945366
51,From 10 to 14 years,2006,11,1995,56509.31923484877
51,From 10 to 14 years,2006,12,1994,56859.65907723554
51,From 10 to 14 years,2006,13,1993,57137.50104281592
51,From 10 to 14 years,2006,14,1992,57311.97279915436
51,From 10 to 14 years,2007,10,1997,56213.09098889728
51,From 10 to 14 years,2007,11,1996,56659.238107836965
51,From 10 to 14 years,2007,12,1995,57073.99837925478
51,From 10 to 14 years,2007,13,1994,57418.58928655471
51,From 10 to 14 years,2007,14,1993,57636.083237456274
51,From 10 to 14 years,2008,10,1998,56308.59993326398
51,From 10 to 14 years,2008,11,1997,56793.03456233374
51,From 10 to 14 years,2008,12,1996,57255.19752112553
51,From 10 to 14 years,2008,13,1995,57635.992790573226
51,From 10 to 14 years,2008,14,1994,57887.175192703544
51,From 10 to 14 years,2009,10,1999,56312.552440616964
51,From 10 to 14 years,2009,11,1998,56806.31830846143
51,From 10 to 14 years,2009,12,1997,57285.46411831564
51,From 10 to 14 years,2009,13,1996,57690.43443232705
51,From 10 to 14 years,2009,14,1995,57974.230700278895
51,From 10 to 14 years,2010,10,2000,56157.03544799977
51,From 10 to 14 years,2010,11,1999,56636.18182549154
51,From 10 to 14 years,2010,12,1998,57111.11531551134
51,From 10 to 14 years,2010,13,1997,57532.198570878485
51,From 10 to 14 years,2010,14,1996,57853.468840118905
51,From 10 to 14 years,2011,10,2001,55396.76758382386
51,From 10 to 14 years,2011,11,2000,55845.95149262225
51,From 10 to 14 years,2011,12,1999,56298.98310039296
51,From 10 to 14 years,2011,13,1998,56732.41527952838
51,From 10 to 14 years,2011,14,1997,57092.88254363255
51,From 10 to 14 years,2012,10,2002,54407.72717531824
51,From 10 to 14 years,2012,11,2001,54829.03477251476
51,From 10 to 14 years,2012,12,2000,55269.62845665551
51,From 10 to 14 years,2012,13,1999,55698.604663119404
51,From 10 to 14 years,2012,14,1998,56096.004932392105
51,From 10 to 14 years,2013,10,2003,53535.308995098545
51,From 10 to 14 years,2013,11,2002,53931.957178950695
51,From 10 to 14 years,2013,12,2001,54360.561902739224
51,From 10 to 14 years,2013,13,2000,54794.61456036869
51,From 10 to 14 years,2013,14,1999,55212.55736284282
51,From 10 to 14 years,2014,10,2004,53017.58593277788
51,From 10 to 14 years,2014,11,2003,53396.446965869596
51,From 10 to 14 years,2014,12,2002,53814.76144533728
51,From 10 to 14 years,2014,13,2001,54245.86446209726
51,From 10 to 14 years,2014,14,2000,54671.34119391801
51,From 10 to 14 years,2015,10,2005,53058.884392333435
51,From 10 to 14 years,2015,11,2004,53423.50555981816
51,From 10 to 14 years,2015,12,2003,53829.462251633966
51,From 10 to 14 years,2015,13,2002,54245.446474211865
51,From 10 to 14 years,2015,14,2001,54655.70132200261
51,From 10 to 14 years,2016,10,2006,53497.76051002233
51,From 10 to 14 years,2016,11,2005,53845.97470213909
51,From 10 to 14 years,2016,12,2004,54230.28312783969
51,From 10 to 14 years,2016,13,2003,54611.81524247876
51,From 10 to 14 years,2016,14,2002,54977.166417520144
51,From 10 to 14 years,2017,10,2007,53695.96886400369
51,From 10 to 14 years,2017,11,2006,54017.61071269382
51,From 10 to 14 years,2017,12,2005,54360.94355319382
51,From 10 to 14 years,2017,13,2004,54682.038046477486
