state,ageGroup,year,age,cohort,numpop
41,From 0 to 4 years,2000,0,2000,183974.54761357344
41,From 0 to 4 years,2000,1,1999,185359.7833300058
41,From 0 to 4 years,2000,2,1998,187244.2811518515
41,From 0 to 4 years,2000,3,1997,189254.0566702217
41,From 0 to 4 years,2000,4,1996,191263.3312343475
41,From 0 to 4 years,2001,0,2001,180237.9569461957
41,From 0 to 4 years,2001,1,2000,181816.58264859446
41,From 0 to 4 years,2001,2,1999,184165.64477447903
41,From 0 to 4 years,2001,3,1998,186866.37165065447
41,From 0 to 4 years,2001,4,1997,189463.4439800764
41,From 0 to 4 years,2002,0,2002,175002.9699856881
41,From 0 to 4 years,2002,1,2001,176647.0833072004
41,From 0 to 4 years,2002,2,2000,179313.5563574261
41,From 0 to 4 years,2002,3,1999,182508.67781525006
41,From 0 to 4 years,2002,4,1998,185837.71253443527
41,From 0 to 4 years,2003,0,2003,169119.34436918283
41,From 0 to 4 years,2003,1,2002,170675.63678659577
41,From 0 to 4 years,2003,2,2001,173468.93383476266
41,From 0 to 4 years,2003,3,2000,177160.22703561193
41,From 0 to 4 years,2003,4,1999,181053.85797384675
41,From 0 to 4 years,2004,0,2004,163466.16288609826
41,From 0 to 4 years,2004,1,2003,164670.22531328176
41,From 0 to 4 years,2004,2,2002,167533.56480952835
41,From 0 to 4 years,2004,3,2001,171536.03053986962
41,From 0 to 4 years,2004,4,2000,175951.01645122195
41,From 0 to 4 years,2005,0,2005,159379.68163813857
41,From 0 to 4 years,2005,1,2004,160192.57994176677
41,From 0 to 4 years,2005,2,2003,162918.92343184192
41,From 0 to 4 years,2005,3,2002,167052.92113261033
41,From 0 to 4 years,2005,4,2001,171862.89385564232
41,From 0 to 4 years,2006,0,2006,155768.35536577768
41,From 0 to 4 years,2006,1,2005,156184.31819547788
41,From 0 to 4 years,2006,2,2004,158568.8854808782
41,From 0 to 4 years,2006,3,2003,162553.14546397014
41,From 0 to 4 years,2006,4,2002,167474.2954938961
41,From 0 to 4 years,2007,0,2007,153141.68265241254
41,From 0 to 4 years,2007,1,2006,153283.69757249943
41,From 0 to 4 years,2007,2,2005,155073.07789109775
41,From 0 to 4 years,2007,3,2004,158662.46020015166
41,From 0 to 4 years,2007,4,2003,163389.0816838386
41,From 0 to 4 years,2008,0,2008,151729.7692304005
41,From 0 to 4 years,2008,1,2007,151312.34138516794
41,From 0 to 4 years,2008,2,2006,152730.90223623771
41,From 0 to 4 years,2008,3,2005,155787.82132408422
41,From 0 to 4 years,2008,4,2004,160017.16582410957
41,From 0 to 4 years,2009,0,2009,151452.41735051014
41,From 0 to 4 years,2009,1,2008,150657.34681631706
41,From 0 to 4 years,2009,2,2007,151520.50610272284
41,From 0 to 4 years,2009,3,2006,153853.52936649162
41,From 0 to 4 years,2009,4,2005,157327.20036395852
41,From 0 to 4 years,2010,0,2010,150979.7255158328
41,From 0 to 4 years,2010,1,2009,149929.65872033732
41,From 0 to 4 years,2010,2,2008,150183.73124100023
41,From 0 to 4 years,2010,3,2007,151609.88837848714
41,From 0 to 4 years,2010,4,2006,153989.9961443425
41,From 0 to 4 years,2011,0,2011,150826.24396289847
41,From 0 to 4 years,2011,1,2010,149628.27024054457
41,From 0 to 4 years,2011,2,2009,149320.4651345112
41,From 0 to 4 years,2011,3,2008,149827.79828574182
41,From 0 to 4 years,2011,4,2007,151068.22237630398
41,From 0 to 4 years,2012,0,2012,151541.84221207176
41,From 0 to 4 years,2012,1,2011,150281.88383246126
41,From 0 to 4 years,2012,2,2010,149526.05988609188
41,From 0 to 4 years,2012,3,2009,149247.89222754675
41,From 0 to 4 years,2012,4,2008,149472.32184182844
41,From 0 to 4 years,2013,0,2013,152866.33290892004
41,From 0 to 4 years,2013,1,2012,151604.99392889746
41,From 0 to 4 years,2013,2,2011,150541.82205952142
41,From 0 to 4 years,2013,3,2010,149698.62352553394
41,From 0 to 4 years,2013,4,2009,149146.22757712714
41,From 0 to 4 years,2014,0,2014,154735.44551962859
41,From 0 to 4 years,2014,1,2013,153514.35581063278
41,From 0 to 4 years,2014,2,2012,152259.13189530183
41,From 0 to 4 years,2014,3,2011,151123.3063559371
41,From 0 to 4 years,2014,4,2010,150059.76041849962
41,From 0 to 4 years,2015,0,2015,156874.1105731519
41,From 0 to 4 years,2015,1,2014,155732.12188037188
41,From 0 to 4 years,2015,2,2013,154517.66763840689
41,From 0 to 4 years,2015,3,2012,153209.2840745868
41,From 0 to 4 years,2015,4,2011,151856.81583348254
41,From 0 to 4 years,2016,0,2016,158096.80600954805
41,From 0 to 4 years,2016,1,2015,157024.5369805908
41,From 0 to 4 years,2016,2,2014,155915.2520420179
41,From 0 to 4 years,2016,3,2013,154667.28771083156
41,From 0 to 4 years,2016,4,2012,153273.11725701165
41,From 0 to 4 years,2017,0,2017,159138.29120052443
41,From 0 to 4 years,2017,1,2016,158090.44709936102
41,From 0 to 4 years,2017,2,2015,157120.34560732436
41,From 0 to 4 years,2017,3,2014,156074.0878586138
41,From 0 to 4 years,2017,4,2013,154852.8282341765
41,From 0 to 4 years,2018,0,2018,160098.14359682225
41,From 0 to 4 years,2018,1,2017,159032.9235774483
41,From 0 to 4 years,2018,2,2016,158179.46561333598
41,From 0 to 4 years,2018,3,2015,157384.9019643447
41,From 0 to 4 years,2018,4,2014,156440.5652480488
41,From 0 to 4 years,2019,0,2019,160043.8993641918
41,From 0 to 4 years,2019,1,2018,158952.92547823102
41,From 0 to 4 years,2019,2,2017,158190.74752015393
41,From 0 to 4 years,2019,3,2016,157550.78201614018
41,From 0 to 4 years,2019,4,2015,156845.64562128304
41,From 0 to 4 years,2020,0,2020,159471.52144099175
41,From 0 to 4 years,2020,1,2019,158377.386046024
41,From 0 to 4 years,2020,2,2018,157594.33468832713
41,From 0 to 4 years,2020,3,2017,156978.6757709866
41,From 0 to 4 years,2020,4,2016,156359.08205367043
41,From 0 to 4 years,2021,0,2021,159443.8783590908
41,From 0 to 4 years,2021,1,2020,158226.54507466446
41,From 0 to 4 years,2021,2,2019,157381.89203063323
41,From 0 to 4 years,2021,3,2018,156735.18143038367
41,From 0 to 4 years,2021,4,2017,156116.5031052279
41,From 5 to 9 years,2000,5,1995,190489.3460792789
41,From 5 to 9 years,2000,6,1994,190978.23967616828
41,From 5 to 9 years,2000,7,1993,191012.4139050687
41,From 5 to 9 years,2000,8,1992,190489.62820131745
41,From 5 to 9 years,2000,9,1991,189710.37213816668
41,From 5 to 9 years,2001,5,1996,190103.35213453014
41,From 5 to 9 years,2001,6,1995,190991.57712042553
41,From 5 to 9 years,2001,7,1994,191261.56259050872
41,From 5 to 9 years,2001,8,1993,190815.50990114053
41,From 5 to 9 years,2001,9,1992,190019.99825339497
41,From 5 to 9 years,2002,5,1997,188931.62788232142
41,From 5 to 9 years,2002,6,1996,190555.50448833045
41,From 5 to 9 years,2002,7,1995,191205.25738351306
