locId,month,year,numInfant
11,1,2019,2263
11,2,2019,2125
11,3,2019,2456
11,4,2019,2373
11,5,2019,2365
11,6,2019,2176
11,7,2019,2160
11,8,2019,2199
11,9,2019,2357
11,10,2019,2270
11,11,2019,2148
11,12,2019,2136
12,1,2019,1395
12,2,2019,1222
12,3,2019,1420
12,4,2019,1396
12,5,2019,1529
12,6,2019,1349
12,7,2019,1282
12,8,2019,1399
12,9,2019,1359
12,10,2019,1380
12,11,2019,1305
12,12,2019,1244
13,1,2019,6597
13,2,2019,6036
13,3,2019,6573
13,4,2019,6269
13,5,2019,6312
13,6,2019,6000
13,7,2019,6269
13,8,2019,6700
13,9,2019,7168
13,10,2019,6955
13,11,2019,6424
13,12,2019,6319
14,1,2019,1289
14,2,2019,1078
14,3,2019,1218
14,4,2019,1209
14,5,2019,1180
14,6,2019,1115
14,7,2019,1153
14,8,2019,1244
14,9,2019,1374
14,10,2019,1337
14,11,2019,1250
14,12,2019,1173
15,1,2019,11735
15,2,2019,10499
15,3,2019,11816
15,4,2019,11628
15,5,2019,11887
15,6,2019,10923
15,7,2019,11315
15,8,2019,11478
15,9,2019,12298
15,10,2019,12237
15,11,2019,11187
15,12,2019,11338
16,1,2019,1284
16,2,2019,1184
16,3,2019,1260
16,4,2019,1218
16,5,2019,1251
16,6,2019,1178
16,7,2019,1333
16,8,2019,1324
16,9,2019,1429
16,10,2019,1371
16,11,2019,1255
16,12,2019,1269
17,1,2019,2040
17,2,2019,1852
17,3,2019,2144
17,4,2019,2220
17,5,2019,2185
17,6,2019,2041
17,7,2019,2046
17,8,2019,2101
17,9,2019,2042
17,10,2019,1961
17,11,2019,1904
17,12,2019,1913
21,1,2019,9484
21,2,2019,8476
21,3,2019,9733
21,4,2019,9399
21,5,2019,9839
21,6,2019,9385
21,7,2019,9558
21,8,2019,9475
21,9,2019,9987
21,10,2019,9818
21,11,2019,9102
21,12,2019,9061
22,1,2019,4174
22,2,2019,3812
22,3,2019,4278
22,4,2019,4105
22,5,2019,4191
22,6,2019,3933
22,7,2019,3969
22,8,2019,3865
22,9,2019,4044
22,10,2019,4054
22,11,2019,3817
22,12,2019,3691
23,1,2019,10959
23,2,2019,10290
23,3,2019,11307
23,4,2019,11417
