locId,month,year,numInfant
11,1,2015,2237
11,2,2015,2087
11,3,2015,2334
11,4,2015,2376
11,5,2015,2462
11,6,2015,2240
11,7,2015,2262
11,8,2015,2373
11,9,2015,2447
11,10,2015,2373
11,11,2015,2328
11,12,2015,2399
12,1,2015,1370
12,2,2015,1333
12,3,2015,1528
12,4,2015,1470
12,5,2015,1516
12,6,2015,1397
12,7,2015,1328
12,8,2015,1369
12,9,2015,1442
12,10,2015,1422
12,11,2015,1401
12,12,2015,1404
13,1,2015,6876
13,2,2015,6099
13,3,2015,6680
13,4,2015,6691
13,5,2015,6784
13,6,2015,6368
13,7,2015,6634
13,8,2015,6720
13,9,2015,6908
13,10,2015,6947
13,11,2015,6668
13,12,2015,6722
14,1,2015,996
14,2,2015,873
14,3,2015,961
14,4,2015,904
14,5,2015,972
14,6,2015,930
14,7,2015,955
14,8,2015,898
14,9,2015,1022
14,10,2015,1045
14,11,2015,932
14,12,2015,924
15,1,2015,12193
15,2,2015,10895
15,3,2015,11883
15,4,2015,12077
15,5,2015,12130
15,6,2015,11834
15,7,2015,11962
15,8,2015,12040
15,9,2015,12285
15,10,2015,12610
15,11,2015,11934
15,12,2015,11814
16,1,2015,1369
16,2,2015,1205
16,3,2015,1286
16,4,2015,1268
16,5,2015,1284
16,6,2015,1279
16,7,2015,1289
16,8,2015,1301
16,9,2015,1391
16,10,2015,1409
16,11,2015,1299
16,12,2015,1370
17,1,2015,2000
17,2,2015,1834
17,3,2015,2215
17,4,2015,2197
17,5,2015,2250
17,6,2015,2106
17,7,2015,2092
17,8,2015,2113
17,9,2015,2255
17,10,2015,2071
17,11,2015,1967
17,12,2015,2010
21,1,2015,9756
21,2,2015,8606
21,3,2015,9936
21,4,2015,9573
21,5,2015,10148
21,6,2015,9695
21,7,2015,10178
21,8,2015,9977
21,9,2015,10734
21,10,2015,10314
21,11,2015,9583
21,12,2015,9064
22,1,2015,3956
22,2,2015,3716
22,3,2015,4270
22,4,2015,4235
22,5,2015,4265
22,6,2015,4079
22,7,2015,4100
22,8,2015,4108
22,9,2015,4447
22,10,2015,4253
22,11,2015,3947
22,12,2015,3877
23,1,2015,11013
23,2,2015,9977
23,3,2015,11533
23,4,2015,11450
23,5,2015,11837
23,6,2015,11166
23,7,2015,10982
23,8,2015,11086
23,9,2015,11463
23,10,2015,11028
23,11,2015,10197
23,12,2015,10784
24,1,2015,3936
24,2,2015,3738
24,3,2015,4478
24,4,2015,4297
24,5,2015,4431
24,6,2015,4114
24,7,2015,4312
24,8,2015,4033
24,9,2015,4206
24,10,2015,4043
24,11,2015,3780
24,12,2015,3731
25,1,2015,4735
25,2,2015,4482
25,3,2015,5416
25,4,2015,5086
25,5,2015,5236
25,6,2015,4882
25,7,2015,5053
25,8,2015,4989
25,9,2015,4916
25,10,2015,4948
25,11,2015,4614
25,12,2015,4732
26,1,2015,11689
26,2,2015,11171
26,3,2015,13314
26,4,2015,12933
26,5,2015,13036
26,6,2015,12244
26,7,2015,12431
26,8,2015,11892
26,9,2015,12255
26,10,2015,11869
26,11,2015,11089
26,12,2015,11101
27,1,2015,4174
27,2,2015,3876
27,3,2015,4898
27,4,2015,4563
27,5,2015,4805
27,6,2015,4489
27,7,2015,4434
27,8,2015,4190
27,9,2015,4378
27,10,2015,4303
27,11,2015,4059
27,12,2015,4088
28,1,2015,2778
28,2,2015,2722
28,3,2015,3256
28,4,2015,3187
28,5,2015,3369
28,6,2015,3039
28,7,2015,2960
28,8,2015,2854
28,9,2015,2921
28,10,2015,2823
28,11,2015,2483
28,12,2015,2525
29,1,2015,16583
29,2,2015,15986
29,3,2015,19501
29,4,2015,18270
29,5,2015,18933
29,6,2015,18115
29,7,2015,17758
29,8,2015,16696
29,9,2015,17077
29,10,2015,16661
29,11,2015,15558
29,12,2015,15517
31,1,2015,22601
31,2,2015,21724
31,3,2015,25470
31,4,2015,23878
31,5,2015,24021
31,6,2015,22231
31,7,2015,22044
31,8,2015,21555
31,9,2015,21699
31,10,2015,21038
31,11,2015,20289
31,12,2015,21755
32,1,2015,4808
32,2,2015,4522
32,3,2015,5323
32,4,2015,4939
32,5,2015,5241
32,6,2015,4821
32,7,2015,4856
32,8,2015,4632
32,9,2015,4469
32,10,2015,4467
32,11,2015,4334
32,12,2015,4529
33,1,2015,20539
33,2,2015,19413
33,3,2015,22150
33,4,2015,20887
33,5,2015,20981
33,6,2015,19886
33,7,2015,19858
33,8,2015,19049
33,9,2015,19115
33,10,2015,18158
33,11,2015,17538
33,12,2015,19386
35,1,2015,54543
35,2,2015,52427
35,3,2015,60137
35,4,2015,56083
35,5,2015,57406
35,6,2015,53258
35,7,2015,52551
35,8,2015,50610
35,9,2015,51663
35,10,2015,47260
35,11,2015,46712
35,12,2015,51376
41,1,2015,14165
41,2,2015,12968
41,3,2015,14932
41,4,2015,14112
41,5,2015,14322
41,6,2015,13375
41,7,2015,13350
41,8,2015,12869
41,9,2015,13057
41,10,2015,12238
41,11,2015,12212
41,12,2015,13347
42,1,2015,8267
42,2,2015,7886
42,3,2015,9093
42,4,2015,8431
42,5,2015,8672
42,6,2015,8202
42,7,2015,8245
42,8,2015,7918
42,9,2015,7934
42,10,2015,7505
42,11,2015,7214
42,12,2015,7856
43,1,2015,12882
43,2,2015,12705
43,3,2015,14182
43,4,2015,12902
43,5,2015,13047
43,6,2015,12295
43,7,2015,12282
43,8,2015,11549
43,9,2015,11723
43,10,2015,11454
43,11,2015,11205
43,12,2015,12133
50,1,2015,3745
50,2,2015,3600
50,3,2015,4274
50,4,2015,3891
50,5,2015,3921
50,6,2015,3673
50,7,2015,3629
50,8,2015,3475
50,9,2015,3651
50,10,2015,3420
50,11,2015,3225
50,12,2015,3638
51,1,2015,4607
51,2,2015,4366
51,3,2015,5192
51,4,2015,5155
51,5,2015,4973
51,6,2015,4513
51,7,2015,4669
51,8,2015,4594
51,9,2015,4915
51,10,2015,4502
51,11,2015,4515
51,12,2015,4672
52,1,2015,8203
52,2,2015,7816
52,3,2015,9193
52,4,2015,8927
52,5,2015,8823
52,6,2015,8248
52,7,2015,8320
52,8,2015,8299
52,9,2015,8511
