locId,month,year,numInfant
50,5,2006,3720
50,6,2006,3555
50,7,2006,3289
50,8,2006,3209
50,9,2006,3172
50,10,2006,3016
50,11,2006,2795
50,12,2006,3002
51,1,2006,3886
51,2,2006,3894
51,3,2006,4628
51,4,2006,4631
51,5,2006,4694
51,6,2006,4295
51,7,2006,4017
51,8,2006,4013
51,9,2006,4156
51,10,2006,3971
51,11,2006,3588
51,12,2006,3749
52,1,2006,7118
52,2,2006,6787
52,3,2006,8138
52,4,2006,7981
52,5,2006,7900
52,6,2006,7270
52,7,2006,6980
52,8,2006,7219
52,9,2006,7380
52,10,2006,6968
52,11,2006,6770
52,12,2006,6972
53,1,2006,3733
53,2,2006,3543
53,3,2006,4049
53,4,2006,4068
53,5,2006,4083
53,6,2006,3622
53,7,2006,3833
53,8,2006,3659
53,9,2006,3756
53,10,2006,3705
53,11,2006,3493
53,12,2006,3608
