variable,2.5%,25%,50%,75%,97.5%,rhat,ess_bulk,ess_tail,cohort,age,year,S
"S0[100,1]",0.9282438749999999,0.93881825,0.9434005000000001,0.94756075,0.9540731,1.000251529674806,5178.874089027076,5598.2552420425745,2000,0,2000,S0
"S0[101,1]",0.945469325,0.9544025,0.9581565000000001,0.961481,0.9666220249999999,1.000624801639968,5137.902288255011,5347.83069543577,2001,0,2001,S0
"S0[102,1]",0.9366638500000001,0.95011475,0.9560655,0.96155225,0.9704621500000001,0.9994143493754428,5517.854296348096,5730.981261677851,2002,0,2002,S0
"S0[103,1]",0.9136971500000001,0.9311345,0.9389865,0.94605975,0.9577955999999999,1.0008915556766245,5733.4095763959685,5643.582693268499,2003,0,2003,S0
"S0[104,1]",0.9734738749999999,0.98024275,0.9831004999999999,0.9855992499999999,0.989475,1.0010382200825263,5163.772468875746,5075.0422466307655,2004,0,2004,S0
"S0[105,1]",0.891974725,0.9135057499999999,0.923416,0.9326464999999999,0.9477196999999999,1.0003352876163651,4969.957252408353,4857.657546593917,2005,0,2005,S0
"S0[106,1]",0.8942614,0.91656025,0.9263625,0.9353984999999999,0.950878475,1.0011881674909928,5365.625008117599,5541.55247631817,2006,0,2006,S0
"S0[107,1]",0.915355825,0.932922,0.9406745000000001,0.94746,0.9595133,1.0010350334014193,5279.18544850501,5754.284835438493,2007,0,2007,S0
"S0[108,1]",0.9219318,0.93501575,0.9410160000000001,0.94630175,0.9559312249999999,1.001029127987572,5320.804513752595,5124.611089152033,2008,0,2008,S0
"S0[109,1]",0.8695591,0.8902194999999999,0.899452,0.90827825,0.9235911,1.0010826287054786,5329.513158451522,5329.255805916471,2009,0,2009,S0
"S0[110,1]",0.8841827,0.906287,0.9170315,0.9269422500000001,0.9438615,0.9999428745063044,5480.6008919383485,5017.161308643012,2010,0,2010,S0
"S0[111,1]",0.98246875,0.986077,0.987831,0.989418,0.9920941750000001,0.9997690295531262,5501.479427619771,5509.136881655285,2011,0,2011,S0
"S0[112,1]",0.9057476,0.9285795,0.9397945,0.95042775,0.967611525,0.9995175162222315,5884.303001473582,5555.106946702482,2012,0,2012,S0
