variable,2.5%,25%,50%,75%,97.5%,rhat,ess_bulk,ess_tail,cohort,age,year,S
"S0[100,1]",0.9951179749999999,0.9967387500000001,0.9973835,0.997865,0.998433,1.0012398202025858,9186.286222992709,10007.605270863465,2000,0,2000,S0
"S0[101,1]",0.956304925,0.9659407500000001,0.971174,0.9753722499999999,0.98053215,1.0007833355258522,8411.7004651536,9824.76691786963,2001,0,2001,S0
"S0[102,1]",0.9516919,0.96046275,0.964796,0.9687785,0.976336075,1.0001859981825065,10474.606226497996,10738.30608526817,2002,0,2002,S0
"S0[103,1]",0.957060775,0.965788,0.9699979999999999,0.9739622499999999,0.980644025,1.0003226123912161,10177.144515658249,9805.620411035425,2003,0,2003,S0
"S0[104,1]",0.9638559750000001,0.9716965000000001,0.975438,0.97894725,0.985088475,1.0001379952874985,9939.693251368648,10506.889930009393,2004,0,2004,S0
"S0[105,1]",0.9474266750000001,0.95754275,0.962676,0.9678865,0.97670525,1.0008642822378635,9899.74887948134,10402.400163645956,2005,0,2005,S0
"S0[106,1]",0.9521527750000001,0.95878,0.9619165000000001,0.96501825,0.97065805,1.0005163851355086,8870.689592587729,5669.942457873992,2006,0,2006,S0
"S0[107,1]",0.91906355,0.92988625,0.935201,0.94056825,0.94974635,1.0000313181300506,9039.766052235815,10227.910640892902,2007,0,2007,S0
"S0[108,1]",0.929886775,0.9422107500000001,0.9483495,0.954113,0.9636070999999999,1.0013580804551245,9315.745316940041,10505.58910359149,2008,0,2008,S0
"S0[109,1]",0.962045925,0.9685895,0.9718765,0.97484325,0.9800153249999999,1.0012985070448555,9729.391569282696,10699.903391732092,2009,0,2009,S0
"S0[110,1]",0.93543045,0.946295,0.9516344999999999,0.956743,0.965186875,1.0002059794889502,8055.614509502397,5620.238702216957,2010,0,2010,S0
"S0[111,1]",0.9397336999999999,0.9491527500000001,0.9538405000000001,0.9583422500000001,0.966008475,1.0001731887693068,7975.580715173077,5570.796355746557,2011,0,2011,S0
"S0[112,1]",0.9476007500000001,0.95774625,0.9623645000000001,0.966615,0.9733440999999999,1.0003645775956582,9658.771726096784,10559.417259539608,2012,0,2012,S0
"S0[113,1]",0.95782685,0.965883,0.969568,0.9730052499999999,0.9783303,1.0002015387309964,9595.295697883186,9737.879624117279,2013,0,2013,S0
"S0[114,1]",0.934853625,0.95310225,0.9629775,0.972278,0.984745475,1.000564619518675,9954.868416957626,10709.950521516903,2014,0,2014,S0
"S0[99,2]",0.9624273250000001,0.973198,0.9785189999999999,0.985289,0.9938911749999999,1.000453877019376,10166.177494742262,10080.968584479704,1999,1,2000,S0
"S0[100,2]",0.9521181250000001,0.96277425,0.9686305,0.97319875,0.978780025,1.0007715735919809,8468.230673024675,9854.724317540167,2000,1,2001,S0
"S0[101,2]",0.91656265,0.929972,0.9363915,0.9422315,0.9523974500000001,1.0006148188757682,8992.792072686141,10134.05836867539,2001,1,2002,S0
"S0[102,2]",0.9121288750000001,0.9280465,0.9357329999999999,0.943078,0.9563247,1.0003903063068413,10426.716838302505,9828.066180798722,2002,1,2003,S0
"S0[103,2]",0.93030495,0.940894,0.9461085,0.95065825,0.9588145250000001,1.0012330343532583,10005.034666593254,10045.547765289015,2003,1,2004,S0
"S0[104,2]",0.914447925,0.9306675,0.9389035,0.94702625,0.96142795,1.0003872251111148,9911.47219148547,10741.37465510662,2004,1,2005,S0
"S0[105,2]",0.909236,0.920654,0.9261355,0.93139225,0.940242,1.0001272063351294,9540.113302898606,10036.912463978346,2005,1,2006,S0
"S0[106,2]",0.87568075,0.8916255,0.8995585,0.90744,0.921502025,1.0001621504073677,8955.879600803824,6059.536217901892,2006,1,2007,S0
"S0[107,2]",0.861655875,0.8788892499999998,0.8870745,0.894595,0.9078114500000001,1.0008083042956863,9634.991577446795,10399.258623594045,2007,1,2008,S0
"S0[108,2]",0.8949162749999999,0.91267275,0.921728,0.930033,0.944044925,1.001363831561003,9444.521811959828,10356.953580166162,2008,1,2009,S0
"S0[109,2]",0.906437925,0.9186559999999999,0.924784,0.9302775,0.939720275,1.0004100272221497,9652.220267521545,10425.743384431094,2009,1,2010,S0
"S0[110,2]",0.87941895,0.8983734999999999,0.9077095,0.9166802500000001,0.9321360999999999,1.0002146732482518,7973.740952019987,5677.959745727904,2010,1,2011,S0
"S0[111,2]",0.89774425,0.9113195000000001,0.9176955,0.9238412500000001,0.934556225,1.0007937179887116,7812.0371290793655,4182.223938238243,2011,1,2012,S0
"S0[112,2]",0.907778575,0.92503475,0.9331134999999999,0.9404472500000001,0.952157275,1.0003004109562845,9591.816946540976,9630.296454181367,2012,1,2013,S0
"S0[113,2]",0.90411605,0.92305825,0.933266,0.9429425,0.95730105,1.0002061903302653,10106.993802103361,10848.08157648827,2013,1,2014,S0
"S0[98,3]",0.932542025,0.94758225,0.955139,0.962837,0.9763870750000001,1.0001552235103395,9651.78278891914,10737.754533935125,1998,2,2000,S0
"S0[99,3]",0.9303546,0.94377775,0.9501655,0.956303,0.9675091749999999,1.0000594812561003,10277.921099546069,10837.861868448868,1999,2,2001,S0
"S0[100,3]",0.9129679500000001,0.92697425,0.9338985,0.9400392499999999,0.95055225,1.0007826624327703,8931.842816624678,10085.005231810053,2000,2,2002,S0
"S0[101,3]",0.880398675,0.8993707500000001,0.908092,0.91640325,0.931632625,1.000306808973113,9756.853144295736,9861.021155721768,2001,2,2003,S0
"S0[102,3]",0.8883226,0.904704,0.9125805,0.92020525,0.9335072499999999,1.0011216879133844,10225.068227829113,10379.772647322003,2002,2,2004,S0
"S0[103,3]",0.8851509,0.90223,0.910685,0.918774,0.9330587,1.0013323018431757,9825.818591746056,10175.930123223943,2003,2,2005,S0
"S0[104,3]",0.878628725,0.89513225,0.9032445,0.9111250000000001,0.9245994499999999,0.999965656688364,9733.235848351564,10295.614621930565,2004,2,2006,S0
"S0[105,3]",0.839629125,0.8579835,0.866167,0.87425525,0.8884437,1.0005063177501756,8968.446772880076,8226.206262685835,2005,2,2007,S0
"S0[106,3]",0.82234725,0.8431667500000001,0.8533915,0.8627067499999999,0.8789308,1.0006816819384492,9501.719629804218,10155.709008781701,2006,2,2008,S0
"S0[107,3]",0.829824525,0.8519935000000001,0.8621185,0.87163725,0.88789255,1.0010040149429298,9714.400687281643,10430.373158940925,2007,2,2009,S0
"S0[108,3]",0.8466927750000001,0.86727425,0.8770445,0.88583775,0.90119435,1.001035333866952,9762.497498946062,10501.64750052919,2008,2,2010,S0
"S0[109,3]",0.8533671,0.872411,0.8821245,0.8910294999999999,0.9062252749999999,1.0001831078459948,9339.901527585782,10212.242722557858,2009,2,2011,S0
"S0[110,3]",0.842430525,0.86322025,0.8732530000000001,0.8827799999999999,0.9001600000000001,1.0009662366609633,7494.140047837949,3417.9651792125715,2010,2,2012,S0
"S0[111,3]",0.861261625,0.8807075,0.88988,0.898112,0.912730225,1.0006053717369447,8294.597663340297,5713.905160647662,2011,2,2013,S0
"S0[112,3]",0.8624053,0.8857952499999999,0.897837,0.90908625,0.9275391749999999,1.0000168604598716,10006.76714914199,10727.382622244833,2012,2,2014,S0
"S0[97,4]",0.904638975,0.922765,0.931721,0.94038725,0.955748225,1.000031296465802,10101.64411370577,10462.5112385159,1997,3,2000,S0
"S0[98,4]",0.9034818750000001,0.91928975,0.926904,0.9343115,0.948032275,1.000089543856337,10014.07786376672,5219.645382369919,1998,3,2001,S0
"S0[99,4]",0.893970925,0.9094342499999999,0.9165745000000001,0.9234525,0.9359651750000001,0.9999267219291701,9685.037878075347,9989.47217524876,1999,3,2002,S0
"S0[100,4]",0.877027825,0.89657825,0.905602,0.91412,0.929685075,1.0003164044341837,9670.567986740738,9860.956715474329,2000,3,2003,S0
"S0[101,4]",0.8568046000000001,0.8765205,0.885544,0.89433075,0.90983585,1.0007134140359863,9483.574547161752,10098.038571638472,2001,3,2004,S0
"S0[102,4]",0.848160875,0.86860225,0.87871,0.888016,0.904919675,1.0016391612321816,9906.042672800104,10111.362055399755,2002,3,2005,S0
"S0[103,4]",0.849411475,0.86764175,0.876034,0.8841382499999999,0.897769,1.0003980245764053,9580.60624312902,9860.155532731442,2003,3,2006,S0
"S0[104,4]",0.81401355,0.83499375,0.8450505,0.8542620000000001,0.87078745,1.0005500679756756,9236.169548576529,10121.478325721157,2004,3,2007,S0
"S0[105,4]",0.7882734,0.81111825,0.8215355,0.83129825,0.8477321500000001,1.0001873893402249,9603.978607158111,10545.300841059132,2005,3,2008,S0
"S0[106,4]",0.79289095,0.8176585000000001,0.829286,0.84017825,0.85878645,1.000861335857672,9676.22038513459,10379.123012155078,2006,3,2009,S0
"S0[107,4]",0.785022925,0.8089265,0.8204195000000001,0.83076275,0.848676625,1.0007966508738069,9576.729099433462,10243.56493433545,2007,3,2010,S0
"S0[108,4]",0.800884975,0.8245887500000001,0.836683,0.8472522499999999,0.8662293500000001,1.0006064648803858,9799.48862660289,10306.774023753624,2008,3,2011,S0
"S0[109,4]",0.816558825,0.83824425,0.8484685000000001,0.85826825,0.87506795,1.0002915250225106,8635.521576129784,10531.342919112087,2009,3,2012,S0
"S0[110,4]",0.811238575,0.835004,0.8464115,0.8575965,0.8771083499999999,1.0012614041840813,7664.084763846393,3724.8600326636642,2010,3,2013,S0
