variable,2.5%,25%,50%,75%,97.5%,rhat,ess_bulk,ess_tail,cohort,age,year,S
"S0[100,1]",0.9838368749999999,0.9915,0.993888,0.995696,0.997759025,1.0040936544922103,4137.022850959299,2427.2092372677375,2000,0,2000,S0
"S0[101,1]",0.9458029499999999,0.9735265000000001,0.980567,0.9855225,0.99152505,1.0025462468967603,3625.973797282715,2364.8427287710556,2001,0,2001,S0
"S0[102,1]",0.90393235,0.9562495000000001,0.9635834999999999,0.968767,0.9784822999999999,1.0050353043771525,2199.835688345098,1610.7857134651288,2002,0,2002,S0
"S0[103,1]",0.9418158,0.9748937500000001,0.97923,0.98229425,0.9877240250000001,1.0052671347508964,2197.164066547183,1608.385608694001,2003,0,2003,S0
"S0[104,1]",0.9269605,0.95539775,0.9613775,0.96566225000000006,0.97230405,1.0061579790295214,2372.2274888046545,1561.8387296226472,2004,0,2004,S0
"S0[105,1]",0.815727775,0.8893695,0.9040115,0.914421,0.9303836499999999,1.0064065984676618,2439.9964148684603,1532.329215942371,2005,0,2005,S0
"S0[106,1]",0.9242614,0.9575224999999999,0.9682535,0.9793242500000001,0.987342025,1.0023256179592215,3109.6478249015336,3404.684020425928,2006,0,2006,S0
"S0[107,1]",0.848309725,0.91600025,0.935942,0.95334699999999994,0.968689175,1.0025311142992375,3003.367965246243,2126.136456409803,2007,0,2007,S0
"S0[108,1]",0.859000875,0.89866225,0.9110105,0.9215415,0.939424075,1.0046681991107136,3378.8103835324373,1777.6556835641843,2008,0,2008,S0
"S0[109,1]",0.927985925,0.9463309999999999,0.9535765,0.959818,0.9700210250000001,1.0030159439586608,4679.141606939633,5078.412791862958,2009,0,2009,S0
"S0[110,1]",0.9215502,0.959367,0.9669585,0.97387625,0.9834790250000001,1.0039048549691811,2464.6036908456554,1741.1996689156988,2010,0,2010,S0
"S0[111,1]",0.8791292749999999,0.9363057499999999,0.948353,0.95759525,0.970609175,1.0041160726105018,2501.050219833409,1816.405678608542,2011,0,2011,S0
"S0[112,1]",0.8685838750000001,0.90954325,0.923171,0.9353372499999999,0.9555271,1.0062847871159746,2432.8315137945588,1007.0134086204195,2012,0,2012,S0
"S0[113,1]",0.905266875,0.9380677500000001,0.947457,0.95614175,0.969978325,1.0062675640058483,2591.587772281162,972.2485176591096,2013,0,2013,S0
"S0[114,1]",0.8589425250000001,0.91494675,0.935381,0.9546495,0.9876092249999999,1.0032213796167457,4203.516028718578,2493.953918797451,2014,0,2014,S0
"S0[99,2]",0.94614935,0.978995,0.9850505,0.989352,0.994568025,1.0039198656846096,3534.7385193584864,1862.3991529781313,1999,1,2000,S0
"S0[100,2]",0.933694975,0.965411,0.974244,0.9806532499999999,0.9886180250000001,1.0034758648020627,3582.790459809697,2292.3687615843965,2000,1,2001,S0
"S0[101,2]",0.86212605,0.9325045000000001,0.944123,0.9524912499999999,0.9654231750000001,1.0046231309438802,2245.89482139934,1697.268885393697,2001,1,2002,S0
"S0[102,2]",0.851250375,0.93242475,0.9435695,0.95154925,0.966237075,1.0051624904369747,2177.0063058214605,1630.2809201182254,2002,1,2003,S0
"S0[103,2]",0.875024,0.93234475000000006,0.941358,0.94776125,0.957075125,1.0061289890056444,2294.201711429858,1530.6656408915733,2003,1,2004,S0
