locId,year,S0,S1,Smult,.chain,.iteration,.draw
52,2001,0.48955175258562067,0.37596367833820843,0.13448456907617085,1,1,1
52,2003,0.49877572166686607,0.3729682872853056,0.12825599104782828,1,1,1
52,2004,0.5081378790238438,0.3690337075924482,0.12282841338370803,1,1,1
52,2006,0.4951545368707545,0.37462063092651465,0.13022483220273082,1,1,1
52,2008,0.5090735004348622,0.3690849861072965,0.12184151345784128,1,1,1
52,2009,0.4861487491993778,0.38003082348568035,0.1338204273149419,1,1,1
52,2010,0.47059937970815446,0.3865699172188842,0.14283070307296136,1,1,1
52,2011,0.4728135366150861,0.3862185656759348,0.14096789770897902,1,1,1
52,2000,0.4900548849837541,0.3752704222217503,0.1346746927944955,1,1,1
52,2002,0.4903333231743117,0.376045045571485,0.13362163125420326,1,1,1
52,2005,0.5031225071205128,0.37299114664318683,0.12388634623630039,1,1,1
52,2007,0.4953689362434235,0.37459131461386697,0.1300397491427095,1,1,1
52,2012,0.4749021460612234,0.38589668365410384,0.1392011702846727,1,1,1
52,2013,0.438107754452062,0.4011786519459972,0.1607135936019407,1,1,1
52,2014,0.4256156523628202,0.40510831724718427,0.16927603038999556,1,1,1
52,2001,0.4537197572916554,0.39598855434066943,0.15029168836767515,1,2,2
52,2003,0.4703583583588048,0.39123345892117084,0.13840818272002436,1,2,2
52,2004,0.47678830758585844,0.3900870865449034,0.1331246058692381,1,2,2
52,2006,0.46086354933215923,0.3941810812615786,0.14495536940626214,1,2,2
52,2008,0.47154169989929506,0.3911042924791724,0.13735400762153255,1,2,2
52,2009,0.4511746015188947,0.39908941851953517,0.14973597996157015,1,2,2
52,2010,0.43935634616881264,0.4028578784320458,0.15778577539914163,1,2,2
52,2011,0.44320686095788087,0.40159439507012423,0.1551987439719949,1,2,2
52,2000,0.4625404055299539,0.38974963164433307,0.147709962825713,1,2,2
52,2002,0.45906758937626096,0.3948140001280998,0.14611841049563928,1,2,2
52,2005,0.47212421134031896,0.3929880741145844,0.1348877145450966,1,2,2
52,2007,0.45796825241568023,0.39578933059705,0.1462424169872698,1,2,2
52,2012,0.4450822506931861,0.4007695613895888,0.15414818791722512,1,2,2
52,2013,0.40204273257778717,0.41657799750026364,0.18137926992194914,1,2,2
52,2014,0.37972374420618066,0.42060767621948775,0.19966857957433165,1,2,2
52,2001,0.5115397976620937,0.37174302347620536,0.11671717886170087,1,3,3
52,2003,0.5055627290961896,0.37676416958002024,0.11767310132379018,1,3,3
52,2004,0.5115120286432878,0.3747940672260601,0.11369390413065204,1,3,3
52,2006,0.49174565718271845,0.3825766124236672,0.12567773039361435,1,3,3
52,2008,0.49963226520873383,0.37959327644648905,0.12077445834477708,1,3,3
52,2009,0.47683395761277336,0.388435519866868,0.13473052252035866,1,3,3
52,2010,0.46150317263519314,0.39379607765379115,0.14470074971101576,1,3,3
52,2011,0.46291306849651054,0.3934073145555085,0.143679616947981,1,3,3
52,2000,0.5136441206757417,0.3701928516638705,0.11616302766038776,1,3,3
52,2002,0.5028129310503112,0.37694667490419204,0.12024039404549676,1,3,3
52,2005,0.5054940803710104,0.3789235840461138,0.11558233558287578,1,3,3
52,2007,0.4877606481867719,0.38435552112692595,0.12788383068630213,1,3,3
52,2012,0.464317336621455,0.3926662948158473,0.1430163685626977,1,3,3
52,2013,0.4243717942833034,0.4080505476004641,0.16757765811623246,1,3,3
52,2014,0.40922189229027217,0.41234568118962683,0.178432426520101,1,3,3
52,2001,0.5008327521992078,0.37152844913488836,0.12763879866590389,1,4,4
52,2003,0.4899617298249812,0.3754724440734013,0.1345658261016175,1,4,4
52,2004,0.5013706228706989,0.37040452859386497,0.1282248485354362,1,4,4
52,2006,0.4948845773505935,0.373889314948654,0.13122610770075246,1,4,4
52,2008,0.5066933913988831,0.3695972945962648,0.12370931400485213,1,4,4
52,2009,0.49149727487647543,0.3772744981242566,0.131228226999268,1,4,4
52,2010,0.4774845125035766,0.38383710144778255,0.1386783860486409,1,4,4
52,2011,0.48144380540257314,0.3824693208655711,0.1360868737318558,1,4,4
52,2000,0.4977322163774979,0.37421357456093784,0.12805420906156426,1,4,4
52,2002,0.4885365512559112,0.3761195992506165,0.13534384949347225,1,4,4
52,2005,0.5059945456215956,0.36872472200468137,0.125280732373723,1,4,4
52,2007,0.4937354836140079,0.3749393118658399,0.1313252045201522,1,4,4
52,2012,0.4817879615504208,0.3826571389267142,0.13555489952286495,1,4,4
52,2013,0.433982114049151,0.4002314610800548,0.16578642487079423,1,4,4
52,2014,0.42189747448795545,0.40382989781153555,0.17427262770050905,1,4,4
52,2001,0.566205285675737,0.3439748295033838,0.08981988482087924,1,5,5
52,2003,0.5614991366212351,0.3472870742932353,0.09121378908552968,1,5,5
52,2004,0.5684845446178516,0.34391288224182054,0.08760257314032793,1,5,5
52,2006,0.5499216433341719,0.35297288124099446,0.09710547542483364,1,5,5
52,2008,0.5578923041289023,0.34859061985031586,0.09351707602078184,1,5,5
52,2009,0.5364507094656419,0.35961933864031476,0.10392995189404337,1,5,5
52,2010,0.5181135327381975,0.3687423867467811,0.11314408051502145,1,5,5
52,2011,0.5183456735490201,0.3689203717920132,0.11273395465896674,1,5,5
52,2000,0.5740669330204506,0.34005077708169634,0.08588228989785301,1,5,5
52,2002,0.5588054090651922,0.34805497273610386,0.09313961819870406,1,5,5
52,2005,0.5644371250410167,0.3471159450703301,0.08844692988865312,1,5,5
52,2007,0.5470684229718621,0.35383805702743326,0.09909352000070462,1,5,5
52,2012,0.520051612555621,0.36828083517932775,0.11166755226505118,1,5,5
52,2013,0.48722461977639486,0.38459314618711105,0.12818223403649406,1,5,5
52,2014,0.47303105761753983,0.39109344333440216,0.13587549904805804,1,5,5
52,2001,0.5006916108648958,0.3730539626755319,0.12625442645957236,1,6,6
52,2003,0.498664965213797,0.37447542993266836,0.12685960485353465,1,6,6
52,2004,0.5057567416283182,0.37164698361357923,0.12259627475810261,1,6,6
52,2006,0.4826572500949157,0.38126719516044183,0.13607555474464242,1,6,6
52,2008,0.4896295336217157,0.37902986728691745,0.13134059909136683,1,6,6
52,2009,0.4618968424146765,0.39001415816863394,0.14808899941668954,1,6,6
52,2010,0.4482351607553648,0.3957720159198856,0.15599282332474962,1,6,6
52,2011,0.45084239505897566,0.3953218422038396,0.15383576273718477,1,6,6
52,2000,0.49491788479262677,0.3754478840174988,0.1296342311898745,1,6,6
52,2002,0.4948605694994503,0.37558428051709597,0.12955514998345377,1,6,6
52,2005,0.5013392455975324,0.3740933526567935,0.1245674017456741,1,6,6
52,2007,0.4780045950453307,0.3833313162227546,0.1386640887319147,1,6,6
52,2012,0.4502158720548973,0.3955594940331314,0.15422463391197125,1,6,6
52,2013,0.4050904245332771,0.409964882248708,0.18494469321801502,1,6,6
52,2014,0.3896971015321255,0.414349702222534,0.19595319624534047,1,6,6
52,2001,0.38828571564540676,0.41102903511176836,0.2006852492428249,1,7,7
52,2003,0.38554594712888735,0.4128141370019471,0.20163991586916558,1,7,7
52,2004,0.39712505466386966,0.4103584112420512,0.19251653409407918,1,7,7
52,2006,0.3928179250440272,0.41047372719163827,0.1967083477643346,1,7,7
52,2008,0.4075768591492722,0.40752467783575935,0.18489846301496843,1,7,7
52,2009,0.3837121758074847,0.41364419680437375,0.20264362738814165,1,7,7
52,2010,0.37723721047668096,0.41448082648354795,0.20828196303977112,1,7,7
52,2011,0.3827551137104506,0.41388136577181206,0.2033635205177373,1,7,7
52,2000,0.3875059199430865,0.4129470774490858,0.19954700260782776,1,7,7
52,2002,0.38106008717187784,0.41302700975693074,0.20591290307119142,1,7,7
52,2005,0.3989214161901428,0.411862574081771,0.18921600972808608,1,7,7
52,2007,0.39391768273322997,0.4100431008314543,0.19603921643531566,1,7,7
52,2012,0.38577012656087495,0.4144107502492897,0.19981912318983544,1,7,7
52,2013,0.35224957404282253,0.4227975803923637,0.22495284556481385,1,7,7
52,2014,0.3436299788258046,0.42325213930418054,0.23311788187001484,1,7,7
52,2001,0.498516111924833,0.3784970966248233,0.12298679145034377,1,8,8
52,2003,0.4751615594509045,0.3895369129474726,0.13530152760162292,1,8,8
52,2004,0.4821682687065491,0.3872322891676093,0.13059944212584157,1,8,8
52,2006,0.462431958955241,0.393974528932141,0.1435935121126181,1,8,8
52,2008,0.4677027771216699,0.3921132451249657,0.14018397775336447,1,8,8
52,2009,0.44393231297465463,0.40075376310732913,0.1553139239180163,1,8,8
52,2010,0.42069346718168815,0.40853222246638055,0.17077431035193133,1,8,8
52,2011,0.41874646797587456,0.40980568676001694,0.17144784526410847,1,8,8
52,2000,0.49994047925205465,0.3784233607530421,0.12163615999490326,1,8,8
52,2002,0.47944594348666164,0.3865330947617878,0.13402096175155054,1,8,8
52,2005,0.4795385401745674,0.3893343552490539,0.13112710457637872,1,8,8
52,2007,0.45756903168334273,0.39527444195086436,0.14715652636579296,1,8,8
52,2012,0.41968448900659405,0.40982385295662893,0.17049165803677693,1,8,8
52,2013,0.3824078575530008,0.4219063272228668,0.19568581522413245,1,8,8
52,2014,0.3676302264679947,0.42555596879634455,0.20681380473566074,1,8,8
52,2001,0.3997046558971148,0.42276540252787465,0.17752994157501054,1,9,9
52,2003,0.38626703148923675,0.42064269070953847,0.19309027780122479,1,9,9
52,2004,0.39515119811973504,0.4173107004096605,0.18753810147060437,1,9,9
52,2006,0.38451119913889714,0.4136724664936075,0.20181633436749538,1,9,9
52,2008,0.3968265464673167,0.40869442752677837,0.19447902600590497,1,9,9
52,2009,0.3773508334980328,0.4123182322261872,0.21033093427578003,1,9,9
52,2010,0.36361680303404864,0.41457619604005724,0.22180700092589414,1,9,9
52,2011,0.36681406327231375,0.41414684747708974,0.21903908925059645,1,9,9
52,2000,0.3959325765996305,0.42651353172715495,0.1775538916732146,1,9,9
52,2002,0.38624767878988436,0.4223755030050066,0.19137681820510902,1,9,9
52,2005,0.39474678836873534,0.4161697827532649,0.1890834288779997,1,9,9
52,2007,0.38368879469654266,0.41180604672820365,0.20450515857525364,1,9,9
52,2012,0.37076808672599587,0.41361717524258834,0.21561473803141584,1,9,9
52,2013,0.33878904370741486,0.42019810921843687,0.2410128470741483,1,9,9
52,2014,0.32884040973786527,0.4219132766944567,0.24924631356767804,1,9,9
52,2001,0.4046089995034917,0.41491003939685045,0.18048096109965786,1,10,10
52,2003,0.40890956135446466,0.4080497822871004,0.18304065635843494,1,10,10
52,2004,0.42222500280062825,0.4028150857761035,0.1749599114232683,1,10,10
52,2006,0.4212053583354299,0.39843506757313085,0.1803595740914393,1,10,10
52,2008,0.43759282914492353,0.39264237205895813,0.1697647987961183,1,10,10
52,2009,0.42317274404108335,0.3969164226141459,0.17991083334477082,1,10,10
52,2010,0.41822744557367664,0.39903392850357655,0.18273862592274678,1,10,10
52,2011,0.4255383754152824,0.3974831399027849,0.1769784846819327,1,10,10
52,2000,0.40426877926904375,0.4196475464652042,0.17608367426575208,1,10,10
