locId,ageMother,numInfant
11,11,2
11,12,8
11,13,63
11,14,254
11,15,704
11,16,1218
11,17,1670
11,18,1898
11,19,2031
11,20,2306
11,21,2179
11,22,2147
11,23,2055
11,24,1805
11,25,1572
11,26,1404
11,27,1262
11,28,1050
11,29,900
11,30,783
11,31,638
11,32,548
11,33,430
11,34,342
11,35,289
11,36,229
11,37,191
11,38,179
11,39,115
11,40,90
11,41,44
11,42,51
11,43,27
11,44,15
11,45,8
11,46,5
11,47,2
11,48,1
11,49,1
11,NA,293
12,10,1
12,11,2
12,12,4
12,13,53
12,14,178
12,15,473
12,16,750
12,17,1002
12,18,1075
12,19,1125
12,20,1249
12,21,1104
12,22,1143
12,23,1051
12,24,861
12,25,799
12,26,669
12,27,660
12,28,576
12,29,472
12,30,458
12,31,356
12,32,359
12,33,287
12,34,228
12,35,198
12,36,181
12,37,151
12,38,130
12,39,91
12,40,87
12,41,57
12,42,53
12,43,38
12,44,18
12,45,12
12,46,11
12,47,5
12,48,3
12,49,1
12,50,1
12,53,1
12,NA,13
13,11,3
13,12,31
13,13,203
13,14,782
13,15,1986
13,16,3239
13,17,4120
13,18,4838
13,19,4913
13,20,5361
13,21,4823
13,22,4942
13,23,4783
13,24,4031
13,25,3625
13,26,3106
13,27,2948
13,28,2815
13,29,2214
13,30,2062
13,31,1498
13,32,1470
13,33,1347
13,34,1015
13,35,904
13,36,772
13,37,624
13,38,599
13,39,442
13,40,368
13,41,213
13,42,188
13,43,167
13,44,70
13,45,41
13,46,34
13,47,13
13,48,11
13,49,8
13,50,1
13,51,1
13,52,1
13,NA,139
14,11,1
14,12,13
14,13,52
14,14,163
14,15,272
14,16,431
14,17,590
14,18,659
14,19,682
14,20,757
14,21,693
14,22,706
14,23,648
14,24,556
14,25,520
14,26,456
14,27,441
14,28,372
14,29,346
14,30,308
14,31,259
14,32,207
14,33,198
14,34,140
14,35,122
14,36,122
14,37,119
14,38,94
14,39,72
14,40,61
14,41,24
14,42,20
14,43,23
14,44,8
14,45,3
14,46,2
14,47,1
14,48,2
14,49,1
14,NA,16
15,10,1
15,11,10
15,12,70
15,13,385
15,14,1593
15,15,3902
15,16,6638
15,17,8962
15,18,10402
15,19,11306
15,20,12119
15,21,11114
15,22,10821
15,23,10054
15,24,8195
15,25,7329
15,26,6211
15,27,5523
15,28,4959
15,29,4077
15,30,3722
15,31,2693
15,32,2586
15,33,2367
15,34,1782
15,35,1540
15,36,1402
15,37,1153
15,38,1007
15,39,766
15,40,611
15,41,400
15,42,352
15,43,259
15,44,144
15,45,98
15,46,62
15,47,26
15,48,18
15,49,8
15,51,1
15,53,1
15,55,2
15,58,1
15,NA,140
16,12,8
16,13,42
16,14,144
16,15,365
16,16,625
16,17,909
16,18,957
16,19,973
16,20,1122
16,21,975
16,22,1046
16,23,968
16,24,785
16,25,718
16,26,704
16,27,638
16,28,587
16,29,513
16,30,484
16,31,322
16,32,298
16,33,290
16,34,244
16,35,212
16,36,184
16,37,166
16,38,114
16,39,106
16,40,75
16,41,49
16,42,44
16,43,25
16,44,8
16,45,9
16,46,11
16,47,6
16,48,6
16,49,2
16,NA,30
17,11,2
17,12,17
17,13,90
17,14,286
17,15,752
17,16,1154
17,17,1653
17,18,1965
17,19,2006
17,20,2172
17,21,2047
17,22,1943
17,23,1907
17,24,1468
17,25,1287
17,26,1193
17,27,1022
17,28,871
17,29,689
17,30,614
17,31,498
17,32,469
17,33,397
17,34,309
17,35,235
17,36,216
17,37,200
17,38,166
17,39,115
17,40,82
17,41,47
17,42,61
17,43,33
17,44,27
17,45,9
17,46,13
17,47,4
17,48,4
17,49,1
17,50,1
17,NA,28
21,0,1
21,10,1
21,11,13
21,12,71
21,13,355
21,14,1345
21,15,3467
21,16,6140
21,17,8225
21,18,9550
21,19,10604
21,20,11276
21,21,10094
21,22,9825
21,23,9253
21,24,7346
21,25,6287
21,26,5198
21,27,4503
21,28,3733
21,29,3062
21,30,2832
21,31,2091
21,32,2144
21,33,1938
21,34,1413
21,35,1271
21,36,1242
21,37,994
21,38,802
21,39,737
21,40,547
21,41,354
21,42,351
21,43,211
21,44,119
21,45,77
21,46,44
21,47,28
21,48,16
21,49,16
21,50,2
21,52,1
21,54,1
21,56,1
21,60,1
21,61,1
21,NA,337
22,11,2
22,12,19
22,13,122
22,14,497
22,15,1217
22,16,2297
22,17,3254
22,18,3794
22,19,4079
22,20,4319
22,21,4086
22,22,3956
22,23,3820
22,24,3442
22,25,2869
22,26,2541
22,27,2281
22,28,1908
22,29,1541
22,30,1498
22,31,1179
22,32,1060
22,33,955
22,34,800
22,35,698
22,36,583
22,37,490
22,38,392
22,39,361
22,40,314
22,41,190
22,42,159
22,43,130
22,44,56
22,45,47
22,46,19
22,47,12
22,48,6
22,49,7
22,NA,105
23,10,1
23,11,8
23,12,32
23,13,266
23,14,1129
23,15,2902
23,16,4963
23,17,7186
23,18,7849
23,19,8143
23,20,9130
23,21,8795
23,22,8726
23,23,8352
23,24,7725
23,25,7536
23,26,6533
23,27,6167
23,28,5717
23,29,5249
23,30,4822
23,31,3999
23,32,3825
23,33,3647
23,34,2936
23,35,2774
23,36,2374
23,37,2135
23,38,1811
23,39,1553
23,40,1171
23,41,785
23,42,654
23,43,440
23,44,237
23,45,135
23,46,53
23,47,20
23,48,16
23,49,8
23,50,2
23,51,1
23,NA,276
24,11,2
24,12,15
24,13,97
24,14,481
24,15,1278
24,16,2097
24,17,2693
24,18,3006
24,19,3100
24,20,3465
24,21,3382
24,22,3300
24,23,3176
24,24,2917
24,25,2747
24,26,2410
24,27,2347
24,28,2085
24,29,1994
24,30,1848
24,31,1414
24,32,1371
24,33,1346
24,34,1063
24,35,988
24,36,772
24,37,709
24,38,610
24,39,494
24,40,323
24,41,210
24,42,194
24,43,107
24,44,50
24,45,33
24,46,25
24,47,6
24,48,4
24,49,4
24,NA,149
25,12,17
25,13,95
25,14,474
25,15,1304
25,16,2275
25,17,3284
25,18,3570
25,19,3935
25,20,4441
25,21,4415
25,22,4421
25,23,4177
25,24,3870
25,25,3585
25,26,3081
25,27,2970
25,28,2657
25,29,2299
25,30,2108
25,31,1625
25,32,1494
25,33,1398
25,34,1176
25,35,1059
25,36,918
25,37,780
25,38,713
25,39,528
25,40,441
25,41,276
25,42,232
25,43,145
25,44,82
25,45,62
25,46,25
25,47,11
25,48,5
25,49,9
25,NA,158
26,10,1
26,11,4
26,12,31
26,13,275
26,14,1297
26,15,3141
26,16,5420
26,17,7691
26,18,8717
26,19,9276
26,20,10195
26,21,10627
26,22,10339
26,23,9760
26,24,8774
26,25,8240
26,26,7603
26,27,6942
26,28,6525
