locId,ageMother,numInfant
11,11,3
11,12,6
11,13,72
11,14,257
11,15,616
11,16,1152
11,17,1646
11,18,2004
11,19,2102
11,20,2153
11,21,2160
11,22,2057
11,23,2065
11,24,1895
11,25,1658
11,26,1437
11,27,1213
11,28,1154
11,29,1001
11,30,764
11,31,634
11,32,560
11,33,463
11,34,377
11,35,259
11,36,248
11,37,210
11,38,174
11,39,111
11,40,71
11,41,58
11,42,50
11,43,25
11,44,20
11,45,9
11,46,2
11,47,3
11,48,1
11,49,1
11,NA,236
12,12,2
12,13,55
12,14,197
12,15,471
12,16,739
12,17,980
12,18,1138
12,19,1191
12,20,1209
12,21,1049
12,22,1152
12,23,1090
12,24,986
12,25,835
12,26,764
12,27,647
12,28,621
12,29,546
12,30,525
12,31,369
12,32,336
12,33,337
12,34,252
12,35,196
12,36,188
12,37,164
12,38,144
12,39,120
12,40,91
12,41,34
12,42,56
12,43,29
12,44,24
12,45,14
12,46,8
12,47,2
12,48,5
12,49,7
12,NA,11
13,11,4
13,12,40
13,13,193
13,14,801
13,15,1816
13,16,3241
13,17,4090
13,18,4826
13,19,5141
13,20,5117
13,21,4734
13,22,4758
13,23,4698
13,24,4429
13,25,3666
13,26,3329
13,27,3035
13,28,2687
13,29,2245
13,30,2149
13,31,1582
13,32,1529
13,33,1364
13,34,1179
13,35,896
13,36,803
13,37,703
13,38,593
13,39,458
13,40,352
13,41,202
13,42,203
13,43,137
13,44,88
13,45,47
13,46,25
13,47,10
13,48,16
13,49,13
13,50,4
13,52,1
13,56,1
13,59,1
13,NA,139
14,12,8
14,13,50
14,14,136
14,15,247
14,16,398
14,17,543
14,18,613
14,19,698
14,20,695
14,21,664
14,22,652
14,23,607
14,24,594
14,25,509
14,26,440
14,27,386
14,28,388
14,29,336
14,30,309
14,31,239
14,32,230
14,33,212
14,34,169
14,35,133
14,36,110
14,37,81
14,38,67
14,39,73
14,40,47
14,41,32
14,42,31
14,43,10
14,44,8
14,45,5
14,46,1
14,48,1
14,50,1
14,54,1
14,NA,18
15,10,1
15,11,16
15,12,64
15,13,451
15,14,1537
15,15,3781
15,16,6640
15,17,8694
15,18,10274
15,19,11025
15,20,11593
15,21,10671
15,22,10732
15,23,9983
15,24,8818
15,25,7274
15,26,6188
15,27,5454
15,28,4942
15,29,4044
15,30,3633
15,31,2740
15,32,2492
15,33,2245
15,34,1931
15,35,1502
15,36,1325
15,37,1142
15,38,966
15,39,757
15,40,598
15,41,382
15,42,299
15,43,213
15,44,148
15,45,87
15,46,50
15,47,25
15,48,35
15,49,6
15,50,2
15,51,1
15,52,1
15,53,1
15,57,1
15,NA,130
16,10,1
16,11,4
16,12,7
16,13,42
16,14,166
16,15,368
16,16,629
16,17,798
16,18,938
16,19,944
16,20,1057
16,21,932
16,22,933
16,23,875
16,24,817
16,25,664
16,26,636
16,27,599
16,28,532
16,29,469
16,30,454
16,31,341
16,32,290
16,33,305
16,34,261
16,35,198
16,36,157
16,37,126
16,38,139
16,39,81
16,40,66
16,41,34
16,42,39
16,43,23
16,44,15
16,45,14
16,46,6
16,47,5
16,48,1
16,NA,5
17,11,2
17,12,16
17,13,93
17,14,290
17,15,719
17,16,1178
17,17,1523
17,18,1836
17,19,1960
17,20,1988
17,21,1921
17,22,1895
17,23,1722
17,24,1639
17,25,1370
17,26,1166
17,27,1108
17,28,888
17,29,781
17,30,625
17,31,515
17,32,447
17,33,378
17,34,355
17,35,273
17,36,201
17,37,176
17,38,167
17,39,114
17,40,93
17,41,74
17,42,44
17,43,57
17,44,23
17,45,11
17,46,3
17,47,2
17,49,1
17,53,1
17,NA,18
21,11,8
21,12,71
21,13,392
21,14,1329
21,15,3335
21,16,5961
21,17,7943
21,18,9524
21,19,10121
21,20,10891
21,21,10004
21,22,9646
21,23,8714
21,24,7963
21,25,6467
21,26,5173
21,27,4652
21,28,3925
21,29,3201
21,30,2767
21,31,2088
21,32,2003
21,33,1762
21,34,1545
21,35,1264
21,36,1096
21,37,951
21,38,850
21,39,636
21,40,526
21,41,357
21,42,272
21,43,220
21,44,122
21,45,74
21,46,36
21,47,25
21,48,18
21,49,9
21,52,1
21,53,1
21,54,2
21,58,1
21,NA,572
22,10,1
22,11,4
22,12,21
22,13,103
22,14,549
22,15,1216
22,16,2227
22,17,3170
22,18,3709
22,19,4054
22,20,4163
22,21,4092
22,22,3903
22,23,3706
22,24,3470
22,25,3017
22,26,2595
22,27,2197
22,28,1981
22,29,1698
22,30,1501
22,31,1166
22,32,1065
22,33,955
22,34,812
22,35,675
22,36,566
22,37,475
22,38,430
22,39,348
22,40,270
22,41,192
22,42,137
22,43,106
22,44,59
22,45,24
22,46,13
22,47,5
22,48,5
22,49,5
22,NA,62
23,11,17
23,12,27
23,13,220
23,14,1095
23,15,2909
23,16,4971
23,17,6578
23,18,8075
23,19,8299
23,20,8263
23,21,8763
23,22,8384
23,23,8077
23,24,7826
23,25,7077
23,26,6610
23,27,6055
23,28,5670
23,29,5170
23,30,4851
23,31,3939
23,32,3755
23,33,3458
23,34,3122
23,35,2682
23,36,2314
23,37,2093
23,38,1775
23,39,1393
23,40,1248
23,41,835
23,42,587
23,43,449
23,44,260
23,45,114
23,46,70
23,47,21
23,48,10
23,49,8
23,52,1
23,53,1
23,NA,263
24,11,1
24,12,13
24,13,95
24,14,403
24,15,1172
24,16,1980
24,17,2585
24,18,3067
24,19,3163
24,20,3134
24,21,3181
24,22,3205
24,23,3134
24,24,2971
24,25,2667
24,26,2401
24,27,2243
24,28,2048
24,29,1908
24,30,1824
24,31,1489
24,32,1299
24,33,1183
24,34,1073
24,35,875
24,36,806
24,37,702
24,38,559
24,39,491
24,40,371
24,41,226
24,42,185
24,43,110
24,44,79
24,45,24
24,46,19
24,47,6
24,48,1
24,49,4
24,50,1
24,52,1
24,NA,106
25,11,1
25,12,10
25,13,92
25,14,481
25,15,1247
25,16,2163
25,17,3039
25,18,3795
25,19,3892
25,20,4082
25,21,4095
25,22,4174
25,23,4135
25,24,3785
25,25,3520
25,26,2996
25,27,2798
25,28,2597
25,29,2349
25,30,2042
25,31,1717
25,32,1558
25,33,1319
25,34,1176
25,35,1006
25,36,922
25,37,781
25,38,635
25,39,513
25,40,403
25,41,245
25,42,218
25,43,138
25,44,92
25,45,37
25,46,26
25,47,11
25,48,4
25,49,3
25,NA,103
26,10,1
26,11,3
26,12,33
26,13,263
26,14,1110
26,15,3049
26,16,5400
26,17,7410
26,18,9009
26,19,9399
26,20,9688
26,21,10195
26,22,10089
26,23,9632
26,24,8876
26,25,7928
26,26,7505
26,27,6979
26,28,6296
26,29,5566
26,30,5118
26,31,4170
26,32,3710
26,33,3311
26,34,2935
26,35,2448
26,36,2041
26,37,1791
26,38,1576
26,39,1171
26,40,937
26,41,595
26,42,513
26,43,334
26,44,215
26,45,99
26,46,67
26,47,25
26,48,18
26,49,9
26,50,4
26,51,2
26,53,1
26,NA,110
27,11,2
27,12,8
27,13,98
27,14,506
27,15,1339
27,16,2449
27,17,3159
27,18,3797
27,19,3946
27,20,4029
27,21,4043
27,22,4006
27,23,3822
27,24,3369
27,25,3098
27,26,2846
27,27,2653
27,28,2343
27,29,2114
27,30,1860
27,31,1444
27,32,1292
27,33,1187
27,34,1151
27,35,920
27,36,756
27,37,699
27,38,602
27,39,439
27,40,418
27,41,270
27,42,185
27,43,147
27,44,91
27,45,44
27,46,21
27,47,21
27,48,4
27,49,6
27,50,2
27,51,2
27,52,1
27,53,1
27,56,1
27,58,1
27,NA,66
28,11,4
28,12,12
28,13,72
28,14,250
28,15,683
28,16,1237
28,17,1606
28,18,1973
28,19,2145
28,20,2164
28,21,2254
28,22,2312
28,23,2182
28,24,2072
28,25,1836
28,26,1729
28,27,1684
28,28,1512
28,29,1382
28,30,1288
28,31,1124
28,32,1043
28,33,878
28,34,791
28,35,694
28,36,597
28,37,535
28,38,443
28,39,351
28,40,308
28,41,196
28,42,154
28,43,78
28,44,53
28,45,42
28,46,18
28,47,12
28,48,3
28,49,5
28,50,1
28,NA,104
29,10,3
29,11,12
29,12,65
29,13,411
29,14,1818
29,15,4931
29,16,9006
29,17,12339
29,18,14860
29,19,15463
29,20,15921
29,21,15653
29,22,15832
29,23,15172
29,24,13842
29,25,12539
29,26,11038
29,27,9931
29,28,8823
29,29,8028
29,30,7454
29,31,6103
29,32,5473
29,33,5023
29,34,4378
29,35,3633
29,36,3358
29,37,2882
29,38,2277
29,39,1946
29,40,1575
29,41,963
29,42,719
29,43,557
29,44,332
29,45,177
29,46,98
29,47,46
29,48,23
29,49,11
29,50,10
29,51,2
29,52,2
29,53,2
29,56,1
29,NA,1722
31,10,1
31,11,6
31,12,35
31,13,242
31,14,1347
31,15,3826
31,16,7428
31,17,10592
31,18,13540
31,19,14609
31,20,15992
31,21,16888
31,22,17469
31,23,16903
31,24,16238
31,25,15756
31,26,15051
31,27,13689
31,28,12877
31,29,11882
31,30,10532
31,31,9562
31,32,8966
31,33,8030
31,34,6888
31,35,5995
31,36,5222
31,37,4436
31,38,3744
31,39,2957
31,40,2379
31,41,1584
31,42,1156
31,43,694
31,44,423
31,45,209
31,46,116
31,47,42
31,48,26
31,49,13
31,50,3
31,52,1
31,53,2
31,54,1
31,55,1
31,NA,338
32,12,10
32,13,68
32,14,299
32,15,907
32,16,1667
32,17,2355
32,18,2863
32,19,2895
32,20,3313
32,21,3364
32,22,3494
32,23,3389
32,24,3346
32,25,3028
32,26,2924
32,27,2608
32,28,2359
32,29,2242
32,30,2002
32,31,1653
32,32,1578
32,33,1347
32,34,1121
32,35,947
32,36,809
32,37,707
32,38,544
32,39,465
32,40,370
32,41,194
32,42,142
32,43,92
32,44,45
32,45,22
32,46,8
32,47,6
32,49,3
32,NA,57
33,11,12
33,12,41
33,13,304
33,14,1398
33,15,3918
33,16,6822
33,17,8829
33,18,10618
33,19,11694
33,20,12652
33,21,13528
33,22,14039
33,23,13865
33,24,13151
33,25,12533
33,26,11960
33,27,11541
33,28,10492
33,29,9886
33,30,9241
33,31,8139
33,32,7721
33,33,6814
33,34,6013
33,35,5062
33,36,4454
33,37,3797
33,38,3230
33,39,2522
33,40,2048
33,41,1334
33,42,868
33,43,548
33,44,321
33,45,127
33,46,64
33,47,38
33,48,8
33,49,8
33,50,2
33,51,3
33,53,1
33,NA,255
35,11,2
35,12,53
35,13,463
35,14,2613
35,15,7466
35,16,15252
35,17,21668
35,18,27238
35,19,29961
35,20,32411
35,21,35633
35,22,36539
35,23,35270
35,24,34949
35,25,34059
35,26,33472
35,27,31922
35,28,30706
35,29,28741
35,30,26941
35,31,24408
35,32,22299
35,33,19719
35,34,17479
35,35,14943
35,36,13031
35,37,10802
35,38,8829
35,39,6893
35,40,5281
35,41,3610
35,42,2344
35,43,1354
35,44,773
35,45,360
35,46,184
35,47,68
35,48,38
35,49,8
35,50,19
35,52,1
35,53,1
35,54,1
35,55,1
35,64,1
35,NA,274
41,10,1
41,11,4
41,12,35
41,13,233
41,14,1035
41,15,2890
41,16,5162
41,17,6808
41,18,8313
41,19,8515
41,20,9042
41,21,9376
41,22,9446
41,23,9080
41,24,8777
41,25,8412
41,26,8040
41,27,7755
41,28,7323
41,29,6982
41,30,6243
41,31,5666
41,32,5296
41,33,4735
41,34,4181
41,35,3455
41,36,3074
41,37,2564
41,38,2096
41,39,1676
41,40,1231
41,41,811
41,42,566
41,43,348
41,44,206
41,45,115
41,46,55
41,47,22
41,48,16
41,49,11
41,50,1
41,54,1
41,NA,38
42,10,1
42,12,9
42,13,84
42,14,428
42,15,1321
42,16,2360
42,17,3378
42,18,4112
42,19,4393
42,20,4680
42,21,5001
42,22,4861
42,23,4814
42,24,4843
42,25,4469
42,26,4320
42,27,4110
42,28,4123
42,29,3833
42,30,3493
42,31,3207
42,32,2903
42,33,2721
42,34,2365
42,35,1959
42,36,1784
42,37,1510
42,38,1239
42,39,987
42,40,762
42,41,519
42,42,363
42,43,233
42,44,132
42,45,58
42,46,23
42,47,21
42,48,5
42,49,4
42,53,1
42,NA,46
43,11,2
43,12,29
43,13,210
43,14,995
43,15,2450
43,16,4404
43,17,5805
43,18,7002
43,19,7438
43,20,8159
43,21,8417
43,22,8297
43,23,8077
43,24,7834
43,25,7616
43,26,7454
43,27,6886
43,28,6819
43,29,6369
43,30,6189
43,31,5665
43,32,5338
43,33,5076
43,34,4754
43,35,4153
43,36,3836
43,37,3229
43,38,2903
43,39,2382
43,40,1820
43,41,1253
43,42,926
43,43,573
43,44,296
43,45,144
43,46,69
43,47,27
43,48,15
43,49,11
43,50,1
43,53,1
43,NA,91
50,12,28
50,13,115
50,14,443
50,15,1010
50,16,1550
50,17,2080
50,18,2441
50,19,2632
50,20,2726
50,21,2913
