locId,ageMother,numInfant
11,11,1
11,12,11
11,13,88
11,14,296
11,15,728
11,16,1381
11,17,2002
11,18,2398
11,19,2551
11,20,2581
11,21,2377
11,22,2206
11,23,2117
11,24,1738
11,25,1613
11,26,1441
11,27,1170
11,28,1091
11,29,850
11,30,782
11,31,543
11,32,528
11,33,459
11,34,355
11,35,283
11,36,210
11,37,187
11,38,169
11,39,133
11,40,107
11,41,55
11,42,27
11,43,30
11,44,26
11,45,13
11,46,9
11,47,3
11,49,5
11,NA,513
12,10,1
12,11,2
12,12,8
12,13,54
12,14,201
12,15,452
12,16,764
12,17,979
12,18,1096
12,19,1152
12,20,1118
12,21,974
12,22,988
12,23,891
12,24,766
12,25,764
12,26,635
12,27,518
12,28,539
12,29,401
12,30,394
12,31,274
12,32,285
12,33,255
12,34,198
12,35,160
12,36,124
12,37,114
12,38,139
12,39,102
12,40,70
12,41,48
12,42,38
12,43,26
12,44,21
12,45,8
12,46,5
12,47,5
12,48,3
12,49,2
12,NA,365
13,11,6
13,12,32
13,13,145
13,14,681
13,15,1663
13,16,2847
13,17,3861
13,18,4579
13,19,4847
13,20,4819
13,21,4174
13,22,4240
13,23,4132
13,24,3618
13,25,3204
13,26,2690
13,27,2357
13,28,2178
13,29,1877
13,30,1594
13,31,1183
13,32,1146
13,33,939
13,34,783
13,35,731
13,36,631
13,37,506
13,38,463
13,39,351
13,40,262
13,41,125
13,42,150
13,43,109
13,44,61
13,45,39
13,46,22
13,47,16
13,48,9
13,49,5
13,52,1
13,54,1
13,NA,960
14,11,1
14,12,9
14,13,50
14,14,125
14,15,284
14,16,443
14,17,587
14,18,658
14,19,713
14,20,702
14,21,678
14,22,609
14,23,601
14,24,534
14,25,482
14,26,385
14,27,400
14,28,349
14,29,353
14,30,258
14,31,223
14,32,228
14,33,164
14,34,143
14,35,135
14,36,126
14,37,90
14,38,77
14,39,62
14,40,44
14,41,23
14,42,31
14,43,13
14,44,8
14,45,7
14,NA,74
15,10,4
15,11,7
15,12,69
15,13,332
15,14,1358
15,15,3420
15,16,5976
15,17,8335
15,18,9605
15,19,10344
15,20,10372
15,21,9500
15,22,9133
15,23,8317
15,24,7378
15,25,6296
15,26,5333
15,27,4634
15,28,4285
15,29,3575
15,30,3116
15,31,2294
15,32,2222
15,33,1938
15,34,1547
15,35,1364
15,36,1158
15,37,1007
15,38,987
15,39,749
15,40,502
15,41,371
15,42,375
15,43,209
15,44,139
15,45,86
15,46,40
15,47,34
15,48,20
15,49,11
15,50,8
15,53,1
15,NA,966
16,11,1
16,12,5
16,13,20
16,14,138
16,15,274
16,16,516
16,17,717
16,18,848
16,19,859
16,20,997
16,21,858
16,22,847
16,23,809
16,24,739
16,25,700
16,26,633
16,27,482
16,28,505
16,29,479
16,30,390
16,31,290
16,32,277
16,33,261
16,34,199
16,35,168
16,36,140
16,37,121
16,38,116
16,39,80
16,40,62
16,41,38
16,42,43
16,43,21
16,44,7
16,45,12
16,46,5
16,47,3
16,48,4
16,NA,928
17,10,1
17,11,2
17,12,20
17,13,83
17,14,287
17,15,718
17,16,1353
17,17,1745
17,18,1968
17,19,2284
17,20,2142
17,21,1939
17,22,2063
17,23,1816
17,24,1599
17,25,1264
17,26,1018
17,27,881
17,28,807
17,29,663
17,30,607
17,31,472
17,32,442
17,33,364
17,34,283
17,35,260
17,36,199
17,37,185
17,38,155
17,39,111
17,40,80
17,41,57
17,42,66
17,43,49
17,44,27
17,45,22
17,46,11
17,47,7
17,48,3
17,49,1
17,50,1
17,NA,443
21,10,7
21,11,9
21,12,52
21,13,236
21,14,920
21,15,2470
21,16,4350
21,17,6065
21,18,7245
21,19,8094
21,20,8158
21,21,6937
21,22,6888
21,23,6093
21,24,5105
21,25,4283
21,26,3506
21,27,3024
21,28,2767
21,29,2394
21,30,2129
21,31,1465
21,32,1462
21,33,1273
21,34,1012
21,35,1014
21,36,911
21,37,668
21,38,594
21,39,528
21,40,371
21,41,236
21,42,244
21,43,153
21,44,108
21,45,72
21,46,30
21,47,16
21,48,14
21,49,15
21,NA,5669
22,11,2
22,12,25
22,13,103
22,14,413
22,15,1068
22,16,1941
22,17,2754
22,18,3280
22,19,3874
22,20,4089
22,21,3621
22,22,3708
22,23,3208
22,24,2817
22,25,2421
22,26,2081
22,27,1786
22,28,1687
22,29,1454
22,30,1234
22,31,962
22,32,948
22,33,883
22,34,625
22,35,650
22,36,506
22,37,443
22,38,338
22,39,289
22,40,221
22,41,164
22,42,147
22,43,86
22,44,52
22,45,31
22,46,25
22,47,11
22,48,12
22,49,7
22,NA,1470
23,10,7
23,11,4
23,12,50
23,13,243
23,14,1043
23,15,2585
23,16,5067
23,17,6935
23,18,8113
23,19,8806
23,20,8969
23,21,8571
23,22,8700
23,23,8307
23,24,7735
23,25,7438
23,26,6515
23,27,5855
23,28,5593
23,29,5248
23,30,4899
23,31,3848
23,32,3876
23,33,3480
23,34,3036
23,35,2906
23,36,2366
23,37,1964
23,38,1665
23,39,1280
23,40,1068
23,41,747
23,42,652
23,43,433
23,44,284
23,45,161
23,46,69
23,47,42
23,48,28
23,49,19
23,50,2
23,51,2
23,52,1
23,53,1
23,NA,4488
24,10,1
24,11,1
24,12,20
24,13,124
24,14,517
24,15,1245
24,16,2326
24,17,3013
24,18,3513
24,19,3670
24,20,3846
24,21,3713
24,22,3647
24,23,3455
24,24,3291
24,25,3063
24,26,2638
24,27,2353
24,28,2193
24,29,2118
24,30,1942
24,31,1603
24,32,1546
24,33,1380
24,34,1238
24,35,1037
24,36,892
24,37,687
24,38,620
24,39,482
24,40,283
24,41,187
24,42,181
24,43,138
24,44,81
24,45,51
24,46,23
24,47,15
24,48,11
24,49,1
24,54,1
24,NA,791
25,10,1
25,11,1
25,12,14
25,13,96
25,14,357
25,15,947
25,16,1956
25,17,2751
25,18,3396
25,19,3689
25,20,3797
25,21,3587
25,22,3612
25,23,3520
25,24,3252
25,25,2768
25,26,2417
25,27,2146
25,28,1932
25,29,1744
25,30,1650
25,31,1350
25,32,1216
25,33,1012
25,34,931
25,35,822
25,36,692
25,37,553
25,38,468
25,39,399
25,40,299
25,41,202
25,42,156
25,43,110
25,44,69
25,45,52
25,46,19
25,47,17
25,48,7
25,49,7
25,50,1
25,NA,2495
26,10,2
26,11,7
26,12,45
26,13,305
26,14,1245
26,15,3196
26,16,6206
26,17,8857
26,18,10323
26,19,11068
26,20,11597
26,21,11301
26,22,11598
26,23,10581
26,24,9891
26,25,8770
26,26,7930
26,27,6970
26,28,6408
26,29,5723
