state,Year,Age,severe,numcase
27,2002,28,Mild,119
27,2002,28,Severe,2
27,2002,29,Mild,144
27,2002,30,Mild,144
27,2002,31,Mild,134
27,2002,32,Mild,134
27,2002,33,Mild,122
27,2002,33,Severe,1
27,2002,34,Mild,110
27,2002,35,Mild,112
27,2002,36,Mild,98
27,2002,37,Mild,105
27,2002,38,Mild,132
27,2002,39,Mild,113
27,2002,39,Severe,1
27,2002,40,Mild,89
27,2002,41,Mild,85
27,2002,42,Mild,92
27,2002,42,Severe,1
27,2002,43,Mild,72
27,2002,43,Severe,1
27,2002,44,Mild,61
27,2002,44,Severe,2
27,2002,45,Mild,70
27,2002,46,Mild,54
27,2002,47,Mild,78
27,2002,48,Mild,66
27,2002,48,Severe,1
27,2002,49,Mild,62
27,2002,50,Mild,73
27,2002,51,Mild,51
27,2002,52,Mild,51
27,2002,52,Severe,1
27,2002,53,Mild,56
27,2002,54,Mild,40
27,2002,54,Severe,1
27,2002,55,Mild,44
27,2002,55,Severe,1
27,2002,56,Mild,41
27,2002,57,Mild,38
27,2002,57,Severe,2
27,2002,58,Mild,30
27,2002,59,Mild,31
27,2002,59,Severe,1
27,2002,60,Mild,15
27,2002,61,Mild,31
27,2002,62,Mild,27
27,2002,63,Mild,21
27,2002,63,Severe,1
27,2002,64,Mild,17
27,2002,65,Mild,11
27,2002,66,Mild,26
27,2002,67,Mild,15
27,2002,68,Mild,7
27,2002,69,Mild,10
27,2002,69,Severe,1
27,2002,70,Mild,11
27,2002,71,Mild,14
27,2002,72,Mild,11
27,2002,72,Severe,1
27,2002,73,Mild,6
27,2002,74,Mild,11
27,2002,75,Mild,4
27,2002,76,Mild,8
27,2002,77,Mild,2
27,2002,78,Mild,5
27,2002,79,Mild,4
27,2002,80,Mild,4
27,2002,81,Mild,3
27,2002,83,Mild,2
27,2002,84,Mild,1
27,2002,85,Mild,1
27,2002,87,Mild,3
27,2002,90,Mild,1
27,2003,2,Mild,26
27,2003,2,Severe,2
27,2003,3,Mild,19
27,2003,4,Mild,27
27,2003,4,Severe,1
27,2003,5,Mild,28
27,2003,6,Mild,38
27,2003,7,Mild,42
27,2003,7,Severe,1
27,2003,8,Mild,50
27,2003,9,Mild,63
27,2003,10,Mild,62
27,2003,11,Mild,70
27,2003,11,Severe,1
27,2003,12,Mild,61
27,2003,13,Mild,66
27,2003,13,Severe,1
27,2003,14,Mild,116
27,2003,15,Mild,140
27,2003,15,Severe,1
27,2003,16,Mild,128
27,2003,16,Severe,1
27,2003,17,Mild,138
27,2003,17,Severe,1
27,2003,18,Mild,130
27,2003,18,Severe,2
27,2003,19,Mild,153
27,2003,19,Severe,2
27,2003,20,Mild,161
27,2003,20,Severe,1
27,2003,21,Mild,143
27,2003,21,Severe,1
27,2003,22,Mild,135
27,2003,22,Severe,1
27,2003,23,Mild,138
27,2003,23,Severe,1
27,2003,24,Mild,139
27,2003,24,Severe,2
27,2003,25,Mild,152
27,2003,25,Severe,1
27,2003,26,Mild,133
27,2003,26,Severe,1
27,2003,27,Mild,126
27,2003,27,Severe,2
27,2003,28,Mild,118
27,2003,29,Mild,104
27,2003,30,Mild,118
27,2003,31,Mild,124
27,2003,31,Severe,1
27,2003,32,Mild,85
27,2003,32,Severe,2
27,2003,33,Mild,103
27,2003,33,Severe,2
27,2003,34,Mild,98
27,2003,35,Mild,105
27,2003,35,Severe,1
27,2003,36,Mild,87
27,2003,36,Severe,3
27,2003,37,Mild,91
27,2003,37,Severe,2
27,2003,38,Mild,86
27,2003,39,Mild,96
27,2003,39,Severe,1
27,2003,40,Mild,103
27,2003,40,Severe,2
27,2003,41,Mild,75
27,2003,41,Severe,1
27,2003,42,Mild,76
27,2003,42,Severe,1
27,2003,43,Mild,77
27,2003,43,Severe,1
27,2003,44,Mild,95
27,2003,45,Mild,81
27,2003,45,Severe,1
27,2003,46,Mild,63
27,2003,47,Mild,45
27,2003,47,Severe,1
27,2003,48,Mild,66
27,2003,48,Severe,1
27,2003,49,Mild,55
27,2003,49,Severe,1
27,2003,50,Mild,63
27,2003,51,Mild,54
27,2003,51,Severe,1
27,2003,52,Mild,46
27,2003,53,Mild,51
27,2003,54,Mild,49
27,2003,55,Mild,43
27,2003,56,Mild,45
27,2003,57,Mild,32
27,2003,58,Mild,33
27,2003,59,Mild,31
27,2003,59,Severe,1
27,2003,60,Mild,37
27,2003,60,Severe,2
27,2003,61,Mild,28
27,2003,62,Mild,33
27,2003,63,Mild,24
27,2003,64,Mild,27
27,2003,65,Mild,15
27,2003,66,Mild,18
27,2003,67,Mild,17
27,2003,68,Mild,11
27,2003,69,Mild,11
27,2003,70,Mild,15
27,2003,71,Mild,14
27,2003,72,Mild,9
27,2003,73,Mild,12
27,2003,74,Mild,12
27,2003,75,Mild,9
27,2003,75,Severe,1
27,2003,76,Mild,7
27,2003,77,Mild,6
27,2003,78,Mild,3
27,2003,78,Severe,1
27,2003,79,Mild,5
27,2003,80,Mild,7
27,2003,83,Mild,1
27,2003,84,Mild,3
27,2003,85,Mild,2
27,2003,86,Mild,1
27,2003,87,Mild,1
27,2003,88,Mild,2
27,2003,89,Mild,1
27,2003,90,Mild,1
27,2003,92,Mild,1
27,2004,2,Mild,17
27,2004,3,Mild,22
27,2004,4,Mild,22
27,2004,4,Severe,1
27,2004,5,Mild,26
27,2004,6,Mild,43
27,2004,7,Mild,38
27,2004,7,Severe,1
27,2004,8,Mild,43
27,2004,8,Severe,1
27,2004,9,Mild,50
