state,Year,Age,severe,numcase
17,2000,2,Mild,2
17,2000,3,Mild,5
17,2000,4,Mild,5
17,2000,5,Mild,6
17,2000,6,Mild,7
17,2000,7,Mild,10
17,2000,8,Mild,6
17,2000,9,Mild,11
17,2000,10,Mild,17
17,2000,11,Mild,12
17,2000,12,Mild,17
17,2000,13,Mild,13
17,2000,14,Mild,20
17,2000,15,Mild,18
17,2000,16,Mild,28
17,2000,17,Mild,29
17,2000,18,Mild,28
17,2000,19,Mild,34
17,2000,20,Mild,37
17,2000,21,Mild,31
17,2000,21,Severe,1
17,2000,22,Mild,34
17,2000,23,Mild,32
17,2000,24,Mild,32
17,2000,25,Mild,32
17,2000,26,Mild,33
17,2000,27,Mild,30
17,2000,28,Mild,38
17,2000,29,Mild,28
17,2000,30,Mild,34
17,2000,31,Mild,30
17,2000,32,Mild,23
17,2000,33,Mild,32
17,2000,34,Mild,42
17,2000,35,Mild,26
17,2000,36,Mild,22
17,2000,37,Mild,29
17,2000,38,Mild,26
17,2000,39,Mild,25
17,2000,40,Mild,24
17,2000,41,Mild,16
17,2000,42,Mild,19
17,2000,43,Mild,20
17,2000,44,Mild,18
17,2000,44,Severe,1
17,2000,45,Mild,21
17,2000,46,Mild,17
17,2000,47,Mild,11
17,2000,48,Mild,14
17,2000,49,Mild,16
17,2000,50,Mild,5
17,2000,51,Mild,11
17,2000,52,Mild,8
17,2000,52,Severe,1
17,2000,53,Mild,12
17,2000,54,Mild,11
17,2000,55,Mild,9
17,2000,56,Mild,6
17,2000,57,Mild,6
17,2000,58,Mild,4
17,2000,59,Mild,11
17,2000,60,Mild,5
17,2000,61,Mild,8
17,2000,62,Mild,6
17,2000,63,Mild,3
17,2000,64,Mild,4
17,2000,65,Mild,4
17,2000,66,Mild,1
17,2000,67,Mild,3
17,2000,67,Severe,1
17,2000,68,Mild,1
17,2000,69,Mild,1
17,2000,69,Severe,1
17,2000,71,Mild,4
17,2000,72,Mild,1
17,2000,73,Mild,2
17,2000,74,Mild,2
17,2000,77,Mild,1
17,2000,79,Mild,4
17,2000,81,Mild,2
17,2000,83,Mild,2
17,2000,88,Mild,1
17,2000,91,Mild,1
17,2001,2,Mild,24
17,2001,3,Mild,43
17,2001,4,Mild,31
17,2001,4,Severe,1
17,2001,5,Mild,39
17,2001,6,Mild,26
17,2001,6,Severe,1
17,2001,7,Mild,38
17,2001,8,Mild,40
17,2001,9,Mild,46
17,2001,9,Severe,1
17,2001,10,Mild,64
17,2001,11,Mild,65
17,2001,12,Mild,70
17,2001,13,Mild,92
17,2001,13,Severe,1
17,2001,14,Mild,80
17,2001,15,Mild,75
17,2001,16,Mild,84
17,2001,17,Mild,92
17,2001,17,Severe,1
17,2001,18,Mild,119
17,2001,19,Mild,103
17,2001,19,Severe,1
17,2001,20,Mild,112
17,2001,20,Severe,1
17,2001,21,Mild,124
17,2001,22,Mild,125
17,2001,23,Mild,103
17,2001,24,Mild,115
17,2001,25,Mild,135
