state,Year,Age,severe,numcase
43,2000,11,Mild,2
43,2000,15,Mild,1
43,2000,20,Mild,2
43,2000,22,Mild,1
43,2000,23,Mild,1
43,2000,27,Mild,2
43,2000,28,Mild,3
43,2000,30,Mild,1
43,2000,32,Mild,1
43,2000,37,Mild,1
43,2000,39,Mild,1
43,2000,40,Mild,1
43,2000,42,Mild,1
43,2000,43,Mild,1
43,2000,45,Mild,1
43,2000,47,Mild,2
43,2000,48,Mild,1
43,2000,49,Mild,1
43,2000,51,Mild,1
43,2000,52,Mild,1
43,2000,53,Mild,1
43,2000,54,Mild,1
43,2000,58,Mild,2
43,2000,59,Mild,1
43,2000,66,Mild,1
43,2000,67,Mild,1
43,2000,68,Mild,1
43,2001,2,Mild,2
43,2001,10,Mild,2
43,2001,12,Mild,1
43,2001,16,Mild,1
43,2001,18,Mild,1
43,2001,19,Mild,1
43,2001,20,Mild,1
43,2001,21,Mild,1
43,2001,22,Mild,1
43,2001,24,Mild,2
43,2001,25,Mild,1
43,2001,26,Mild,1
43,2001,27,Mild,1
43,2001,28,Mild,2
43,2001,30,Mild,1
43,2001,31,Mild,1
43,2001,32,Mild,1
43,2001,36,Mild,2
43,2001,37,Mild,1
43,2001,38,Mild,1
43,2001,39,Mild,2
43,2001,40,Mild,2
43,2001,42,Mild,1
43,2001,43,Mild,1
43,2001,44,Mild,1
43,2001,45,Mild,1
43,2001,46,Mild,1
43,2001,47,Mild,3
43,2001,48,Mild,3
43,2001,52,Mild,2
43,2001,53,Mild,1
43,2001,57,Mild,1
43,2001,60,Mild,1
43,2001,62,Mild,1
43,2001,62,Severe,1
43,2001,67,Mild,2
43,2001,77,Mild,1
43,2002,3,Mild,1
43,2002,4,Mild,1
43,2002,5,Severe,1
43,2002,9,Mild,3
43,2002,10,Mild,2
43,2002,11,Mild,4
43,2002,12,Mild,5
43,2002,13,Mild,3
43,2002,14,Mild,1
43,2002,15,Mild,7
43,2002,16,Mild,6
43,2002,17,Mild,5
43,2002,18,Mild,4
43,2002,19,Mild,7
43,2002,20,Mild,8
43,2002,21,Mild,3
43,2002,22,Mild,7
43,2002,22,Severe,1
43,2002,23,Mild,8
43,2002,24,Mild,7
43,2002,25,Mild,6
43,2002,26,Mild,7
43,2002,27,Mild,10
43,2002,27,Severe,1
43,2002,28,Mild,14
43,2002,29,Mild,12
43,2002,29,Severe,1
43,2002,30,Mild,7
43,2002,31,Mild,7
43,2002,32,Mild,7
43,2002,32,Severe,1
43,2002,33,Mild,10
43,2002,34,Mild,4
43,2002,35,Mild,7
43,2002,36,Mild,9
43,2002,37,Mild,4
43,2002,38,Mild,7
43,2002,39,Mild,8
43,2002,40,Mild,9
43,2002,40,Severe,1
43,2002,41,Mild,7
43,2002,41,Severe,1
43,2002,42,Mild,5
43,2002,43,Mild,8
43,2002,44,Mild,4
43,2002,44,Severe,1
43,2002,45,Mild,8
43,2002,46,Mild,9
43,2002,47,Mild,7
43,2002,47,Severe,1
43,2002,48,Mild,7
43,2002,49,Mild,4
43,2002,50,Mild,5
43,2002,51,Mild,5
43,2002,51,Severe,1
43,2002,52,Mild,10
43,2002,53,Mild,5
43,2002,54,Mild,2
43,2002,55,Mild,5
43,2002,56,Mild,4
43,2002,57,Mild,4
43,2002,58,Mild,6
43,2002,58,Severe,1
43,2002,59,Mild,2
43,2002,60,Mild,8
43,2002,61,Mild,3
43,2002,62,Mild,3
43,2002,63,Mild,2
43,2002,64,Mild,1
43,2002,65,Mild,2
43,2002,66,Mild,3
43,2002,68,Mild,2
43,2002,69,Mild,2
43,2002,70,Mild,1
43,2002,72,Mild,1
43,2002,73,Mild,3
43,2002,74,Mild,1
43,2003,5,Mild,1
43,2003,20,Mild,1
43,2003,25,Mild,2
43,2003,26,Mild,2
43,2003,28,Mild,1
43,2003,29,Mild,3
43,2003,30,Mild,1
43,2003,33,Mild,2
43,2003,34,Mild,2
43,2003,35,Mild,3
43,2003,36,Mild,3
43,2003,37,Mild,1
43,2003,38,Mild,1
43,2003,39,Mild,1
43,2003,40,Mild,3
43,2003,42,Mild,2
43,2003,43,Mild,1
43,2003,43,Severe,1
43,2003,44,Mild,2
43,2003,45,Mild,1
43,2003,48,Mild,1
43,2003,49,Mild,1
43,2003,51,Mild,1
43,2003,58,Mild,2
43,2003,59,Mild,1
43,2003,60,Mild,1
43,2003,61,Mild,2
43,2003,65,Mild,1
43,2003,66,Mild,2
43,2003,70,Mild,1
43,2004,15,Mild,1
43,2004,20,Mild,1
43,2004,22,Mild,1
43,2004,23,Mild,1
43,2004,26,Mild,1
43,2004,27,Mild,1
43,2004,30,Mild,2
43,2004,31,Severe,1
43,2004,33,Mild,1
43,2004,38,Mild,1
43,2004,40,Mild,1
43,2004,45,Mild,1
43,2004,49,Mild,1
43,2004,51,Mild,1
43,2004,54,Mild,1
