"foi_prior_lbounds","foi_prior_ubounds"
0.0024954434701,0.04295234
0.0009744974,0.024509771
0.0032770757,0.018772136
0.0078170554,0.03752245503
0.010820846,0.04618435103
0.009858321,0.04193307
0.01230146966,0.064018366
0.010339049,0.056728641
0.0117464846126,0.038216047
0.03423418,0.1010286
0.0292037384,0.1002496
0.004834031047,0.017077281
0.013092727358,0.04577495
0.0316574564,0.0990979
0.005778101,0.0832908
0.0039212099,0.0705217
0.0018364173897,0.0410058222
0.00178076992,0.03123419102
0.00572382991,0.0716021
0.01344414292,0.085887
0.0037626195,0.0297447503
0.01023722908,0.0591661213
0.0193546,0.1055836
0.003963586,0.01820828767
0.02586732,0.1016499
0.02670777,0.0837043
0.020002911,0.0545142
0.01210852415,0.05692759
0.015298201,0.06604593
0.027501777,0.1007467
0.0113566486,0.18720304
0.025679544,0.4053355
0.023460439,0.20449525686
0.120860279,0.5934626
0.0927143,0.4676125
0.098088958,0.510904
0.006399762794,0.105405196
0.0239215568,0.34925771
0.03088202188,0.29569706
0.00795579533,0.086701497
0.04040463,0.38405202
0.04939216386,0.6163272
0.009217257,0.16153846
0.03586103,0.4350388
0.0099732567,0.3795307
0.03848962,0.09566558
0.028419957,0.07045672
0.021856305,0.0886632
0.03263286,0.125687702
0.00690992478,0.037695657
0.040558356,0.1529908
0.031489973,0.1412029
0.027238632,0.11139711
0.034625996,0.10034135
0.06283733,0.1812601
0.04366201,0.1561381
0.0059311459,0.023565453
0.019352668,0.1405851
0.007891267,0.0571748147
0.0049795565,0.138296
0.00906379808,0.0371030294
0.01002086,0.0377505075
0.00955348117,0.032565742
0.0081881447,0.029031393
0.01577450532,0.0547669
0.015898372,0.05255053
0.013119306,0.042727222
0.0265883,0.0712461
0.016735963933,0.0647109
0.010529507,0.0405267
0.0139501664,0.05765589
0.013058398,0.05269036
0.011396502501,0.0636349
0.0043569558,0.023961301
0.0025224097,0.0730989
0.00012421199,0.0587757012
0.02419658529,0.09268466
0.0048863282,0.018829859
0.0302210877,0.07221981
0.0204607594,0.06140961328
0.0139230575,0.0466095053
0.01855442,0.08538424
0.018179098,0.087284847
0.013317135,0.0671847607
0.0362809686,0.1707865
0.036177488,0.1628897
0.02035837,0.09329313
0.025941677,0.1256867
0.02425065,0.118769945
0.0058421714,0.1530387
0.0010084145,0.009369312516
0.0139155497,0.06098847
0.014650476,0.06659272
0.0121489461,0.059900956
0.0063288,0.0477109939
0.011339097,0.072151933
0.02229230321745,0.063212112
0.040968498,0.1083531
0.02484718394,0.0912419
0.012749538,0.050408199
0.02556417,0.0869606
0.02463837,0.0784034
0.01905953,0.07700782
0.0166389929,0.06117011528
0.00656873844,0.0963426
0.0009057946,0.18256792
0.004142658,0.2455891324
0.009662809,0.27961068
0.005917781,0.20961273
0.017452301,0.147379067
0.045620842,0.4206632
0.0068038522,0.1385981
0.014535759,0.2655389
0.0364409,0.2827782
0.014894055,0.14232706
0.00627468496,0.18569275
0.011338495,0.25967775
0.0189467424,0.33724381
0.01188389,0.258457538
0.002163187244,0.4463289
0.002650449,0.03816919
0.003491306,0.04924995
0.00780283,0.0484905281
0.010478785,0.062608448
0.001995171085,0.01268386
0.019606141,0.091941153
0.024737613671,0.08007004
0.0412994,0.1224879
0.0055717991,0.030296383
0.02975816,0.1137899
0.030524413,0.1019471
0.030700687,0.0973595
0.023965019,0.1038006
0.008163911,0.0378191
0.012670783,0.1157072
0.0012344218,0.00630523315
0.0197510834,0.104360649
0.01601952095,0.0929741567
0.020870439,0.13515527647
0.007108467,0.04630618
0.04487933,0.2458193
0.08363044,0.21206389
0.1005639,0.262355754
0.08128136,0.2641783
0.007097398,0.031623747
0.026855304,0.0973909
0.0533683166,0.17932
0.023759416,0.129989907
0.028284784,0.1418981242
0.013486818,0.23632089
0.013444388,0.123432263
0.02352708131,0.259312788
0.0208141137,0.313548833
0.01240463002,0.27843723
0.04895461,0.41121082
0.090149584,0.6962762
0.099606018,0.46175074137
0.1349431,0.5848848
0.0932881924,0.377985555
0.0022063415,0.026761375
0.018435748,0.09977782
0.08422712,0.36724913
0.0419873718,0.499642
0.0260842866,0.39532548
0.0108547749,0.6927477
0.000379551049,0.04027526
0.00215284809,0.054133858
0.0079738069,0.0715935641
0.00421507106,0.03995478
0.005977884,0.04695265
0.01883981,0.128289
0.0118074961,0.05249382
0.0320385543,0.1286558
0.014929911,0.1316468
0.00265569,0.028821379
0.012173261,0.07822762
0.018429406,0.1126394
0.009356394,0.07528508
0.0144035115,0.1035001
0.0037863613,0.1181646
0.036809004604,0.200906943
0.0329180533,0.222122102
0.03255035330999,0.344058989
0.0130786712,0.19495841
