"V1","V2","V3","V4","V5","V6"
0.763274466440873,0.236725533559127,0.0141059633590967,0.0203859276931525,0.00492685441626603,0.00646136476356342
0.587494589135732,0.412505410864268,0.00902828004689334,0.00560371810926437,0.00297317886747952,0.00178439109981696
0.61446150611848,0.38553849388152,0.00708432845462861,0.00895708011202017,0.00132345332301435,0.00189754503358474
0.80988167394862,0.19011832605138,0.0168773440891783,0.020877390181262,0.00323051174024547,0.00431174962967858
0.678562052861053,0.321437947138947,0.0212927350744827,0.0258761987722583,0.00308864487143662,0.00462562282517666
0.656351004168828,0.343648995831172,0.0187729580517782,0.0224783367318776,0.00268068335394441,0.00391538520444479
0.644237717445545,0.355762282554455,0.0272931225585306,0.0338971627328673,0.00444878369300739,0.00664837821298071
0.418687734232517,0.581312265767483,0.0279862499442008,0.022583300277586,0.00536993972024326,0.00347324549315939
0.741573569404059,0.258426430595941,0.0204924000826718,0.0237972015669204,0.00272797849512301,0.00365226459436759
0.342411906455776,0.657588093544224,0.0652525163875745,0.0568460817457655,0.00896247815425077,0.00669940351926118
0.655149368526463,0.344850631473537,0.0545829241030253,0.0630446940661485,0.00749100705325516,0.00970673310941482
0.710084118299474,0.289915881700526,0.00880630465282004,0.010402214602798,0.00126814425951232,0.00166055312329079
0.684051442274119,0.315948557725881,0.0242434503440098,0.0288978368040245,0.00343596137887524,0.00432285597619461
0.709463830916284,0.290536169083716,0.0577045911785999,0.0674794199449404,0.00796836676644426,0.00957618095834386
0.422832762285865,0.577167237714135,0.0278552160975586,0.0424714020754671,0.0085860918618505,0.012291333657188
0.558797421903129,0.441202578096871,0.0199387327409054,0.029089729894928,0.00567947741091525,0.0082787783514584
0.394295049104746,0.605704950895254,0.00911797542504996,0.015011136567459,0.00276506237128882,0.00483345125284141
0.723011053022022,0.276988946977978,0.00867446552392522,0.0148646378149077,0.00263276367446278,0.00513260707494377
0.258564341344287,0.741435658655713,0.0357033823458536,0.0232358542244966,0.00948165283916753,0.00602214257318916
0.0915077105668352,0.908492289433165,0.0586397022102961,0.0375546740573381,0.00867572803758311,0.00784446744298137
0.646639720023355,0.353360279976645,0.0108506755102505,0.0149295120861651,0.00221640151081486,0.0034362561491582
