"msp_prior_lbounds","msp_prior_ubounds"
0.293058629114615,0.60617404846013
0.28300054710132,0.59265975536496
0.275223457966428,0.58064096966153
0.271412843947258,0.571156871195119
0.274011800460075,0.562559565682618
0.276147067190825,0.553807506545966
0.285444128104313,0.555540216930792
0.291986311793355,0.560762954296399
0.296492569221007,0.558951475383524
0.322864496875359,0.575471880841928
0.341751052912715,0.596526585794465
0.338785511859137,0.590046214079109
0.346777578191008,0.590818901591732
0.372219217293427,0.608003933904122
0.383056544593614,0.613638632656023
0.211462920524538,0.579909091463011
0.206868443957673,0.573522737413224
0.207464383750316,0.562441454447814
0.211849427033118,0.562004937957804
0.230958444819888,0.574514310927412
0.231138564450553,0.569110561301037
0.240175472698528,0.570609596497629
0.266169898220245,0.588504725806452
0.263322569412026,0.580152428754029
0.288521585425053,0.596661776639829
0.309989544406697,0.616838994054841
0.320542305809711,0.626859955599214
0.330368010598802,0.630030191736527
0.340867599765739,0.632821249019034
0.360660402497374,0.653473556015871
0.814361442282632,0.998307155041126
0.817473748068314,0.998344946366425
0.808947384375399,0.998152017805425
0.828492383648672,0.998321167143174
0.837567551255512,0.998497041469605
0.848309109782445,0.998734412715164
0.839521162371168,0.998357546378341
0.833177934162708,0.997960864793068
0.831543221928562,0.997468224871601
0.82197836283277,0.99639122882038
0.820807066642853,0.996098457828429
0.820142266885383,0.996491649374909
0.816230291479195,0.99526447009105
0.832957592830031,0.9943745119209
0.833342876455141,0.993977558709014
0.44274311722365,0.739516636503856
0.445549182064651,0.739519728154327
0.443561762768443,0.733200550684322
0.451952538840694,0.734289847101735
0.443069541238174,0.721683978712464
0.460323795517918,0.732176968212331
0.474716399395329,0.746668097362385
0.476361687643498,0.75193696047798
0.48683797624468,0.759208756369395
0.512719631758503,0.782796548826631
0.536599974635449,0.804091623475046
0.529750190849673,0.79765200166918
0.542807202905386,0.799514621262145
0.54200455106383,0.794916532571693
0.542711713385543,0.803056719452696
0.280168020507859,0.440165024695078
0.277325613910976,0.432574259188526
0.275033637640408,0.427444280683675
0.272309412305076,0.422372454891064
0.281930547273822,0.431792798674736
0.286577807119131,0.441485663574283
0.288581429743207,0.445606913295029
0.300402634390985,0.463663940277334
0.312271741772554,0.473771525267417
0.317334272101049,0.477994083856139
0.326323282392829,0.494546645375905
0.335160214082959,0.509164764793306
0.342443626297729,0.519270872356479
0.339062053351505,0.517349874095327
0.345561000843223,0.537052071437033
0.433469459880239,0.739626619950687
0.445659979913622,0.737918721039281
0.437331551857858,0.725307417253049
0.439273174019275,0.718455036758518
0.432095564299012,0.708312898331663
0.423621911344272,0.697059127913527
0.423708052467038,0.696078494060079
0.420980872928943,0.695318290696707
0.423465432638199,0.691199263700761
0.452100877815079,0.721462223317947
0.466590466151386,0.734870513759328
0.469290765433733,0.745450439958976
0.476273772205438,0.755347407311178
0.482627811139402,0.766228012425207
0.481114785125999,0.769951517953288
0.28883547012167,0.520820668439088
0.291977780915509,0.511686771065816
0.302598719548471,0.506671581801541
0.310656005110471,0.511162105552353
0.316650648528552,0.507118725238745
0.331622177646076,0.513997418965124
0.341562144267712,0.521481272130014
0.363498030466595,0.545330771220663
0.388001933146657,0.567614886672111
0.399549089077115,0.579466249729035
0.4183608101271,0.592352705954473
0.433075382704214,0.607384974515678
0.445034473088748,0.624462528796885
0.450902271362826,0.63673461499233
0.45580677629891,0.638336464716966
0.32175888298023,0.937839197986604
0.312340477390223,0.947447190873821
0.31007749633748,0.958548097975594
0.302502280886018,0.963870629679579
0.306071722825655,0.965240268128801
0.33085075701309,0.973248111202992
0.328004779865646,0.972690412903885
0.338529122973355,0.975243619483363
0.371673480561488,0.977332016154464
0.378050312134988,0.975713151986152
0.378560744944215,0.975763875132396
0.386222013021328,0.978123015947205
0.402139069855824,0.981992873847672
0.408667055443478,0.984080603440174
0.416756518155649,0.985389213954438
0.249627441470477,0.558197742252939
0.246005331746959,0.554452377070304
0.244566459425785,0.540131215784696
0.245832836981818,0.531819986763636
0.235911559824449,0.514908640193837
0.24888252258519,0.529916513832878
0.268067362744389,0.54748213360558
0.29989956701244,0.582279714811892
0.300591621183351,0.577487381076257
0.327070232116244,0.601647885853792
0.345847139165975,0.621111200574631
0.363856495602577,0.644834759168777
0.38274012057965,0.666597970250209
0.384616381912579,0.66835208025593
0.393613566842577,0.688375827913477
0.593058141866614,0.831144919569803
0.580393451141706,0.832071791112902
0.575267163313862,0.826156335808668
0.580315273193045,0.825482934111311
0.563500890561894,0.815035826035952
0.572676656362426,0.838101476378669
0.615207647483352,0.851340707317946
0.651992442792032,0.870149384436632
0.681555422867085,0.886202175740966
0.670672924251465,0.879734241667859
0.679544163236379,0.87910157330011
0.69926174444142,0.885354754206323
0.700792013927732,0.888842621367313
0.703429234620744,0.895504273530702
0.719752748677615,0.907832814264353
0.510471211669605,0.96773546913021
0.502064419154602,0.965882380535031
0.506459416815776,0.968660310477653
0.505983235243372,0.97165672820179
0.52583414546638,0.973877346329513
0.573088426204099,0.982488847632293
0.608712746643947,0.985365612588629
0.660550856325928,0.989197481091758
0.699420748373045,0.990606202970432
0.692157090460036,0.989510242530564
0.695481108854997,0.98861381344126
0.721991257021684,0.990036162187772
0.731276520154065,0.991661864883472
0.732046844061712,0.992817557348071
0.747513149200806,0.995075106389391
0.242738113953447,0.594153801042387
0.238501517289073,0.580404532658865
0.238498322921401,0.580864146289476
0.233149939240427,0.571673042481667
0.226808466270512,0.559514532070792
0.23784409732417,0.580032695840541
0.239970848004383,0.574312960735157
0.262159281132266,0.593523661009822
0.281980696259118,0.625316817652185
0.280247475200347,0.622921085520068
0.289236993867016,0.635926005638938
0.304572457465825,0.65672426382765
0.308522975532852,0.66533783213493
0.316660010658881,0.679679026471313
0.320787303519597,0.686999786851482
0.765377406464277,0.97946389996528
0.768146402941949,0.97993091764809
0.77121641767774,0.981711137945328
0.763276047933824,0.981746527292076
0.771523515421245,0.982332330056447
0.802663511498345,0.988177428917104
0.822841052932118,0.988757276290122
0.850554967839322,0.990804475864711
0.860406076673967,0.991941233679477
0.855887047031696,0.991172022713655
0.86078299308055,0.991415663462471
0.86177517072866,0.991073818304097
0.865223803906465,0.992242061255289
0.860715445764318,0.991425349125963
0.864476352291148,0.992459821673046
0.438996619813135,0.816407148026014
0.439021143440199,0.820973233032651
0.439126916441084,0.81681545040916
0.43513154548345,0.809590761605354
0.452377339944587,0.805760371386336
0.452654884704328,0.796655424910803
0.450489301592822,0.793895822468178
0.46529916536599,0.806094760441417
0.470429105516909,0.804363607974034
0.462633403796578,0.794639853489211
0.461524995144287,0.791025496010191
0.450166279268989,0.776548956984949
0.465715275680823,0.777176035650352
0.457977323654931,0.767846188627877
0.455513523130026,0.780779609076534
0.484281345488402,0.895003194921016
0.469323895074577,0.892609819778974
0.476377060943335,0.899510002505818
0.478266620792779,0.905988929791746
0.473988195084399,0.904725090751057
0.476256474788902,0.912151564841174
0.508960338755025,0.917555267809827
0.528848193011368,0.931392333510237
0.553020135806513,0.937189619646221
0.540842090318722,0.933197320786693
0.530204719043979,0.929367135821378
0.545051422491052,0.9347184507602
0.569504528673625,0.940566844118682
0.561883838296132,0.936522219831717
0.603206706246909,0.943314092976229
0.518305360038073,0.789698096740337
0.511092740808585,0.783462062511584
0.513121305310112,0.786611184399308
0.511156877932153,0.785123157163309
0.507257422823677,0.779341980123919
