variable,2.5%,50%,97.5%,rhat,ess_bulk,ess_tail,param
"lambda[1,1]",0.017544377500000003,0.022849849999999998,0.028918337500000002,0.9999152327623977,5240.6592876995865,5311.109736641259,lambda
binned_phi_a[1],0.8129202,0.9538085000000001,0.9979141,1.0000022451546746,5137.581860098751,5408.768521959995,binned_phi_a
binned_phi_a[2],0.782791875,0.917906,0.99251705,1.0001965397698234,5195.250497219722,5446.5628196277185,binned_phi_a
binned_phi_a[3],0.7101837999999999,0.8275790000000001,0.9133980500000001,1.0000711286439714,5517.641186172055,5054.921123744279,binned_phi_a
binned_phi_a[4],0.7291229749999999,0.8481799999999999,0.9381065249999999,1.0007507340190074,5492.305371013585,5681.905055981083,binned_phi_a
binned_phi_a[5],0.7730815999999999,0.9243465,0.994994475,0.9999348300942984,5500.018965608985,5348.41311252318,binned_phi_a
binned_phi_a[6],0.718796525,0.8969425,0.990420075,1.0003814240764886,5368.838331373469,5478.414352952929,binned_phi_a
binned_phi_a[7],0.6577357749999999,0.862906,0.987452275,1.0004821220640814,5505.7058928962,5602.523331967792,binned_phi_a
binned_phi_a[8],0.5324677999999999,0.744371,0.9377945999999998,1.000235042516675,5438.1307998032735,5230.520447928975,binned_phi_a
p_clinical_rel[1],0.08574489,0.1176145,0.15844004999999997,1.0000956705131077,5224.017103699989,5219.36346430206,p_clinical_rel
p_clinical_rel[2],0.13651825,0.2399425,0.4228684249999999,1.0000054432232097,5263.466082520974,5514.770412243425,p_clinical_rel
p_clinical_rel[3],1.1246912499999997e-15,1.891595e-4,0.1486296,1.0000071033331401,5474.067712780353,5388.816467310101,p_clinical_rel
p_clinical_rel[4],0.012385072499999998,0.29744950000000003,0.8376067749999995,1.0002895922719246,5255.875880430194,5183.027933307496,p_clinical_rel
binned_phi_t[1],0.02550821,0.07410145,0.25485309999999994,1.000966046991106,5367.281366715544,5433.436960457767,binned_phi_t
binned_phi_t[2],0.06688209499999999,0.14438050000000002,0.29869707500000003,1.0002679785445834,5636.188353807415,5513.944373645642,binned_phi_t
binned_phi_t[3],0.02323003,0.04393635,0.08762227499999993,1.000518696244457,5405.744732577839,5087.75508102112,binned_phi_t
binned_phi_t[4],0.05022455000000001,0.09087655,0.1633177999999999,0.9998327622105819,5340.524328682941,5332.510916053926,binned_phi_t
binned_phi_t[5],0.0297380425,0.0569433,0.11020215,1.000298166697548,5537.2255712954075,5190.60806577983,binned_phi_t
binned_phi_t[6],0.124124325,0.23254550000000002,0.4460858999999999,1.0002548012132946,5336.406315357683,5477.123329195442,binned_phi_t
binned_phi_t[7],0.1088494,0.2161345,0.4180769999999999,0.9994758047292819,5488.850046378198,5444.291342049252,binned_phi_t
binned_phi_t[8],0.038671455,0.09360365,0.27844577499999995,0.9997582665014284,5548.811539562672,5685.243730123652,binned_phi_t
psi_inv,0.008880948000000001,0.014851650000000001,0.021837282499999992,0.9998923812532302,5307.129249850743,5453.037798161718,psi_inv
p_clinical[1],0.014834090000000001,0.0280752,0.05286778749999997,1.0003264936059137,5086.655110343862,5334.709500811601,p_clinical
p_clinical[2],0.13651825,0.2399425,0.4228684249999999,1.0000054432232097,5263.466082520974,5514.770412243425,p_clinical
p_clinical[3],2.704774e-16,4.5520549999999996e-5,0.03612949749999999,0.9998821259006724,5498.289304243839,5429.397384766057,p_clinical
p_clinical[4],5.4369212499999984e-17,9.498155e-6,0.012422497499999983,0.9999150488509002,5517.8430826656395,5350.42410315881,p_clinical
