state,year,age,numpop
35,2005,29,690493
35,2006,25,762749
35,2006,26,751091
35,2006,27,736777
35,2006,28,720871
35,2006,29,704441
35,2007,25,769490
35,2007,26,761332
35,2007,27,749626
35,2007,28,735428
35,2007,29,719806
35,2008,25,772709
35,2008,26,768526
35,2008,27,760395
35,2008,28,749063
35,2008,29,735393
35,2009,25,771955
35,2009,26,771923
35,2009,27,768021
35,2009,28,760445
35,2009,29,749682
35,2000,30,631091
35,2000,31,624305
35,2000,32,618233
35,2000,33,612541
35,2000,34,606874
35,2001,30,635142
35,2001,31,628003
35,2001,32,621838
35,2001,33,616309
35,2001,34,611081
35,2002,30,640425
35,2002,31,632237
35,2002,32,625355
35,2002,33,619428
35,2002,34,614206
35,2003,30,647738
35,2003,31,637933
35,2003,32,629703
35,2003,33,622855
35,2003,34,617132
35,2004,30,658094
35,2004,31,646366
35,2004,32,636378
35,2004,33,628091
35,2004,34,621304
35,2005,30,671771
35,2005,31,658135
35,2005,32,646190
35,2005,33,636079
35,2005,34,627856
35,2006,30,687804
35,2006,31,672620
35,2006,32,658797
35,2006,33,646630
35,2006,34,636206
35,2007,30,705214
35,2007,31,689130
35,2007,32,673753
35,2007,33,659764
35,2007,34,646931
35,2008,30,722843
35,2008,31,706733
35,2008,32,690222
35,2008,33,674297
35,2008,34,659655
35,2009,30,738731
35,2009,31,723375
35,2009,32,706693
35,2009,33,689651
35,2009,34,673389
35,2000,35,599468
35,2000,36,593159
35,2000,37,585693
35,2000,38,576740
35,2000,39,566081
35,2001,35,605461
35,2001,36,599792
35,2001,37,593127
35,2001,38,584988
35,2001,39,575114
35,2002,35,610668
35,2002,36,605584
35,2002,37,599729
35,2002,38,592447
35,2002,39,583770
35,2003,35,615248
35,2003,36,610495
35,2003,37,605423
35,2003,38,599369
35,2003,39,591778
35,2004,35,619684
35,2004,36,614831
35,2004,37,610241
35,2004,38,605117
35,2004,39,598673
35,2005,35,624328
35,2005,36,618849
35,2005,37,614262
35,2005,38,609655
35,2005,39,604089
35,2006,35,629676
35,2006,36,623127
35,2006,37,618017
35,2006,38,613395
35,2006,39,608252
35,2007,35,635973
35,2007,36,627943
35,2007,37,621814
35,2007,38,616583
