state,year,age,numpop
52,2000,0,102868
52,2000,1,103277
52,2000,2,103702
52,2000,3,104034
52,2000,4,104311
52,2001,0,101376
52,2001,1,101897
52,2001,2,102489
52,2001,3,103046
52,2001,4,103489
52,2002,0,99887
52,2002,1,100437
52,2002,2,101172
52,2002,3,101931
52,2002,4,102663
52,2003,0,98349
52,2003,1,98880
52,2003,2,99734
52,2003,3,100759
52,2003,4,101772
52,2004,0,96815
52,2004,1,97267
52,2004,2,98203
52,2004,3,99438
52,2004,4,100779
52,2005,0,95603
52,2005,1,95933
52,2005,2,96890
52,2005,3,98300
52,2005,4,99919
52,2006,0,95172
52,2006,1,95354
52,2006,2,96253
52,2006,3,97736
52,2006,4,99551
52,2007,0,94144
52,2007,1,94195
52,2007,2,94905
52,2007,3,96339
52,2007,4,98234
52,2008,0,93150
52,2008,1,92938
52,2008,2,93511
52,2008,3,94799
52,2008,4,96604
52,2009,0,92416
52,2009,1,92006
52,2009,2,92345
52,2009,3,93370
52,2009,4,94934
52,2000,5,102218
52,2000,6,102041
52,2000,7,101767
52,2000,8,101481
52,2000,9,101314
52,2001,5,102867
52,2001,6,102782
52,2001,7,102539
52,2001,8,102235
52,2001,9,102031
52,2002,5,103573
52,2002,6,103721
52,2002,7,103612
52,2002,8,103373
52,2002,9,103166
52,2003,5,104056
52,2003,6,104556
52,2003,7,104714
52,2003,8,104655
52,2003,9,104503
52,2004,5,103907
52,2004,6,104874
52,2004,7,105431
52,2004,8,105634
52,2004,9,105612
52,2005,5,103053
52,2005,6,104439
52,2005,7,105426
52,2005,8,105978
52,2005,9,106181
52,2006,5,101111
52,2006,6,102896
52,2006,7,104290
52,2006,8,105228
52,2006,9,105743
52,2007,5,99306
52,2007,6,101298
52,2007,7,103008
52,2007,8,104319
52,2007,9,105206
52,2008,5,97641
52,2008,6,99692
52,2008,7,101587
52,2008,8,103211
52,2008,9,104482
52,2009,5,96189
52,2009,6,98122
52,2009,7,100033
52,2009,8,101872
52,2009,9,103473
52,2000,10,103339
52,2000,11,103672
52,2000,12,104254
52,2000,13,104999
52,2000,14,105781
52,2001,10,103168
52,2001,11,103499
52,2001,12,104117
52,2001,13,104945
52,2001,14,105866
52,2002,10,103059
52,2002,11,103312
52,2002,12,103835
52,2002,13,104599
52,2002,14,105519
52,2003,10,103125
52,2003,11,103274
52,2003,12,103583
52,2003,13,104159
52,2003,14,104941
52,2004,10,103521
52,2004,11,103507
52,2004,12,103634
52,2004,13,103971
52,2004,14,104527
52,2005,10,104244
52,2005,11,104162
52,2005,12,104125
52,2005,13,104228
52,2005,14,104529
52,2006,10,105066
52,2006,11,105046
52,2006,12,104949
52,2006,13,104894
52,2006,14,104975
52,2007,10,105870
52,2007,11,106065
52,2007,12,106057
52,2007,13,105985
52,2007,14,105946
52,2008,10,106377
52,2008,11,106924
52,2008,12,107183
52,2008,13,107250
52,2008,14,107233
52,2009,10,106236
52,2009,11,107212
52,2009,12,107861
52,2009,13,108232
52,2009,14,108400
52,2000,15,105345
52,2000,16,105944
52,2000,17,106218
52,2000,18,106106
52,2000,19,105587
52,2001,15,105825
52,2001,16,106572
52,2001,17,107042
52,2001,18,107140
52,2001,19,106831
52,2002,15,106124
52,2002,16,106990
52,2002,17,107650
52,2002,18,108008
52,2002,19,108007
52,2003,15,106299
52,2003,16,107213
52,2003,17,108036
52,2003,18,108670
52,2003,19,109032
52,2004,15,106393
52,2004,16,107267
52,2004,17,108186
52,2004,18,109057
52,2004,19,109771
52,2005,15,106460
52,2005,16,107204
52,2005,17,108125
52,2005,18,109144
52,2005,19,110120
52,2006,15,106553
52,2006,16,107107
52,2006,17,107923
52,2006,18,108946
52,2006,19,110063
52,2007,15,106620
52,2007,16,106967
52,2007,17,107604
52,2007,18,108512
52,2007,19,109606
52,2008,15,106733
52,2008,16,106915
52,2008,17,107352
52,2008,18,108066
52,2008,19,108998
52,2009,15,107037
52,2009,16,107142
52,2009,17,107412
52,2009,18,107934
52,2009,19,108607
52,2000,20,105382
52,2000,21,104117
52,2000,22,102561
52,2000,23,100783
52,2000,24,98859
52,2001,20,107333
52,2001,21,106230
52,2001,22,104794
52,2001,23,103091
52,2001,24,101197
52,2002,20,108587
52,2002,21,107799
52,2002,22,106636
52,2002,23,105144
52,2002,24,103394
52,2003,20,109274
52,2003,21,108909
52,2003,22,108128
52,2003,23,106952
52,2003,24,105448
52,2004,20,109618
52,2004,21,109713
52,2004,22,109369
52,2004,23,108548
52,2004,24,107380
52,2005,20,109787
52,2005,21,110305
52,2005,22,110403
52,2005,23,110015
52,2005,24,109154
52,2006,20,109906
52,2006,21,110748
52,2006,22,111218
52,2006,23,111209
52,2006,24,110684
52,2007,20,110064
52,2007,21,111088
52,2007,22,111823
52,2007,23,112129
52,2007,24,111934
52,2008,20,110260
52,2008,21,111321
52,2008,22,112201
52,2008,23,112751
52,2008,24,112878
52,2009,20,110442
52,2009,21,111425
52,2009,22,112346
52,2009,23,113061
52,2009,24,113474
52,2000,25,95174
52,2000,26,93216
52,2000,27,91317
52,2000,28,89524
52,2000,29,87868
52,2001,25,97830
52,2001,26,95825
52,2001,27,93860
52,2001,28,91983
52,2001,29,90255
52,2002,25,100810
52,2002,26,98802
52,2002,27,96796
52,2002,28,94798
52,2002,29,92953
52,2003,25,103899
52,2003,26,101934
52,2003,27,99867
52,2003,28,97802
52,2003,29,95834
52,2004,25,106707
52,2004,26,104845
52,2004,27,102807
52,2004,28,100706
52,2004,29,98641
52,2005,25,108980
52,2005,26,107311
52,2005,27,105395
52,2005,28,103339
52,2005,29,101241
52,2006,25,110691
52,2006,26,109310
52,2006,27,107626
52,2006,28,105724
52,2006,29,103691
52,2007,25,111786
52,2007,26,110800
52,2007,27,109451
52,2007,28,107813
52,2007,29,105958
52,2008,25,112451
52,2008,26,111854
52,2008,27,110893
52,2008,28,109602
52,2008,29,108024
52,2009,25,112852
52,2009,26,112622
52,2009,27,112061
52,2009,28,111160
52,2009,29,109925
52,2000,30,88198
52,2000,31,86777
52,2000,32,85426
52,2000,33,84078
52,2000,34,82657
52,2001,30,89844
52,2001,31,88420
52,2001,32,87099
52,2001,33,85808
52,2001,34,84470
52,2002,30,91457
52,2002,31,89959
52,2002,32,88593
52,2002,33,87285
52,2002,34,85977
52,2003,30,93198
52,2003,31,91565
52,2003,32,90073
52,2003,33,88680
52,2003,34,87332
52,2004,30,95280
52,2004,31,93479
52,2004,32,91815
52,2004,33,90274
52,2004,34,88829
52,2005,30,97792
52,2005,31,95832
52,2005,32,93977
52,2005,33,92245
52,2005,34,90644
52,2006,30,100611
52,2006,31,98541
52,2006,32,96519
52,2006,33,94582
52,2006,34,92755
52,2007,30,103662
52,2007,31,101563
52,2007,32,99430
52,2007,33,97335
52,2007,34,95271
52,2008,30,106713
52,2008,31,104687
52,2008,32,102518
52,2008,33,100283
52,2008,34,98071
52,2009,30,109400
52,2009,31,107549
52,2009,32,105454
52,2009,33,103195
52,2009,34,100887
52,2000,35,80143
52,2000,36,78408
52,2000,37,76412
52,2000,38,74139
52,2000,39,71606
52,2001,35,82471
52,2001,36,80822
52,2001,37,78907
52,2001,38,76693
52,2001,39,74194
52,2002,35,84648
52,2002,36,83105
52,2002,37,81317
52,2002,38,79224
52,2002,39,76876
52,2003,35,86663
52,2003,36,85209
52,2003,37,83578
52,2003,38,81699
52,2003,39,79532
52,2004,35,88534
52,2004,36,87119
52,2004,37,85619
52,2004,38,83939
52,2004,39,81997
52,2005,35,90284
52,2005,36,88839
52,2005,37,87408
52,2005,38,85881
52,2005,39,84144
52,2006,35,91990
52,2006,36,90454
52,2006,37,89016
52,2006,38,87561
52,2006,39,85965
52,2007,35,93662
52,2007,36,91985
52,2007,37,90468
52,2007,38,88991
52,2007,39,87446
52,2008,35,95432
52,2008,36,93585
52,2008,37,91947
52,2008,38,90345
52,2008,39,88761
52,2009,35,97530
52,2009,36,95497
52,2009,37,93649
52,2009,38,91917
52,2009,39,90230
52,2000,40,68958
52,2000,41,66067
52,2000,42,63133
52,2000,43,60249
52,2000,44,57492
52,2001,40,71746
52,2001,41,68802
52,2001,42,65784
52,2001,43,62803
52,2001,44,59938
52,2002,40,74348
52,2002,41,71468
52,2002,42,68461
52,2002,43,65464
52,2002,44,62528
52,2003,40,76843
52,2003,41,74093
52,2003,42,71152
52,2003,43,68138
52,2003,44,65161
52,2004,40,79186
52,2004,41,76624
52,2004,42,73801
52,2004,43,70826
52,2004,44,67866
52,2005,40,81384
52,2005,41,79034
52,2005,42,76379
52,2005,43,73507
52,2005,44,70603
52,2006,40,83477
52,2006,41,81330
52,2006,42,78870
52,2006,43,76168
52,2006,44,73337
52,2007,40,85545
52,2007,41,83555
52,2007,42,81275
52,2007,43,78747
52,2007,44,76049
52,2008,40,87573
52,2008,41,85672
52,2008,42,83532
52,2008,43,81174
52,2008,44,78648
52,2009,40,89501
52,2009,41,87620
52,2009,42,85565
52,2009,43,83360
52,2009,44,81018
52,2000,45,54720
52,2000,46,52324
