state,year,age,numpop
29,2000,0,284916
29,2000,1,284854
29,2000,2,285717
29,2000,3,287065
29,2000,4,288444
29,2001,0,279313
29,2001,1,279564
29,2001,2,281039
29,2001,3,283131
29,2001,4,285199
29,2002,0,271753
29,2002,1,272468
29,2002,2,274535
29,2002,3,277293
29,2002,4,280156
29,2003,0,264143
29,2003,1,265198
29,2003,2,267744
29,2003,3,271223
29,2003,4,274795
29,2004,0,256619
29,2004,1,257750
29,2004,2,260734
29,2004,3,264773
29,2004,4,269139
29,2005,0,249430
29,2005,1,250524
29,2005,2,253755
29,2005,3,258332
29,2005,4,263340
29,2006,0,242921
29,2006,1,243863
29,2006,2,247129
29,2006,3,252004
29,2006,4,257509
29,2007,0,237183
29,2007,1,237957
29,2007,2,240982
29,2007,3,245993
29,2007,4,252007
29,2008,0,231908
29,2008,1,232153
29,2008,2,235070
29,2008,3,240067
29,2008,4,246273
29,2009,0,227315
29,2009,1,227133
29,2009,2,229711
29,2009,3,234449
29,2009,4,240524
29,2000,5,284442
29,2000,6,284816
29,2000,7,284866
29,2000,8,284926
29,2000,9,285508
29,2001,5,283182
29,2001,6,283755
29,2001,7,283783
29,2001,8,283613
29,2001,9,283902
29,2002,5,282080
29,2002,6,283131
29,2002,7,283280
29,2002,8,283020
29,2002,9,283034
29,2003,5,280509
29,2003,6,282275
29,2003,7,282846
29,2003,8,282780
29,2003,9,282632
29,2004,5,277603
29,2004,6,280433
29,2004,7,281833
29,2004,8,282161
29,2004,9,282037
29,2005,5,273395
29,2005,6,277169
29,2005,7,279544
29,2005,8,280594
29,2005,9,280801
29,2006,5,267000
29,2006,6,271884
29,2006,7,275327
29,2006,8,277336
29,2006,9,278224
29,2007,5,259064
29,2007,6,264623
29,2007,7,269026
29,2007,8,272096
29,2007,9,273940
29,2008,5,251136
29,2008,6,257192
29,2008,7,262371
29,2008,8,266479
29,2008,9,269426
29,2009,5,243501
29,2009,6,249749
29,2009,7,255383
29,2009,8,260401
29,2009,9,264415
29,2000,10,294793
29,2000,11,297785
29,2000,12,302124
29,2000,13,307454
29,2000,14,313072
29,2001,10,286067
29,2001,11,288988
29,2001,12,293513
29,2001,13,299356
29,2001,14,305851
29,2002,10,280253
29,2002,11,282760
29,2002,12,286878
29,2002,13,292509
29,2002,14,299115
29,2003,10,277035
29,2003,11,278973
29,2003,12,282107
29,2003,13,286877
29,2003,14,292828
29,2004,10,275791
29,2004,11,276801
29,2004,12,278971
29,2004,13,282500
29,2004,14,287216
29,2005,10,275753
29,2005,11,276090
29,2005,12,277191
29,2005,13,279304
29,2005,14,282452
29,2006,10,276062
29,2006,11,276115
29,2006,12,276396
29,2006,13,277201
29,2006,14,278746
29,2007,10,275993
29,2007,11,276245
29,2007,12,276212
29,2007,13,276095
29,2007,14,276327
29,2008,10,274905
29,2008,11,275815
29,2008,12,275970
29,2008,13,275617
29,2008,14,275107
29,2009,10,272115
29,2009,11,274038
29,2009,12,274943
29,2009,13,274987
29,2009,14,274416
29,2000,15,318778
29,2000,16,322784
29,2000,17,323994
29,2000,18,321635
29,2000,19,315362
29,2001,15,316451
29,2001,16,321485
29,2001,17,323875
29,2001,18,322583
29,2001,19,317119
29,2002,15,311033
29,2002,16,316725
29,2002,17,320077
29,2002,18,320043
29,2002,19,316015
29,2003,15,303506
29,2003,16,309286
29,2003,17,313299
29,2003,18,314554
29,2003,19,312377
29,2004,15,295172
29,2004,16,300456
29,2004,17,304702
29,2004,18,307044
29,2004,19,306803
29,2005,15,286846
29,2005,16,291133
29,2005,17,295120
29,2005,18,298097
29,2005,19,299528
29,2006,15,279772
29,2006,16,282735
29,2006,17,286016
29,2006,18,289143
29,2006,19,291554
29,2007,15,275205
29,2007,16,276750
29,2007,17,278983
29,2007,18,281645
29,2007,19,284283
29,2008,15,272672
29,2008,16,272936
29,2008,17,273966
29,2008,18,275692
29,2008,19,277755
29,2009,15,271471
29,2009,16,270792
29,2009,17,270658
29,2009,18,271301
29,2009,19,272061
29,2000,20,295158
29,2000,21,282470
29,2000,22,267813
29,2000,23,252428
29,2000,24,237560
29,2001,20,302673
29,2001,21,289875
29,2001,22,274775
29,2001,23,258742
29,2001,24,243170
29,2002,20,307007
29,2002,21,295399
29,2002,22,281235
29,2002,23,265834
29,2002,24,250599
29,2003,20,308138
29,2003,21,298818
29,2003,22,286789
29,2003,23,273163
29,2003,24,259229
29,2004,20,306406
29,2004,21,300024
29,2004,22,290918
29,2004,23,279802
29,2004,24,267943
29,2005,20,302493
29,2005,21,299141
29,2005,22,293251
29,2005,23,285191
29,2005,24,275626
29,2006,20,296714
29,2006,21,295941
29,2006,22,292991
29,2006,23,287832
29,2006,24,280732
29,2007,20,288947
29,2007,21,289898
29,2007,22,289186
29,2007,23,286477
29,2007,24,281710
29,2008,20,280246
29,2008,21,281887
29,2008,22,282484
29,2008,23,281559
29,2008,24,278875
29,2009,20,271695
29,2009,21,273077
29,2009,22,274035
29,2009,23,274111
29,2009,24,273049
29,2000,25,223646
29,2000,26,212577
29,2000,27,203933
29,2000,28,197570
29,2000,29,193139
29,2001,25,230155
29,2001,26,218538
29,2001,27,209477
29,2001,28,202714
29,2001,29,198045
29,2002,25,238156
29,2002,26,226335
29,2002,27,216936
29,2002,28,209125
29,2002,29,203590
29,2003,25,247059
29,2003,26,235405
29,2003,27,225019
29,2003,28,216475
29,2003,29,209783
29,2004,25,255401
29,2004,26,243986
29,2004,27,233454
29,2004,28,224142
29,2004,29,216224
29,2005,25,262131
29,2005,26,251639
29,2005,27,241356
29,2005,28,231616
29,2005,29,222700
29,2006,25,267131
29,2006,26,258126
29,2006,27,248680
