state,year,age,numpop
50,2000,0,43553
50,2000,1,43716
50,2000,2,44043
50,2000,3,44470
50,2000,4,44942
50,2001,0,42706
50,2001,1,42876
50,2001,2,43267
50,2001,3,43801
50,2001,4,44378
50,2002,0,41693
50,2002,1,41870
50,2002,2,42294
50,2002,3,42888
50,2002,4,43558
50,2003,0,40945
50,2003,1,41104
50,2003,2,41518
50,2003,3,42151
50,2003,4,42875
50,2004,0,40526
50,2004,1,40610
50,2004,2,41013
50,2004,3,41655
50,2004,4,42406
50,2005,0,40369
50,2005,1,40374
50,2005,2,40720
50,2005,3,41327
50,2005,4,42078
50,2006,0,40462
50,2006,1,40393
50,2006,2,40650
50,2006,3,41178
50,2006,4,41882
50,2007,0,40456
50,2007,1,40337
50,2007,2,40469
50,2007,3,40878
50,2007,4,41473
50,2008,0,40480
50,2008,1,40275
50,2008,2,40324
50,2008,3,40603
50,2008,4,41052
50,2009,0,40593
50,2009,1,40339
50,2009,2,40291
50,2009,3,40423
50,2009,4,40704
50,2000,5,44890
50,2000,6,45160
50,2000,7,45355
50,2000,8,45408
50,2000,9,45338
50,2001,5,44829
50,2001,6,45188
50,2001,7,45452
50,2001,8,45550
50,2001,9,45510
50,2002,5,44656
50,2002,6,45134
50,2002,7,45459
50,2002,8,45626
50,2002,9,45648
50,2003,5,44350
50,2003,6,44933
50,2003,7,45344
50,2003,8,45623
50,2003,9,45743
50,2004,5,43869
50,2004,6,44558
50,2004,7,45095
50,2004,8,45481
50,2004,9,45722
50,2005,5,43272
50,2005,6,44016
50,2005,7,44653
50,2005,8,45162
50,2005,9,45540
50,2006,5,42417
50,2006,6,43177
50,2006,7,43878
50,2006,8,44494
50,2006,9,45011
50,2007,5,41452
50,2007,6,42169
50,2007,7,42884
50,2007,8,43570
50,2007,9,44204
50,2008,5,40792
50,2008,6,41411
50,2008,7,42086
50,2008,8,42793
50,2008,9,43509
50,2009,5,40504
50,2009,6,40973
50,2009,7,41554
50,2009,8,42222
50,2009,9,42971
50,2000,10,44950
50,2000,11,44758
50,2000,12,44558
50,2000,13,44366
50,2000,14,44184
50,2001,10,45062
50,2001,11,44886
50,2001,12,44704
50,2001,13,44537
50,2001,14,44389
50,2002,10,45254
50,2002,11,45117
50,2002,12,44963
50,2002,13,44815
50,2002,14,44685
50,2003,10,45468
50,2003,11,45400
50,2003,12,45284
50,2003,13,45155
50,2003,14,45026
50,2004,10,45608
50,2004,11,45630
50,2004,12,45578
50,2004,13,45475
50,2004,14,45340
50,2005,10,45609
50,2005,11,45748
50,2005,12,45782
50,2005,13,45722
50,2005,14,45586
50,2006,10,45478
50,2006,11,45756
50,2006,12,45898
50,2006,13,45908
50,2006,14,45793
50,2007,10,45229
50,2007,11,45659
50,2007,12,45923
50,2007,13,46046
50,2007,14,45986
50,2008,10,44833
50,2008,11,45421
50,2008,12,45852
50,2008,13,46093
50,2008,14,46124
50,2009,10,44291
50,2009,11,45014
50,2009,12,45603
50,2009,13,45998
50,2009,14,46165
50,2000,15,44609
50,2000,16,44392
50,2000,17,44106
50,2000,18,43711
50,2000,19,43174
50,2001,15,44856
50,2001,16,44694
50,2001,17,44474
50,2001,18,44153
50,2001,19,43690
50,2002,15,44910
50,2002,16,44781
50,2002,17,44613
50,2002,18,44367
50,2002,19,43998
50,2003,15,44868
50,2003,16,44744
50,2003,17,44604
50,2003,18,44420
50,2003,19,44150
50,2004,15,44873
50,2004,16,44725
50,2004,17,44583
50,2004,18,44436
50,2004,19,44248
50,2005,15,44996
50,2005,16,44803
50,2005,17,44631
50,2005,18,44492
50,2005,19,44354
50,2006,15,45228
50,2006,16,44987
50,2006,17,44765
50,2006,18,44596
50,2006,19,44478
50,2007,15,45556
50,2007,16,45283
50,2007,17,45014
50,2007,18,44801
50,2007,19,44665
50,2008,15,45887
50,2008,16,45623
50,2008,17,45331
50,2008,18,45081
50,2008,19,44901
50,2009,15,46098
50,2009,16,45896
50,2009,17,45626
50,2009,18,45373
50,2009,19,45140
50,2000,20,41571
50,2000,21,40724
50,2000,22,39736
50,2000,23,38654
