variable,2.5%,25%,50%,75%,97.5%,rhat,ess_bulk,ess_tail,year,iType
"lambda_tk[1,1]",2.6920835e-6,2.4498799999999997e-4,7.888285e-4,0.001322025,0.0021133332499999992,0.9997464148298048,5497.941163345386,5602.1541509183,1901,1
"lambda_tk[2,1]",2.6920835e-6,2.4498799999999997e-4,7.888285e-4,0.001322025,0.0021133332499999992,0.9997464148298048,5497.941163345386,5602.1541509183,1902,1
"lambda_tk[3,1]",2.6920835e-6,2.4498799999999997e-4,7.888285e-4,0.001322025,0.0021133332499999992,0.9997464148298048,5497.941163345386,5602.1541509183,1903,1
"lambda_tk[4,1]",2.6920835e-6,2.4498799999999997e-4,7.888285e-4,0.001322025,0.0021133332499999992,0.9997464148298048,5497.941163345386,5602.1541509183,1904,1
"lambda_tk[5,1]",2.6920835e-6,2.4498799999999997e-4,7.888285e-4,0.001322025,0.0021133332499999992,0.9997464148298048,5497.941163345386,5602.1541509183,1905,1
"lambda_tk[6,1]",2.6920835e-6,2.4498799999999997e-4,7.888285e-4,0.001322025,0.0021133332499999992,0.9997464148298048,5497.941163345386,5602.1541509183,1906,1
"lambda_tk[7,1]",2.6920835e-6,2.4498799999999997e-4,7.888285e-4,0.001322025,0.0021133332499999992,0.9997464148298048,5497.941163345386,5602.1541509183,1907,1
"lambda_tk[8,1]",2.6920835e-6,2.4498799999999997e-4,7.888285e-4,0.001322025,0.0021133332499999992,0.9997464148298048,5497.941163345386,5602.1541509183,1908,1
"lambda_tk[9,1]",2.6920835e-6,2.4498799999999997e-4,7.888285e-4,0.001322025,0.0021133332499999992,0.9997464148298048,5497.941163345386,5602.1541509183,1909,1
"lambda_tk[10,1]",2.6920835e-6,2.4498799999999997e-4,7.888285e-4,0.001322025,0.0021133332499999992,0.9997464148298048,5497.941163345386,5602.1541509183,1910,1
"lambda_tk[11,1]",3.0605089999999998e-6,2.50161e-4,8.44182e-4,0.001355045,0.002114410249999999,1.0014452254639508,5365.327531980227,5161.20959130496,1911,1
"lambda_tk[12,1]",3.0605089999999998e-6,2.50161e-4,8.44182e-4,0.001355045,0.002114410249999999,1.0014452254639508,5365.327531980227,5161.20959130496,1912,1
"lambda_tk[13,1]",3.0605089999999998e-6,2.50161e-4,8.44182e-4,0.001355045,0.002114410249999999,1.0014452254639508,5365.327531980227,5161.20959130496,1913,1
"lambda_tk[14,1]",3.0605089999999998e-6,2.50161e-4,8.44182e-4,0.001355045,0.002114410249999999,1.0014452254639508,5365.327531980227,5161.20959130496,1914,1
"lambda_tk[15,1]",3.0605089999999998e-6,2.50161e-4,8.44182e-4,0.001355045,0.002114410249999999,1.0014452254639508,5365.327531980227,5161.20959130496,1915,1
"lambda_tk[16,1]",3.0605089999999998e-6,2.50161e-4,8.44182e-4,0.001355045,0.002114410249999999,1.0014452254639508,5365.327531980227,5161.20959130496,1916,1
"lambda_tk[17,1]",3.0605089999999998e-6,2.50161e-4,8.44182e-4,0.001355045,0.002114410249999999,1.0014452254639508,5365.327531980227,5161.20959130496,1917,1
"lambda_tk[18,1]",3.0605089999999998e-6,2.50161e-4,8.44182e-4,0.001355045,0.002114410249999999,1.0014452254639508,5365.327531980227,5161.20959130496,1918,1
"lambda_tk[19,1]",3.0605089999999998e-6,2.50161e-4,8.44182e-4,0.001355045,0.002114410249999999,1.0014452254639508,5365.327531980227,5161.20959130496,1919,1
"lambda_tk[20,1]",3.0605089999999998e-6,2.50161e-4,8.44182e-4,0.001355045,0.002114410249999999,1.0014452254639508,5365.327531980227,5161.20959130496,1920,1
"lambda_tk[21,1]",3.4034344999999993e-6,2.3803725e-4,7.699495e-4,0.001324885,0.0021219504999999994,1.0004801719619312,5544.805550650079,5528.46503217966,1921,1
"lambda_tk[22,1]",3.4034344999999993e-6,2.3803725e-4,7.699495e-4,0.001324885,0.0021219504999999994,1.0004801719619312,5544.805550650079,5528.46503217966,1922,1
"lambda_tk[23,1]",3.4034344999999993e-6,2.3803725e-4,7.699495e-4,0.001324885,0.0021219504999999994,1.0004801719619312,5544.805550650079,5528.46503217966,1923,1
"lambda_tk[24,1]",3.4034344999999993e-6,2.3803725e-4,7.699495e-4,0.001324885,0.0021219504999999994,1.0004801719619312,5544.805550650079,5528.46503217966,1924,1
"lambda_tk[25,1]",3.4034344999999993e-6,2.3803725e-4,7.699495e-4,0.001324885,0.0021219504999999994,1.0004801719619312,5544.805550650079,5528.46503217966,1925,1
"lambda_tk[26,1]",3.4034344999999993e-6,2.3803725e-4,7.699495e-4,0.001324885,0.0021219504999999994,1.0004801719619312,5544.805550650079,5528.46503217966,1926,1
"lambda_tk[27,1]",3.4034344999999993e-6,2.3803725e-4,7.699495e-4,0.001324885,0.0021219504999999994,1.0004801719619312,5544.805550650079,5528.46503217966,1927,1
"lambda_tk[28,1]",3.4034344999999993e-6,2.3803725e-4,7.699495e-4,0.001324885,0.0021219504999999994,1.0004801719619312,5544.805550650079,5528.46503217966,1928,1
"lambda_tk[29,1]",3.4034344999999993e-6,2.3803725e-4,7.699495e-4,0.001324885,0.0021219504999999994,1.0004801719619312,5544.805550650079,5528.46503217966,1929,1
