variable,2.5%,25%,50%,75%,97.5%,rhat,ess_bulk,ess_tail,year,iType
"lambda_tk[1,1]",2.328538e-5,0.002519665,0.01060195,0.02603225,0.04226893249999995,1.0026378569424255,8985.062183154512,6783.647700865625,1901,1
"lambda_tk[2,1]",2.328538e-5,0.002519665,0.01060195,0.02603225,0.04226893249999995,1.0026378569424255,8985.062183154512,6783.647700865625,1902,1
"lambda_tk[3,1]",2.328538e-5,0.002519665,0.01060195,0.02603225,0.04226893249999995,1.0026378569424255,8985.062183154512,6783.647700865625,1903,1
"lambda_tk[4,1]",2.328538e-5,0.002519665,0.01060195,0.02603225,0.04226893249999995,1.0026378569424255,8985.062183154512,6783.647700865625,1904,1
"lambda_tk[5,1]",2.328538e-5,0.002519665,0.01060195,0.02603225,0.04226893249999995,1.0026378569424255,8985.062183154512,6783.647700865625,1905,1
"lambda_tk[6,1]",2.328538e-5,0.002519665,0.01060195,0.02603225,0.04226893249999995,1.0026378569424255,8985.062183154512,6783.647700865625,1906,1
"lambda_tk[7,1]",2.328538e-5,0.002519665,0.01060195,0.02603225,0.04226893249999995,1.0026378569424255,8985.062183154512,6783.647700865625,1907,1
"lambda_tk[8,1]",2.328538e-5,0.002519665,0.01060195,0.02603225,0.04226893249999995,1.0026378569424255,8985.062183154512,6783.647700865625,1908,1
"lambda_tk[9,1]",2.328538e-5,0.002519665,0.01060195,0.02603225,0.04226893249999995,1.0026378569424255,8985.062183154512,6783.647700865625,1909,1
"lambda_tk[10,1]",2.328538e-5,0.002519665,0.01060195,0.02603225,0.04226893249999995,1.0026378569424255,8985.062183154512,6783.647700865625,1910,1
"lambda_tk[11,1]",0.0011718985,0.025991075000000002,0.0334959,0.038208325,0.047134354999999996,1.0167008469376138,1007.5004520885662,883.4985332373257,1911,1
"lambda_tk[12,1]",0.0011718985,0.025991075000000002,0.0334959,0.038208325,0.047134354999999996,1.0167008469376138,1007.5004520885662,883.4985332373257,1912,1
"lambda_tk[13,1]",0.0011718985,0.025991075000000002,0.0334959,0.038208325,0.047134354999999996,1.0167008469376138,1007.5004520885662,883.4985332373257,1913,1
"lambda_tk[14,1]",0.0011718985,0.025991075000000002,0.0334959,0.038208325,0.047134354999999996,1.0167008469376138,1007.5004520885662,883.4985332373257,1914,1
"lambda_tk[15,1]",0.0011718985,0.025991075000000002,0.0334959,0.038208325,0.047134354999999996,1.0167008469376138,1007.5004520885662,883.4985332373257,1915,1
"lambda_tk[16,1]",0.0011718985,0.025991075000000002,0.0334959,0.038208325,0.047134354999999996,1.0167008469376138,1007.5004520885662,883.4985332373257,1916,1
"lambda_tk[17,1]",0.0011718985,0.025991075000000002,0.0334959,0.038208325,0.047134354999999996,1.0167008469376138,1007.5004520885662,883.4985332373257,1917,1
"lambda_tk[18,1]",0.0011718985,0.025991075000000002,0.0334959,0.038208325,0.047134354999999996,1.0167008469376138,1007.5004520885662,883.4985332373257,1918,1
"lambda_tk[19,1]",0.0011718985,0.025991075000000002,0.0334959,0.038208325,0.047134354999999996,1.0167008469376138,1007.5004520885662,883.4985332373257,1919,1
"lambda_tk[20,1]",0.0011718985,0.025991075000000002,0.0334959,0.038208325,0.047134354999999996,1.0167008469376138,1007.5004520885662,883.4985332373257,1920,1
"lambda_tk[21,1]",9.882846e-4,0.0241326,0.033029249999999996,0.037895175,0.04653549999999998,1.0188932555409798,755.1353871635067,1258.701744922776,1921,1
"lambda_tk[22,1]",9.882846e-4,0.0241326,0.033029249999999996,0.037895175,0.04653549999999998,1.0188932555409798,755.1353871635067,1258.701744922776,1922,1
"lambda_tk[23,1]",9.882846e-4,0.0241326,0.033029249999999996,0.037895175,0.04653549999999998,1.0188932555409798,755.1353871635067,1258.701744922776,1923,1
"lambda_tk[24,1]",9.882846e-4,0.0241326,0.033029249999999996,0.037895175,0.04653549999999998,1.0188932555409798,755.1353871635067,1258.701744922776,1924,1
"lambda_tk[25,1]",9.882846e-4,0.0241326,0.033029249999999996,0.037895175,0.04653549999999998,1.0188932555409798,755.1353871635067,1258.701744922776,1925,1
"lambda_tk[26,1]",9.882846e-4,0.0241326,0.033029249999999996,0.037895175,0.04653549999999998,1.0188932555409798,755.1353871635067,1258.701744922776,1926,1
"lambda_tk[27,1]",9.882846e-4,0.0241326,0.033029249999999996,0.037895175,0.04653549999999998,1.0188932555409798,755.1353871635067,1258.701744922776,1927,1
"lambda_tk[28,1]",9.882846e-4,0.0241326,0.033029249999999996,0.037895175,0.04653549999999998,1.0188932555409798,755.1353871635067,1258.701744922776,1928,1
"lambda_tk[29,1]",9.882846e-4,0.0241326,0.033029249999999996,0.037895175,0.04653549999999998,1.0188932555409798,755.1353871635067,1258.701744922776,1929,1
"lambda_tk[30,1]",9.882846e-4,0.0241326,0.033029249999999996,0.037895175,0.04653549999999998,1.0188932555409798,755.1353871635067,1258.701744922776,1930,1
"lambda_tk[31,1]",2.1507320000000002e-4,0.016289175,0.031751749999999995,0.0375758,0.046535602499999974,1.0776154876200603,117.2197270138097,1179.9632023921783,1931,1
"lambda_tk[32,1]",2.1507320000000002e-4,0.016289175,0.031751749999999995,0.0375758,0.046535602499999974,1.0776154876200603,117.2197270138097,1179.9632023921783,1932,1
"lambda_tk[33,1]",2.1507320000000002e-4,0.016289175,0.031751749999999995,0.0375758,0.046535602499999974,1.0776154876200603,117.2197270138097,1179.9632023921783,1933,1
"lambda_tk[34,1]",2.1507320000000002e-4,0.016289175,0.031751749999999995,0.0375758,0.046535602499999974,1.0776154876200603,117.2197270138097,1179.9632023921783,1934,1
"lambda_tk[35,1]",2.1507320000000002e-4,0.016289175,0.031751749999999995,0.0375758,0.046535602499999974,1.0776154876200603,117.2197270138097,1179.9632023921783,1935,1
"lambda_tk[36,1]",2.1507320000000002e-4,0.016289175,0.031751749999999995,0.0375758,0.046535602499999974,1.0776154876200603,117.2197270138097,1179.9632023921783,1936,1
"lambda_tk[37,1]",2.1507320000000002e-4,0.016289175,0.031751749999999995,0.0375758,0.046535602499999974,1.0776154876200603,117.2197270138097,1179.9632023921783,1937,1
"lambda_tk[38,1]",2.1507320000000002e-4,0.016289175,0.031751749999999995,0.0375758,0.046535602499999974,1.0776154876200603,117.2197270138097,1179.9632023921783,1938,1
"lambda_tk[39,1]",2.1507320000000002e-4,0.016289175,0.031751749999999995,0.0375758,0.046535602499999974,1.0776154876200603,117.2197270138097,1179.9632023921783,1939,1
"lambda_tk[40,1]",2.1507320000000002e-4,0.016289175,0.031751749999999995,0.0375758,0.046535602499999974,1.0776154876200603,117.2197270138097,1179.9632023921783,1940,1
"lambda_tk[41,1]",2.0319575e-5,0.0037358300000000003,0.031461249999999996,0.037339125,0.04622323749999999,1.066610762373622,127.36380950681315,1118.8172981642517,1941,1
"lambda_tk[42,1]",2.0319575e-5,0.0037358300000000003,0.031461249999999996,0.037339125,0.04622323749999999,1.066610762373622,127.36380950681315,1118.8172981642517,1942,1
"lambda_tk[43,1]",2.0319575e-5,0.0037358300000000003,0.031461249999999996,0.037339125,0.04622323749999999,1.066610762373622,127.36380950681315,1118.8172981642517,1943,1
"lambda_tk[44,1]",2.0319575e-5,0.0037358300000000003,0.031461249999999996,0.037339125,0.04622323749999999,1.066610762373622,127.36380950681315,1118.8172981642517,1944,1
"lambda_tk[45,1]",2.0319575e-5,0.0037358300000000003,0.031461249999999996,0.037339125,0.04622323749999999,1.066610762373622,127.36380950681315,1118.8172981642517,1945,1
"lambda_tk[46,1]",2.0319575e-5,0.0037358300000000003,0.031461249999999996,0.037339125,0.04622323749999999,1.066610762373622,127.36380950681315,1118.8172981642517,1946,1
"lambda_tk[47,1]",2.0319575e-5,0.0037358300000000003,0.031461249999999996,0.037339125,0.04622323749999999,1.066610762373622,127.36380950681315,1118.8172981642517,1947,1
"lambda_tk[48,1]",2.0319575e-5,0.0037358300000000003,0.031461249999999996,0.037339125,0.04622323749999999,1.066610762373622,127.36380950681315,1118.8172981642517,1948,1
"lambda_tk[49,1]",2.0319575e-5,0.0037358300000000003,0.031461249999999996,0.037339125,0.04622323749999999,1.066610762373622,127.36380950681315,1118.8172981642517,1949,1
"lambda_tk[50,1]",2.0319575e-5,0.0037358300000000003,0.031461249999999996,0.037339125,0.04622323749999999,1.066610762373622,127.36380950681315,1118.8172981642517,1950,1
"lambda_tk[51,1]",6.153357250000001e-6,7.262402499999999e-4,0.003211065,0.0079935275,0.021371477499999986,1.0107179795971797,1211.4324265327496,4854.979529764322,1951,1
"lambda_tk[52,1]",6.153357250000001e-6,7.262402499999999e-4,0.003211065,0.0079935275,0.021371477499999986,1.0107179795971797,1211.4324265327496,4854.979529764322,1952,1
"lambda_tk[53,1]",6.153357250000001e-6,7.262402499999999e-4,0.003211065,0.0079935275,0.021371477499999986,1.0107179795971797,1211.4324265327496,4854.979529764322,1953,1
"lambda_tk[54,1]",6.153357250000001e-6,7.262402499999999e-4,0.003211065,0.0079935275,0.021371477499999986,1.0107179795971797,1211.4324265327496,4854.979529764322,1954,1
"lambda_tk[55,1]",6.153357250000001e-6,7.262402499999999e-4,0.003211065,0.0079935275,0.021371477499999986,1.0107179795971797,1211.4324265327496,4854.979529764322,1955,1
"lambda_tk[56,1]",6.153357250000001e-6,7.262402499999999e-4,0.003211065,0.0079935275,0.021371477499999986,1.0107179795971797,1211.4324265327496,4854.979529764322,1956,1
"lambda_tk[57,1]",6.153357250000001e-6,7.262402499999999e-4,0.003211065,0.0079935275,0.021371477499999986,1.0107179795971797,1211.4324265327496,4854.979529764322,1957,1
"lambda_tk[58,1]",6.153357250000001e-6,7.262402499999999e-4,0.003211065,0.0079935275,0.021371477499999986,1.0107179795971797,1211.4324265327496,4854.979529764322,1958,1
