variable,2.5%,25%,50%,75%,97.5%,rhat,ess_bulk,ess_tail,year,iType
"lambda_tk[1,1]",5.382268499999998e-5,0.0049875625,0.01667695,0.027928275,0.03730748749999999,1.00151774247361,4933.198222745659,4938.314538592885,1901,1
"lambda_tk[2,1]",5.382268499999998e-5,0.0049875625,0.01667695,0.027928275,0.03730748749999999,1.00151774247361,4933.198222745659,4938.314538592885,1902,1
"lambda_tk[3,1]",5.382268499999998e-5,0.0049875625,0.01667695,0.027928275,0.03730748749999999,1.00151774247361,4933.198222745659,4938.314538592885,1903,1
"lambda_tk[4,1]",5.382268499999998e-5,0.0049875625,0.01667695,0.027928275,0.03730748749999999,1.00151774247361,4933.198222745659,4938.314538592885,1904,1
"lambda_tk[5,1]",5.382268499999998e-5,0.0049875625,0.01667695,0.027928275,0.03730748749999999,1.00151774247361,4933.198222745659,4938.314538592885,1905,1
"lambda_tk[6,1]",5.382268499999998e-5,0.0049875625,0.01667695,0.027928275,0.03730748749999999,1.00151774247361,4933.198222745659,4938.314538592885,1906,1
"lambda_tk[7,1]",5.382268499999998e-5,0.0049875625,0.01667695,0.027928275,0.03730748749999999,1.00151774247361,4933.198222745659,4938.314538592885,1907,1
"lambda_tk[8,1]",5.382268499999998e-5,0.0049875625,0.01667695,0.027928275,0.03730748749999999,1.00151774247361,4933.198222745659,4938.314538592885,1908,1
"lambda_tk[9,1]",5.382268499999998e-5,0.0049875625,0.01667695,0.027928275,0.03730748749999999,1.00151774247361,4933.198222745659,4938.314538592885,1909,1
"lambda_tk[10,1]",5.382268499999998e-5,0.0049875625,0.01667695,0.027928275,0.03730748749999999,1.00151774247361,4933.198222745659,4938.314538592885,1910,1
"lambda_tk[11,1]",3.1479905e-5,0.003019705,0.01178755,0.025066025,0.0361924125,0.9993638921255452,5240.926853389133,5366.063792514347,1911,1
"lambda_tk[12,1]",3.1479905e-5,0.003019705,0.01178755,0.025066025,0.0361924125,0.9993638921255452,5240.926853389133,5366.063792514347,1912,1
"lambda_tk[13,1]",3.1479905e-5,0.003019705,0.01178755,0.025066025,0.0361924125,0.9993638921255452,5240.926853389133,5366.063792514347,1913,1
"lambda_tk[14,1]",3.1479905e-5,0.003019705,0.01178755,0.025066025,0.0361924125,0.9993638921255452,5240.926853389133,5366.063792514347,1914,1
"lambda_tk[15,1]",3.1479905e-5,0.003019705,0.01178755,0.025066025,0.0361924125,0.9993638921255452,5240.926853389133,5366.063792514347,1915,1
"lambda_tk[16,1]",3.1479905e-5,0.003019705,0.01178755,0.025066025,0.0361924125,0.9993638921255452,5240.926853389133,5366.063792514347,1916,1
"lambda_tk[17,1]",3.1479905e-5,0.003019705,0.01178755,0.025066025,0.0361924125,0.9993638921255452,5240.926853389133,5366.063792514347,1917,1
"lambda_tk[18,1]",3.1479905e-5,0.003019705,0.01178755,0.025066025,0.0361924125,0.9993638921255452,5240.926853389133,5366.063792514347,1918,1
"lambda_tk[19,1]",3.1479905e-5,0.003019705,0.01178755,0.025066025,0.0361924125,0.9993638921255452,5240.926853389133,5366.063792514347,1919,1
"lambda_tk[20,1]",3.1479905e-5,0.003019705,0.01178755,0.025066025,0.0361924125,0.9993638921255452,5240.926853389133,5366.063792514347,1920,1
"lambda_tk[21,1]",7.5950762499999995e-6,8.677685e-4,0.003899165,0.012315225,0.03290868,1.0015683082599358,3837.5116518719656,4969.173763483589,1921,1
"lambda_tk[22,1]",7.5950762499999995e-6,8.677685e-4,0.003899165,0.012315225,0.03290868,1.0015683082599358,3837.5116518719656,4969.173763483589,1922,1
"lambda_tk[23,1]",7.5950762499999995e-6,8.677685e-4,0.003899165,0.012315225,0.03290868,1.0015683082599358,3837.5116518719656,4969.173763483589,1923,1
"lambda_tk[24,1]",7.5950762499999995e-6,8.677685e-4,0.003899165,0.012315225,0.03290868,1.0015683082599358,3837.5116518719656,4969.173763483589,1924,1
"lambda_tk[25,1]",7.5950762499999995e-6,8.677685e-4,0.003899165,0.012315225,0.03290868,1.0015683082599358,3837.5116518719656,4969.173763483589,1925,1
"lambda_tk[26,1]",7.5950762499999995e-6,8.677685e-4,0.003899165,0.012315225,0.03290868,1.0015683082599358,3837.5116518719656,4969.173763483589,1926,1
"lambda_tk[27,1]",7.5950762499999995e-6,8.677685e-4,0.003899165,0.012315225,0.03290868,1.0015683082599358,3837.5116518719656,4969.173763483589,1927,1
"lambda_tk[28,1]",7.5950762499999995e-6,8.677685e-4,0.003899165,0.012315225,0.03290868,1.0015683082599358,3837.5116518719656,4969.173763483589,1928,1
"lambda_tk[29,1]",7.5950762499999995e-6,8.677685e-4,0.003899165,0.012315225,0.03290868,1.0015683082599358,3837.5116518719656,4969.173763483589,1929,1
"lambda_tk[30,1]",7.5950762499999995e-6,8.677685e-4,0.003899165,0.012315225,0.03290868,1.0015683082599358,3837.5116518719656,4969.173763483589,1930,1
"lambda_tk[31,1]",1.77871225e-5,0.001851555,0.008017465,0.020013275,0.03493667999999997,1.0005067770046518,5276.3829917975645,5237.35306423521,1931,1
"lambda_tk[32,1]",1.77871225e-5,0.001851555,0.008017465,0.020013275,0.03493667999999997,1.0005067770046518,5276.3829917975645,5237.35306423521,1932,1
"lambda_tk[33,1]",1.77871225e-5,0.001851555,0.008017465,0.020013275,0.03493667999999997,1.0005067770046518,5276.3829917975645,5237.35306423521,1933,1
