variable,2.5%,25%,50%,75%,97.5%,rhat,ess_bulk,ess_tail,year,iType
"lambda_tk[1,1]",4.15560625e-5,0.0038697175,0.0145123,0.027961,0.04607855499999992,1.0038692327709111,3554.1456023324918,1716.5828789127786,1901,1
"lambda_tk[2,1]",4.15560625e-5,0.0038697175,0.0145123,0.027961,0.04607855499999992,1.0038692327709111,3554.1456023324918,1716.5828789127786,1902,1
"lambda_tk[3,1]",4.15560625e-5,0.0038697175,0.0145123,0.027961,0.04607855499999992,1.0038692327709111,3554.1456023324918,1716.5828789127786,1903,1
"lambda_tk[4,1]",4.15560625e-5,0.0038697175,0.0145123,0.027961,0.04607855499999992,1.0038692327709111,3554.1456023324918,1716.5828789127786,1904,1
"lambda_tk[5,1]",4.15560625e-5,0.0038697175,0.0145123,0.027961,0.04607855499999992,1.0038692327709111,3554.1456023324918,1716.5828789127786,1905,1
"lambda_tk[6,1]",4.15560625e-5,0.0038697175,0.0145123,0.027961,0.04607855499999992,1.0038692327709111,3554.1456023324918,1716.5828789127786,1906,1
"lambda_tk[7,1]",4.15560625e-5,0.0038697175,0.0145123,0.027961,0.04607855499999992,1.0038692327709111,3554.1456023324918,1716.5828789127786,1907,1
"lambda_tk[8,1]",4.15560625e-5,0.0038697175,0.0145123,0.027961,0.04607855499999992,1.0038692327709111,3554.1456023324918,1716.5828789127786,1908,1
"lambda_tk[9,1]",4.15560625e-5,0.0038697175,0.0145123,0.027961,0.04607855499999992,1.0038692327709111,3554.1456023324918,1716.5828789127786,1909,1
"lambda_tk[10,1]",4.15560625e-5,0.0038697175,0.0145123,0.027961,0.04607855499999992,1.0038692327709111,3554.1456023324918,1716.5828789127786,1910,1
"lambda_tk[11,1]",1.395498e-5,0.00142951,0.00636661,0.017164475,0.037293502499999985,1.0024699110406536,3678.2351322174413,1392.8534257606104,1911,1
"lambda_tk[12,1]",1.395498e-5,0.00142951,0.00636661,0.017164475,0.037293502499999985,1.0024699110406536,3678.2351322174413,1392.8534257606104,1912,1
"lambda_tk[13,1]",1.395498e-5,0.00142951,0.00636661,0.017164475,0.037293502499999985,1.0024699110406536,3678.2351322174413,1392.8534257606104,1913,1
"lambda_tk[14,1]",1.395498e-5,0.00142951,0.00636661,0.017164475,0.037293502499999985,1.0024699110406536,3678.2351322174413,1392.8534257606104,1914,1
"lambda_tk[15,1]",1.395498e-5,0.00142951,0.00636661,0.017164475,0.037293502499999985,1.0024699110406536,3678.2351322174413,1392.8534257606104,1915,1
"lambda_tk[16,1]",1.395498e-5,0.00142951,0.00636661,0.017164475,0.037293502499999985,1.0024699110406536,3678.2351322174413,1392.8534257606104,1916,1
"lambda_tk[17,1]",1.395498e-5,0.00142951,0.00636661,0.017164475,0.037293502499999985,1.0024699110406536,3678.2351322174413,1392.8534257606104,1917,1
"lambda_tk[18,1]",1.395498e-5,0.00142951,0.00636661,0.017164475,0.037293502499999985,1.0024699110406536,3678.2351322174413,1392.8534257606104,1918,1
"lambda_tk[19,1]",1.395498e-5,0.00142951,0.00636661,0.017164475,0.037293502499999985,1.0024699110406536,3678.2351322174413,1392.8534257606104,1919,1
"lambda_tk[20,1]",1.395498e-5,0.00142951,0.00636661,0.017164475,0.037293502499999985,1.0024699110406536,3678.2351322174413,1392.8534257606104,1920,1
"lambda_tk[21,1]",3.892073e-6,4.42973e-4,0.0019314150000000001,0.00568847,0.023002924999999973,1.0024739702665257,5857.582542517187,4143.014461521651,1921,1
"lambda_tk[22,1]",3.892073e-6,4.42973e-4,0.0019314150000000001,0.00568847,0.023002924999999973,1.0024739702665257,5857.582542517187,4143.014461521651,1922,1
"lambda_tk[23,1]",3.892073e-6,4.42973e-4,0.0019314150000000001,0.00568847,0.023002924999999973,1.0024739702665257,5857.582542517187,4143.014461521651,1923,1
"lambda_tk[24,1]",3.892073e-6,4.42973e-4,0.0019314150000000001,0.00568847,0.023002924999999973,1.0024739702665257,5857.582542517187,4143.014461521651,1924,1
"lambda_tk[25,1]",3.892073e-6,4.42973e-4,0.0019314150000000001,0.00568847,0.023002924999999973,1.0024739702665257,5857.582542517187,4143.014461521651,1925,1
"lambda_tk[26,1]",3.892073e-6,4.42973e-4,0.0019314150000000001,0.00568847,0.023002924999999973,1.0024739702665257,5857.582542517187,4143.014461521651,1926,1
"lambda_tk[27,1]",3.892073e-6,4.42973e-4,0.0019314150000000001,0.00568847,0.023002924999999973,1.0024739702665257,5857.582542517187,4143.014461521651,1927,1
"lambda_tk[28,1]",3.892073e-6,4.42973e-4,0.0019314150000000001,0.00568847,0.023002924999999973,1.0024739702665257,5857.582542517187,4143.014461521651,1928,1
"lambda_tk[29,1]",3.892073e-6,4.42973e-4,0.0019314150000000001,0.00568847,0.023002924999999973,1.0024739702665257,5857.582542517187,4143.014461521651,1929,1
"lambda_tk[30,1]",3.892073e-6,4.42973e-4,0.0019314150000000001,0.00568847,0.023002924999999973,1.0024739702665257,5857.582542517187,4143.014461521651,1930,1
"lambda_tk[31,1]",3.3853030000000003e-6,5.7925125e-4,0.00254679,0.0073477675,0.02696802499999998,1.0056417285708679,1932.8681361934543,1110.7322030399669,1931,1
"lambda_tk[32,1]",3.3853030000000003e-6,5.7925125e-4,0.00254679,0.0073477675,0.02696802499999998,1.0056417285708679,1932.8681361934543,1110.7322030399669,1932,1
"lambda_tk[33,1]",3.3853030000000003e-6,5.7925125e-4,0.00254679,0.0073477675,0.02696802499999998,1.0056417285708679,1932.8681361934543,1110.7322030399669,1933,1
"lambda_tk[34,1]",3.3853030000000003e-6,5.7925125e-4,0.00254679,0.0073477675,0.02696802499999998,1.0056417285708679,1932.8681361934543,1110.7322030399669,1934,1
"lambda_tk[35,1]",3.3853030000000003e-6,5.7925125e-4,0.00254679,0.0073477675,0.02696802499999998,1.0056417285708679,1932.8681361934543,1110.7322030399669,1935,1
"lambda_tk[36,1]",3.3853030000000003e-6,5.7925125e-4,0.00254679,0.0073477675,0.02696802499999998,1.0056417285708679,1932.8681361934543,1110.7322030399669,1936,1
"lambda_tk[37,1]",3.3853030000000003e-6,5.7925125e-4,0.00254679,0.0073477675,0.02696802499999998,1.0056417285708679,1932.8681361934543,1110.7322030399669,1937,1
"lambda_tk[38,1]",3.3853030000000003e-6,5.7925125e-4,0.00254679,0.0073477675,0.02696802499999998,1.0056417285708679,1932.8681361934543,1110.7322030399669,1938,1
"lambda_tk[39,1]",3.3853030000000003e-6,5.7925125e-4,0.00254679,0.0073477675,0.02696802499999998,1.0056417285708679,1932.8681361934543,1110.7322030399669,1939,1
"lambda_tk[40,1]",3.3853030000000003e-6,5.7925125e-4,0.00254679,0.0073477675,0.02696802499999998,1.0056417285708679,1932.8681361934543,1110.7322030399669,1940,1
"lambda_tk[41,1]",1.2294985e-5,0.001207405,0.005450865,0.0141526,0.03267016499999998,1.0031810244685615,4846.362825353329,2686.7863433162393,1941,1
"lambda_tk[42,1]",1.2294985e-5,0.001207405,0.005450865,0.0141526,0.03267016499999998,1.0031810244685615,4846.362825353329,2686.7863433162393,1942,1
"lambda_tk[43,1]",1.2294985e-5,0.001207405,0.005450865,0.0141526,0.03267016499999998,1.0031810244685615,4846.362825353329,2686.7863433162393,1943,1
"lambda_tk[44,1]",1.2294985e-5,0.001207405,0.005450865,0.0141526,0.03267016499999998,1.0031810244685615,4846.362825353329,2686.7863433162393,1944,1
"lambda_tk[45,1]",1.2294985e-5,0.001207405,0.005450865,0.0141526,0.03267016499999998,1.0031810244685615,4846.362825353329,2686.7863433162393,1945,1
"lambda_tk[46,1]",1.2294985e-5,0.001207405,0.005450865,0.0141526,0.03267016499999998,1.0031810244685615,4846.362825353329,2686.7863433162393,1946,1
"lambda_tk[47,1]",1.2294985e-5,0.001207405,0.005450865,0.0141526,0.03267016499999998,1.0031810244685615,4846.362825353329,2686.7863433162393,1947,1
"lambda_tk[48,1]",1.2294985e-5,0.001207405,0.005450865,0.0141526,0.03267016499999998,1.0031810244685615,4846.362825353329,2686.7863433162393,1948,1
"lambda_tk[49,1]",1.2294985e-5,0.001207405,0.005450865,0.0141526,0.03267016499999998,1.0031810244685615,4846.362825353329,2686.7863433162393,1949,1
"lambda_tk[50,1]",1.2294985e-5,0.001207405,0.005450865,0.0141526,0.03267016499999998,1.0031810244685615,4846.362825353329,2686.7863433162393,1950,1
"lambda_tk[51,1]",1.82165425e-5,0.0016955075000000001,0.006764625,0.016464725,0.03427484249999999,1.004298294773648,2727.75895298476,1125.1323797053565,1951,1
"lambda_tk[52,1]",1.82165425e-5,0.0016955075000000001,0.006764625,0.016464725,0.03427484249999999,1.004298294773648,2727.75895298476,1125.1323797053565,1952,1
"lambda_tk[53,1]",1.82165425e-5,0.0016955075000000001,0.006764625,0.016464725,0.03427484249999999,1.004298294773648,2727.75895298476,1125.1323797053565,1953,1
"lambda_tk[54,1]",1.82165425e-5,0.0016955075000000001,0.006764625,0.016464725,0.03427484249999999,1.004298294773648,2727.75895298476,1125.1323797053565,1954,1
"lambda_tk[55,1]",1.82165425e-5,0.0016955075000000001,0.006764625,0.016464725,0.03427484249999999,1.004298294773648,2727.75895298476,1125.1323797053565,1955,1
"lambda_tk[56,1]",1.82165425e-5,0.0016955075000000001,0.006764625,0.016464725,0.03427484249999999,1.004298294773648,2727.75895298476,1125.1323797053565,1956,1
"lambda_tk[57,1]",1.82165425e-5,0.0016955075000000001,0.006764625,0.016464725,0.03427484249999999,1.004298294773648,2727.75895298476,1125.1323797053565,1957,1
"lambda_tk[58,1]",1.82165425e-5,0.0016955075000000001,0.006764625,0.016464725,0.03427484249999999,1.004298294773648,2727.75895298476,1125.1323797053565,1958,1
"lambda_tk[59,1]",1.82165425e-5,0.0016955075000000001,0.006764625,0.016464725,0.03427484249999999,1.004298294773648,2727.75895298476,1125.1323797053565,1959,1
"lambda_tk[60,1]",1.82165425e-5,0.0016955075000000001,0.006764625,0.016464725,0.03427484249999999,1.004298294773648,2727.75895298476,1125.1323797053565,1960,1
"lambda_tk[61,1]",6.41038775e-6,6.4779e-4,0.0028636499999999997,0.00935373,0.030295659999999964,1.0018520426613986,2595.5140214878184,1924.5760786742906,1961,1
"lambda_tk[62,1]",6.41038775e-6,6.4779e-4,0.0028636499999999997,0.00935373,0.030295659999999964,1.0018520426613986,2595.5140214878184,1924.5760786742906,1962,1
"lambda_tk[63,1]",6.41038775e-6,6.4779e-4,0.0028636499999999997,0.00935373,0.030295659999999964,1.0018520426613986,2595.5140214878184,1924.5760786742906,1963,1
"lambda_tk[64,1]",6.41038775e-6,6.4779e-4,0.0028636499999999997,0.00935373,0.030295659999999964,1.0018520426613986,2595.5140214878184,1924.5760786742906,1964,1
"lambda_tk[65,1]",6.41038775e-6,6.4779e-4,0.0028636499999999997,0.00935373,0.030295659999999964,1.0018520426613986,2595.5140214878184,1924.5760786742906,1965,1
"lambda_tk[66,1]",6.41038775e-6,6.4779e-4,0.0028636499999999997,0.00935373,0.030295659999999964,1.0018520426613986,2595.5140214878184,1924.5760786742906,1966,1
"lambda_tk[67,1]",6.41038775e-6,6.4779e-4,0.0028636499999999997,0.00935373,0.030295659999999964,1.0018520426613986,2595.5140214878184,1924.5760786742906,1967,1
"lambda_tk[68,1]",6.41038775e-6,6.4779e-4,0.0028636499999999997,0.00935373,0.030295659999999964,1.0018520426613986,2595.5140214878184,1924.5760786742906,1968,1
"lambda_tk[69,1]",6.41038775e-6,6.4779e-4,0.0028636499999999997,0.00935373,0.030295659999999964,1.0018520426613986,2595.5140214878184,1924.5760786742906,1969,1
"lambda_tk[70,1]",6.41038775e-6,6.4779e-4,0.0028636499999999997,0.00935373,0.030295659999999964,1.0018520426613986,2595.5140214878184,1924.5760786742906,1970,1
"lambda_tk[71,1]",3.9308067500000015e-6,4.904964999999999e-4,0.0027837699999999996,0.014488975000000001,0.036370344999999984,1.0027112061378718,2363.4619828929294,1249.1987311090202,1971,1
"lambda_tk[72,1]",3.9308067500000015e-6,4.904964999999999e-4,0.0027837699999999996,0.014488975000000001,0.036370344999999984,1.0027112061378718,2363.4619828929294,1249.1987311090202,1972,1
"lambda_tk[73,1]",3.9308067500000015e-6,4.904964999999999e-4,0.0027837699999999996,0.014488975000000001,0.036370344999999984,1.0027112061378718,2363.4619828929294,1249.1987311090202,1973,1
"lambda_tk[74,1]",3.9308067500000015e-6,4.904964999999999e-4,0.0027837699999999996,0.014488975000000001,0.036370344999999984,1.0027112061378718,2363.4619828929294,1249.1987311090202,1974,1
"lambda_tk[75,1]",3.9308067500000015e-6,4.904964999999999e-4,0.0027837699999999996,0.014488975000000001,0.036370344999999984,1.0027112061378718,2363.4619828929294,1249.1987311090202,1975,1
"lambda_tk[76,1]",3.9308067500000015e-6,4.904964999999999e-4,0.0027837699999999996,0.014488975000000001,0.036370344999999984,1.0027112061378718,2363.4619828929294,1249.1987311090202,1976,1
"lambda_tk[77,1]",3.9308067500000015e-6,4.904964999999999e-4,0.0027837699999999996,0.014488975000000001,0.036370344999999984,1.0027112061378718,2363.4619828929294,1249.1987311090202,1977,1
"lambda_tk[78,1]",3.9308067500000015e-6,4.904964999999999e-4,0.0027837699999999996,0.014488975000000001,0.036370344999999984,1.0027112061378718,2363.4619828929294,1249.1987311090202,1978,1
"lambda_tk[79,1]",3.9308067500000015e-6,4.904964999999999e-4,0.0027837699999999996,0.014488975000000001,0.036370344999999984,1.0027112061378718,2363.4619828929294,1249.1987311090202,1979,1
"lambda_tk[80,1]",3.9308067500000015e-6,4.904964999999999e-4,0.0027837699999999996,0.014488975000000001,0.036370344999999984,1.0027112061378718,2363.4619828929294,1249.1987311090202,1980,1
"lambda_tk[81,1]",5.106617750000001e-6,5.3634025e-4,0.002365265,0.006790849999999999,0.025325109999999974,1.0032757859008867,3971.2814802665125,1575.775579860145,1981,1
"lambda_tk[82,1]",5.106617750000001e-6,5.3634025e-4,0.002365265,0.006790849999999999,0.025325109999999974,1.0032757859008867,3971.2814802665125,1575.775579860145,1982,1
"lambda_tk[83,1]",5.106617750000001e-6,5.3634025e-4,0.002365265,0.006790849999999999,0.025325109999999974,1.0032757859008867,3971.2814802665125,1575.775579860145,1983,1
"lambda_tk[84,1]",5.106617750000001e-6,5.3634025e-4,0.002365265,0.006790849999999999,0.025325109999999974,1.0032757859008867,3971.2814802665125,1575.775579860145,1984,1
"lambda_tk[85,1]",1.271876e-6,1.2162524999999999e-4,5.494785e-4,0.0016360724999999999,0.006868054249999995,1.0019461147219795,5757.245474488547,7715.432469934347,1985,1
"lambda_tk[86,1]",1.271876e-6,1.2162524999999999e-4,5.494785e-4,0.0016360724999999999,0.006868054249999995,1.0019461147219795,5757.245474488547,7715.432469934347,1986,1
"lambda_tk[87,1]",1.271876e-6,1.2162524999999999e-4,5.494785e-4,0.0016360724999999999,0.006868054249999995,1.0019461147219795,5757.245474488547,7715.432469934347,1987,1
"lambda_tk[88,1]",1.271876e-6,1.2162524999999999e-4,5.494785e-4,0.0016360724999999999,0.006868054249999995,1.0019461147219795,5757.245474488547,7715.432469934347,1988,1
"lambda_tk[89,1]",1.271876e-6,1.2162524999999999e-4,5.494785e-4,0.0016360724999999999,0.006868054249999995,1.0019461147219795,5757.245474488547,7715.432469934347,1989,1
"lambda_tk[90,1]",6.94674125e-7,6.601994999999999e-5,3.15146e-4,9.545745e-4,0.004479095749999998,1.0021473757270587,6137.641264517676,11447.16691710404,1990,1
"lambda_tk[91,1]",6.94674125e-7,6.601994999999999e-5,3.15146e-4,9.545745e-4,0.004479095749999998,1.0021473757270587,6137.641264517676,11447.16691710404,1991,1
"lambda_tk[92,1]",6.94674125e-7,6.601994999999999e-5,3.15146e-4,9.545745e-4,0.004479095749999998,1.0021473757270587,6137.641264517676,11447.16691710404,1992,1
"lambda_tk[93,1]",6.94674125e-7,6.601994999999999e-5,3.15146e-4,9.545745e-4,0.004479095749999998,1.0021473757270587,6137.641264517676,11447.16691710404,1993,1
