state,Year,Age,hospitalization,numcase
29,2000,2,nonhosp,6
29,2000,3,nonhosp,1
29,2000,4,nonhosp,5
29,2000,5,nonhosp,2
29,2000,6,nonhosp,3
29,2000,7,nonhosp,2
29,2000,8,nonhosp,1
29,2000,9,hosp,1
29,2000,9,nonhosp,5
29,2000,10,nonhosp,5
29,2000,11,nonhosp,4
29,2000,12,nonhosp,5
29,2000,13,nonhosp,5
29,2000,14,hosp,3
29,2000,14,nonhosp,4
29,2000,15,nonhosp,5
29,2000,16,nonhosp,7
29,2000,17,nonhosp,6
29,2000,18,nonhosp,6
29,2000,19,nonhosp,6
29,2000,20,nonhosp,11
29,2000,21,nonhosp,4
29,2000,22,nonhosp,8
29,2000,23,nonhosp,7
29,2000,24,nonhosp,4
29,2000,25,nonhosp,7
29,2000,26,nonhosp,4
29,2000,27,nonhosp,6
29,2000,28,nonhosp,1
29,2000,29,nonhosp,4
29,2000,30,nonhosp,6
29,2000,31,nonhosp,4
29,2000,32,nonhosp,5
29,2000,33,nonhosp,3
29,2000,34,nonhosp,7
29,2000,35,hosp,1
29,2000,35,nonhosp,5
29,2000,36,nonhosp,3
29,2000,37,nonhosp,1
29,2000,38,hosp,1
29,2000,38,nonhosp,1
29,2000,40,nonhosp,3
29,2000,41,nonhosp,2
29,2000,42,nonhosp,2
29,2000,43,nonhosp,3
29,2000,44,nonhosp,3
29,2000,45,nonhosp,4
29,2000,46,nonhosp,1
29,2000,47,nonhosp,4
29,2000,48,nonhosp,2
29,2000,49,nonhosp,2
29,2000,50,nonhosp,2
29,2000,52,nonhosp,1
29,2000,54,nonhosp,2
29,2000,55,nonhosp,1
29,2000,57,nonhosp,3
29,2000,58,nonhosp,1
29,2000,60,nonhosp,2
29,2000,64,nonhosp,2
29,2000,65,nonhosp,2
29,2000,66,nonhosp,1
29,2000,69,nonhosp,1
29,2000,70,nonhosp,1
29,2000,72,nonhosp,2
29,2000,76,nonhosp,1
29,2000,77,nonhosp,1
29,2000,83,nonhosp,1
29,2000,88,nonhosp,1
29,2001,2,nonhosp,4
29,2001,3,nonhosp,5
29,2001,4,nonhosp,5
29,2001,5,nonhosp,4
29,2001,6,hosp,1
29,2001,6,nonhosp,5
29,2001,7,nonhosp,2
29,2001,8,nonhosp,4
29,2001,9,nonhosp,7
29,2001,10,nonhosp,4
29,2001,11,nonhosp,5
29,2001,12,nonhosp,3
29,2001,13,nonhosp,6
29,2001,14,nonhosp,6
29,2001,15,nonhosp,11
29,2001,16,nonhosp,9
29,2001,17,nonhosp,11
29,2001,18,nonhosp,8
29,2001,19,nonhosp,11
29,2001,20,nonhosp,11
29,2001,21,hosp,1
29,2001,21,nonhosp,20
29,2001,22,nonhosp,7
29,2001,23,hosp,1
29,2001,23,nonhosp,14
29,2001,24,nonhosp,9
29,2001,25,nonhosp,15
29,2001,26,nonhosp,15
29,2001,27,nonhosp,6
29,2001,28,nonhosp,12
29,2001,29,nonhosp,9
29,2001,30,nonhosp,14
29,2001,31,hosp,2
29,2001,31,nonhosp,17
29,2001,32,hosp,1
29,2001,32,nonhosp,10
29,2001,33,nonhosp,6
29,2001,34,nonhosp,9
29,2001,35,nonhosp,11
29,2001,36,hosp,1
29,2001,36,nonhosp,9
29,2001,37,nonhosp,16
29,2001,38,hosp,1
29,2001,38,nonhosp,10
29,2001,39,nonhosp,12
29,2001,40,nonhosp,11
29,2001,41,nonhosp,8
29,2001,42,nonhosp,10
29,2001,43,nonhosp,8
29,2001,44,nonhosp,7
29,2001,45,nonhosp,5
29,2001,46,hosp,1
29,2001,46,nonhosp,3
29,2001,47,nonhosp,7
29,2001,48,nonhosp,5
29,2001,49,nonhosp,6
29,2001,50,nonhosp,14
29,2001,51,nonhosp,7
29,2001,52,nonhosp,5
29,2001,53,nonhosp,4
29,2001,54,nonhosp,6
29,2001,55,nonhosp,8
29,2001,56,nonhosp,3
29,2001,57,nonhosp,10
29,2001,58,hosp,1
29,2001,58,nonhosp,4
29,2001,59,nonhosp,6
29,2001,60,nonhosp,7
29,2001,61,nonhosp,4
29,2001,62,nonhosp,8
29,2001,63,nonhosp,4
29,2001,64,hosp,1
29,2001,64,nonhosp,3
29,2001,65,nonhosp,5
29,2001,66,nonhosp,4
29,2001,67,nonhosp,1
29,2001,68,nonhosp,4
29,2001,69,nonhosp,3
29,2001,70,nonhosp,1
29,2001,71,nonhosp,1
29,2001,72,nonhosp,1
29,2001,73,nonhosp,2
29,2001,77,nonhosp,1
29,2001,79,nonhosp,2
29,2001,81,nonhosp,1
29,2001,82,nonhosp,1
29,2001,84,nonhosp,1
29,2001,86,nonhosp,1
29,2002,2,nonhosp,14
29,2002,3,hosp,1
29,2002,3,nonhosp,23
29,2002,4,hosp,1
29,2002,4,nonhosp,26
29,2002,5,hosp,2
29,2002,5,nonhosp,22
29,2002,6,hosp,1
29,2002,6,nonhosp,20
29,2002,7,nonhosp,31
29,2002,8,nonhosp,31
29,2002,9,hosp,2
29,2002,9,nonhosp,30
29,2002,10,hosp,3
29,2002,10,nonhosp,25
29,2002,11,hosp,3
29,2002,11,nonhosp,40
29,2002,12,hosp,1
29,2002,12,nonhosp,35
29,2002,13,hosp,3
29,2002,13,nonhosp,53
29,2002,14,hosp,2
29,2002,14,nonhosp,47
29,2002,15,hosp,3
29,2002,15,nonhosp,55
29,2002,16,hosp,4
29,2002,16,nonhosp,63
