state,Year,Age,hospitalization,numcase
31,2000,2,hosp,1
31,2000,2,nonhosp,1
31,2000,3,nonhosp,1
31,2000,4,nonhosp,3
31,2000,5,nonhosp,2
31,2000,6,nonhosp,1
31,2000,7,nonhosp,1
31,2000,8,nonhosp,2
31,2000,9,nonhosp,1
31,2000,10,nonhosp,2
31,2000,11,nonhosp,3
31,2000,12,nonhosp,1
31,2000,13,nonhosp,1
31,2000,14,nonhosp,4
31,2000,15,nonhosp,3
31,2000,16,nonhosp,2
31,2000,17,nonhosp,3
31,2000,18,nonhosp,7
31,2000,19,nonhosp,2
31,2000,20,nonhosp,6
31,2000,22,nonhosp,3
31,2000,23,nonhosp,1
31,2000,24,nonhosp,7
31,2000,25,nonhosp,4
31,2000,26,nonhosp,3
31,2000,27,nonhosp,1
31,2000,28,nonhosp,1
31,2000,29,nonhosp,3
31,2000,30,nonhosp,5
31,2000,31,nonhosp,4
31,2000,32,nonhosp,1
31,2000,33,nonhosp,2
31,2000,34,nonhosp,3
31,2000,35,nonhosp,4
31,2000,36,nonhosp,3
31,2000,37,nonhosp,2
31,2000,38,nonhosp,4
31,2000,39,nonhosp,1
31,2000,40,nonhosp,6
31,2000,41,nonhosp,3
31,2000,42,nonhosp,2
31,2000,43,nonhosp,1
31,2000,44,nonhosp,4
31,2000,45,nonhosp,3
31,2000,46,nonhosp,1
31,2000,47,nonhosp,1
31,2000,48,nonhosp,4
31,2000,49,nonhosp,1
31,2000,50,nonhosp,2
31,2000,51,nonhosp,1
31,2000,53,nonhosp,1
31,2000,55,nonhosp,1
31,2000,56,nonhosp,1
31,2000,57,nonhosp,1
31,2000,59,nonhosp,1
31,2000,61,nonhosp,1
31,2000,62,nonhosp,1
31,2000,63,nonhosp,1
31,2000,74,nonhosp,1
31,2001,1,nonhosp,1
31,2001,2,hosp,2
31,2001,2,nonhosp,14
31,2001,3,nonhosp,20
31,2001,4,hosp,1
31,2001,4,nonhosp,15
31,2001,5,hosp,3
31,2001,5,nonhosp,21
31,2001,6,hosp,2
31,2001,6,nonhosp,22
31,2001,7,hosp,2
31,2001,7,nonhosp,28
31,2001,8,hosp,2
31,2001,8,nonhosp,30
31,2001,9,hosp,2
31,2001,9,nonhosp,30
31,2001,10,nonhosp,37
31,2001,11,hosp,1
31,2001,11,nonhosp,46
31,2001,12,hosp,2
31,2001,12,nonhosp,49
31,2001,13,hosp,3
31,2001,13,nonhosp,68
31,2001,14,hosp,1
31,2001,14,nonhosp,71
31,2001,15,hosp,4
31,2001,15,nonhosp,77
31,2001,16,hosp,2
31,2001,16,nonhosp,82
31,2001,17,hosp,1
31,2001,17,nonhosp,83
31,2001,18,hosp,2
31,2001,18,nonhosp,89
31,2001,19,hosp,2
31,2001,19,nonhosp,97
31,2001,20,hosp,4
31,2001,20,nonhosp,110
31,2001,21,hosp,3
31,2001,21,nonhosp,112
31,2001,22,hosp,3
31,2001,22,nonhosp,97
31,2001,23,hosp,4
31,2001,23,nonhosp,94
31,2001,24,hosp,3
31,2001,24,nonhosp,112
31,2001,25,hosp,1
31,2001,25,nonhosp,105
31,2001,26,nonhosp,94
31,2001,27,hosp,1
31,2001,27,nonhosp,77
31,2001,28,hosp,3
31,2001,28,nonhosp,88
31,2001,29,hosp,3
31,2001,29,nonhosp,95
31,2001,30,hosp,2
31,2001,30,nonhosp,103
31,2001,31,hosp,6
31,2001,31,nonhosp,79
31,2001,32,hosp,2
31,2001,32,nonhosp,97
31,2001,33,hosp,2
31,2001,33,nonhosp,84
31,2001,34,hosp,3
31,2001,34,nonhosp,84
31,2001,35,hosp,3
31,2001,35,nonhosp,84
31,2001,36,hosp,3
31,2001,36,nonhosp,78
31,2001,37,hosp,5
31,2001,37,nonhosp,85
31,2001,38,hosp,3
31,2001,38,nonhosp,73
31,2001,39,hosp,2
31,2001,39,nonhosp,97
31,2001,40,hosp,1
31,2001,40,nonhosp,77
31,2001,41,hosp,1
31,2001,41,nonhosp,87
31,2001,42,hosp,3
31,2001,42,nonhosp,81
31,2001,43,hosp,1
31,2001,43,nonhosp,71
31,2001,44,nonhosp,78
31,2001,45,hosp,1
31,2001,45,nonhosp,64
31,2001,46,hosp,3
31,2001,46,nonhosp,69
31,2001,47,nonhosp,60
31,2001,48,hosp,1
31,2001,48,nonhosp,63
31,2001,49,hosp,2
31,2001,49,nonhosp,64
31,2001,50,nonhosp,49
31,2001,51,hosp,2
31,2001,51,nonhosp,57
31,2001,52,hosp,3
31,2001,52,nonhosp,48
31,2001,53,hosp,2
31,2001,53,nonhosp,39
31,2001,54,hosp,2
31,2001,54,nonhosp,32
31,2001,55,nonhosp,41
31,2001,56,hosp,1
31,2001,56,nonhosp,25
31,2001,57,hosp,5
31,2001,57,nonhosp,26
31,2001,58,nonhosp,22
31,2001,59,nonhosp,39
31,2001,60,hosp,3
31,2001,60,nonhosp,24
31,2001,61,hosp,4
31,2001,61,nonhosp,16
31,2001,62,hosp,1
31,2001,62,nonhosp,24
31,2001,63,hosp,1
31,2001,63,nonhosp,18
31,2001,64,hosp,1
31,2001,64,nonhosp,20
31,2001,65,nonhosp,24
31,2001,66,hosp,1
31,2001,66,nonhosp,13
31,2001,67,hosp,1
31,2001,67,nonhosp,12
31,2001,68,hosp,1
31,2001,68,nonhosp,6
31,2001,69,nonhosp,10
31,2001,70,hosp,2
31,2001,70,nonhosp,10
31,2001,71,nonhosp,6
31,2001,72,nonhosp,5
31,2001,73,nonhosp,10
31,2001,74,hosp,1
31,2001,74,nonhosp,7
31,2001,75,nonhosp,5
31,2001,76,hosp,1
31,2001,76,nonhosp,3
31,2001,77,nonhosp,6
31,2001,78,hosp,2
31,2001,78,nonhosp,3
31,2001,79,hosp,1
31,2001,80,nonhosp,1
31,2001,81,nonhosp,5
31,2001,82,hosp,1
31,2001,82,nonhosp,3
31,2001,83,nonhosp,1
31,2001,84,nonhosp,1
31,2001,86,hosp,1
31,2001,86,nonhosp,1
31,2001,89,nonhosp,1
31,2001,90,nonhosp,2
31,2001,93,nonhosp,1
31,2001,95,nonhosp,1
31,2001,96,nonhosp,1
31,2001,99,nonhosp,1
31,2001,100,nonhosp,1
31,2001,101,hosp,1
31,2001,101,nonhosp,36
31,2002,2,hosp,15
31,2002,2,nonhosp,150
31,2002,3,hosp,17
31,2002,3,nonhosp,177
31,2002,4,hosp,13
31,2002,4,nonhosp,222
31,2002,5,hosp,16
31,2002,5,nonhosp,229
31,2002,6,hosp,23
31,2002,6,nonhosp,239
31,2002,7,hosp,24
31,2002,7,nonhosp,283
31,2002,8,hosp,19
31,2002,8,nonhosp,331
31,2002,9,hosp,34
31,2002,9,nonhosp,356
31,2002,10,hosp,19
31,2002,10,nonhosp,412
31,2002,11,hosp,38
31,2002,11,nonhosp,488
31,2002,12,hosp,31
31,2002,12,nonhosp,537
31,2002,13,hosp,27
31,2002,13,nonhosp,663
31,2002,14,hosp,43
31,2002,14,nonhosp,724
31,2002,15,hosp,54
31,2002,15,nonhosp,626
31,2002,16,hosp,37
31,2002,16,nonhosp,673
31,2002,17,hosp,39
31,2002,17,nonhosp,731
31,2002,18,hosp,39
31,2002,18,nonhosp,829
31,2002,19,hosp,36
31,2002,19,nonhosp,903
31,2002,20,hosp,65
31,2002,20,nonhosp,893
31,2002,21,hosp,43
31,2002,21,nonhosp,933
31,2002,22,hosp,47
31,2002,22,nonhosp,920
31,2002,23,hosp,46
31,2002,23,nonhosp,937
31,2002,24,hosp,46
31,2002,24,nonhosp,842
31,2002,25,hosp,51
31,2002,25,nonhosp,804
31,2002,26,hosp,46
31,2002,26,nonhosp,757
31,2002,27,hosp,43
31,2002,27,nonhosp,696
31,2002,28,hosp,44
31,2002,28,nonhosp,743
31,2002,29,hosp,57
31,2002,29,nonhosp,692
31,2002,30,hosp,38
31,2002,30,nonhosp,725
31,2002,31,hosp,45
31,2002,31,nonhosp,735
31,2002,32,hosp,44
31,2002,32,nonhosp,670
31,2002,33,hosp,48
31,2002,33,nonhosp,712
31,2002,34,hosp,43
31,2002,34,nonhosp,684
31,2002,35,hosp,56
31,2002,35,nonhosp,649
31,2002,36,hosp,43
31,2002,36,nonhosp,699
31,2002,37,hosp,40
31,2002,37,nonhosp,655
31,2002,38,hosp,37
31,2002,38,nonhosp,679
31,2002,39,hosp,50
31,2002,39,nonhosp,659
31,2002,40,hosp,37
31,2002,40,nonhosp,646
31,2002,41,hosp,34
31,2002,41,nonhosp,550
31,2002,42,hosp,26
31,2002,42,nonhosp,588
31,2002,43,hosp,44
31,2002,43,nonhosp,639
31,2002,44,hosp,34
31,2002,44,nonhosp,571
31,2002,45,hosp,25
31,2002,45,nonhosp,503
31,2002,46,hosp,32
31,2002,46,nonhosp,442
31,2002,47,hosp,36
31,2002,47,nonhosp,470
31,2002,48,hosp,34
31,2002,48,nonhosp,461
31,2002,49,hosp,31
31,2002,49,nonhosp,476
31,2002,50,hosp,20
31,2002,50,nonhosp,420
31,2002,51,hosp,27
31,2002,51,nonhosp,409
31,2002,52,hosp,21
31,2002,52,nonhosp,385
31,2002,53,hosp,31
31,2002,53,nonhosp,381
31,2002,54,hosp,21
31,2002,54,nonhosp,367
31,2002,55,hosp,19
31,2002,55,nonhosp,301
31,2002,56,hosp,20
31,2002,56,nonhosp,261
31,2002,57,hosp,19
31,2002,57,nonhosp,237
31,2002,58,hosp,19
31,2002,58,nonhosp,262
31,2002,59,hosp,16
31,2002,59,nonhosp,242
31,2002,60,hosp,16
31,2002,60,nonhosp,227
31,2002,61,hosp,12
31,2002,61,nonhosp,196
31,2002,62,hosp,18
31,2002,62,nonhosp,241
31,2002,63,hosp,15
31,2002,63,nonhosp,211
31,2002,64,hosp,14
31,2002,64,nonhosp,142
31,2002,65,hosp,16
31,2002,65,nonhosp,165
31,2002,66,hosp,12
31,2002,66,nonhosp,163
31,2002,67,hosp,14
31,2002,67,nonhosp,159
31,2002,68,hosp,6
31,2002,68,nonhosp,125
31,2002,69,hosp,17
31,2002,69,nonhosp,112
31,2002,70,hosp,7
31,2002,70,nonhosp,75
31,2002,71,hosp,10
31,2002,71,nonhosp,104
31,2002,72,hosp,4
31,2002,72,nonhosp,76
31,2002,73,hosp,7
31,2002,73,nonhosp,69
31,2002,74,hosp,4
31,2002,74,nonhosp,65
31,2002,75,hosp,12
31,2002,75,nonhosp,48
31,2002,76,hosp,6
31,2002,76,nonhosp,53
31,2002,77,hosp,4
31,2002,77,nonhosp,40
31,2002,78,hosp,4
31,2002,78,nonhosp,36
31,2002,79,hosp,3
31,2002,79,nonhosp,28
31,2002,80,hosp,1
31,2002,80,nonhosp,26
31,2002,81,hosp,2
31,2002,81,nonhosp,26
31,2002,82,hosp,2
31,2002,82,nonhosp,27
31,2002,83,nonhosp,18
31,2002,84,nonhosp,12
31,2002,85,hosp,1
31,2002,85,nonhosp,8
31,2002,86,hosp,1
31,2002,86,nonhosp,4
31,2002,87,hosp,3
31,2002,87,nonhosp,6
31,2002,88,hosp,2
31,2002,88,nonhosp,4
31,2002,89,hosp,2
31,2002,89,nonhosp,2
31,2002,90,hosp,1
31,2002,90,nonhosp,1
31,2002,91,nonhosp,3
31,2002,92,nonhosp,1
31,2002,93,nonhosp,3
31,2002,97,nonhosp,1
31,2002,99,hosp,3
31,2002,99,nonhosp,9
31,2002,101,hosp,2
31,2002,101,nonhosp,1
31,2002,102,hosp,1
31,2002,102,nonhosp,27
31,2002,120,nonhosp,2
31,2003,2,hosp,8
31,2003,2,nonhosp,46
31,2003,3,hosp,5
31,2003,3,nonhosp,54
31,2003,4,hosp,12
31,2003,4,nonhosp,74
31,2003,5,hosp,13
31,2003,5,nonhosp,93
31,2003,6,hosp,10
31,2003,6,nonhosp,69
31,2003,7,hosp,13
31,2003,7,nonhosp,106
31,2003,8,hosp,12
31,2003,8,nonhosp,104
31,2003,9,hosp,16
31,2003,9,nonhosp,143
31,2003,10,hosp,16
31,2003,10,nonhosp,138
31,2003,11,hosp,26
31,2003,11,nonhosp,184
31,2003,12,hosp,20
31,2003,12,nonhosp,189
31,2003,13,hosp,26
31,2003,13,nonhosp,210
31,2003,14,hosp,43
31,2003,14,nonhosp,246
31,2003,15,hosp,34
31,2003,15,nonhosp,306
31,2003,16,hosp,27
31,2003,16,nonhosp,282
31,2003,17,hosp,30
31,2003,17,nonhosp,267
31,2003,18,hosp,25
31,2003,18,nonhosp,304
31,2003,19,hosp,44
31,2003,19,nonhosp,330
31,2003,20,hosp,30
31,2003,20,nonhosp,374
31,2003,21,hosp,29
31,2003,21,nonhosp,367
31,2003,22,hosp,42
31,2003,22,nonhosp,368
31,2003,23,hosp,38
31,2003,23,nonhosp,318
31,2003,24,hosp,39
31,2003,24,nonhosp,307
31,2003,25,hosp,38
31,2003,25,nonhosp,308
31,2003,26,hosp,36
31,2003,26,nonhosp,311
31,2003,27,hosp,29
31,2003,27,nonhosp,303
31,2003,28,hosp,35
31,2003,28,nonhosp,292
31,2003,29,hosp,41
31,2003,29,nonhosp,266
31,2003,30,hosp,30
31,2003,30,nonhosp,277
31,2003,31,hosp,29
31,2003,31,nonhosp,310
31,2003,32,hosp,36
31,2003,32,nonhosp,259
31,2003,33,hosp,16
31,2003,33,nonhosp,265
31,2003,34,hosp,28
31,2003,34,nonhosp,258
31,2003,35,hosp,32
31,2003,35,nonhosp,255
31,2003,36,hosp,25
31,2003,36,nonhosp,256
31,2003,37,hosp,36
31,2003,37,nonhosp,263
31,2003,38,hosp,38
31,2003,38,nonhosp,240
31,2003,39,hosp,30
31,2003,39,nonhosp,260
31,2003,40,hosp,32
31,2003,40,nonhosp,276
31,2003,41,hosp,28
31,2003,41,nonhosp,250
31,2003,42,hosp,29
31,2003,42,nonhosp,254
31,2003,43,hosp,28
31,2003,43,nonhosp,217
31,2003,44,hosp,26
31,2003,44,nonhosp,219
31,2003,45,hosp,20
31,2003,45,nonhosp,202
31,2003,46,hosp,29
31,2003,46,nonhosp,242
31,2003,47,hosp,27
31,2003,47,nonhosp,184
31,2003,48,hosp,29
31,2003,48,nonhosp,177
31,2003,49,hosp,26
31,2003,49,nonhosp,161
31,2003,50,hosp,24
31,2003,50,nonhosp,178
31,2003,51,hosp,25
31,2003,51,nonhosp,173
31,2003,52,hosp,22
31,2003,52,nonhosp,160
31,2003,53,hosp,15
31,2003,53,nonhosp,154
31,2003,54,hosp,24
31,2003,54,nonhosp,146
31,2003,55,hosp,34
31,2003,55,nonhosp,125
31,2003,56,hosp,21
31,2003,56,nonhosp,132
31,2003,57,hosp,19
31,2003,57,nonhosp,113
31,2003,58,hosp,17
31,2003,58,nonhosp,98
31,2003,59,hosp,17
31,2003,59,nonhosp,113
31,2003,60,hosp,20
31,2003,60,nonhosp,109
31,2003,61,hosp,12
31,2003,61,nonhosp,82
31,2003,62,hosp,14
31,2003,62,nonhosp,81
31,2003,63,hosp,17
31,2003,63,nonhosp,75
31,2003,64,hosp,12
31,2003,64,nonhosp,89
31,2003,65,hosp,17
31,2003,65,nonhosp,62
31,2003,66,hosp,12
31,2003,66,nonhosp,48
31,2003,67,hosp,8
31,2003,67,nonhosp,59
31,2003,68,hosp,9
31,2003,68,nonhosp,39
31,2003,69,hosp,10
