state,Year,Age,hospitalization,numcase
13,2003,29,hosp,5
13,2003,29,nonhosp,36
13,2003,30,hosp,6
13,2003,30,nonhosp,41
13,2003,31,hosp,4
13,2003,31,nonhosp,22
13,2003,32,hosp,5
13,2003,32,nonhosp,27
13,2003,33,hosp,2
13,2003,33,nonhosp,29
13,2003,34,hosp,3
13,2003,34,nonhosp,29
13,2003,35,hosp,3
13,2003,35,nonhosp,28
13,2003,36,hosp,9
13,2003,36,nonhosp,12
13,2003,37,hosp,3
13,2003,37,nonhosp,26
13,2003,38,hosp,3
13,2003,38,nonhosp,22
13,2003,39,hosp,6
13,2003,39,nonhosp,22
13,2003,40,hosp,7
13,2003,40,nonhosp,24
13,2003,41,hosp,6
13,2003,41,nonhosp,19
13,2003,42,hosp,4
13,2003,42,nonhosp,24
13,2003,43,hosp,1
13,2003,43,nonhosp,26
13,2003,44,hosp,4
13,2003,44,nonhosp,16
13,2003,45,hosp,3
13,2003,45,nonhosp,17
13,2003,46,hosp,2
13,2003,46,nonhosp,13
13,2003,47,hosp,1
13,2003,47,nonhosp,14
13,2003,48,hosp,1
13,2003,48,nonhosp,15
13,2003,49,hosp,5
13,2003,49,nonhosp,21
13,2003,50,hosp,6
13,2003,50,nonhosp,17
13,2003,51,hosp,1
13,2003,51,nonhosp,12
13,2003,52,hosp,4
13,2003,52,nonhosp,13
13,2003,53,hosp,4
13,2003,53,nonhosp,9
13,2003,54,hosp,2
13,2003,54,nonhosp,10
13,2003,55,hosp,1
13,2003,55,nonhosp,10
13,2003,56,nonhosp,3
13,2003,57,hosp,2
13,2003,57,nonhosp,6
13,2003,58,hosp,1
13,2003,58,nonhosp,5
13,2003,59,hosp,1
13,2003,59,nonhosp,4
13,2003,60,hosp,1
13,2003,60,nonhosp,7
13,2003,61,hosp,2
13,2003,61,nonhosp,4
13,2003,62,hosp,2
13,2003,62,nonhosp,6
13,2003,63,nonhosp,6
13,2003,64,hosp,2
13,2003,64,nonhosp,5
13,2003,65,nonhosp,2
13,2003,66,hosp,1
13,2003,66,nonhosp,2
13,2003,67,hosp,1
13,2003,67,nonhosp,2
13,2003,68,hosp,1
13,2003,68,nonhosp,5
13,2003,69,nonhosp,2
13,2003,70,nonhosp,3
13,2003,71,nonhosp,2
13,2003,73,nonhosp,4
13,2003,74,nonhosp,2
13,2003,75,nonhosp,3
13,2003,76,nonhosp,2
13,2003,78,nonhosp,1
13,2003,80,hosp,1
13,2003,81,nonhosp,1
13,2003,82,nonhosp,1
13,2003,83,nonhosp,1
13,2003,84,nonhosp,1
13,2003,85,nonhosp,1
13,2004,2,hosp,3
13,2004,2,nonhosp,12
13,2004,3,hosp,3
13,2004,3,nonhosp,14
13,2004,4,hosp,4
13,2004,4,nonhosp,18
13,2004,5,hosp,6
13,2004,5,nonhosp,10
13,2004,6,hosp,2
13,2004,6,nonhosp,28
13,2004,7,hosp,5
13,2004,7,nonhosp,11
13,2004,8,hosp,5
13,2004,8,nonhosp,12
13,2004,9,hosp,4
13,2004,9,nonhosp,12
13,2004,10,hosp,2
13,2004,10,nonhosp,18
13,2004,11,hosp,4
13,2004,11,nonhosp,14
13,2004,12,hosp,4
13,2004,12,nonhosp,14
13,2004,13,hosp,3
13,2004,13,nonhosp,11
13,2004,14,hosp,1
13,2004,14,nonhosp,8
13,2004,15,hosp,1
13,2004,15,nonhosp,3
13,2004,16,hosp,2
13,2004,16,nonhosp,11
13,2004,17,hosp,2
13,2004,17,nonhosp,7
13,2004,18,hosp,1
13,2004,18,nonhosp,10
13,2004,19,nonhosp,11
13,2004,20,nonhosp,9
13,2004,21,hosp,1
13,2004,21,nonhosp,9
13,2004,22,hosp,2
13,2004,22,nonhosp,10
13,2004,23,hosp,3
13,2004,23,nonhosp,10
13,2004,24,nonhosp,12
13,2004,25,hosp,1
13,2004,25,nonhosp,8
13,2004,26,nonhosp,8
13,2004,27,hosp,1
13,2004,27,nonhosp,11
13,2004,28,nonhosp,8
13,2004,29,hosp,2
13,2004,29,nonhosp,10
13,2004,30,hosp,1
13,2004,30,nonhosp,12
13,2004,31,nonhosp,4
13,2004,32,hosp,1
13,2004,32,nonhosp,11
13,2004,33,hosp,1
13,2004,33,nonhosp,9
13,2004,34,nonhosp,5
13,2004,35,nonhosp,16
13,2004,36,nonhosp,5
13,2004,37,hosp,1
13,2004,37,nonhosp,3
13,2004,38,nonhosp,7
13,2004,39,nonhosp,6
13,2004,40,hosp,2
13,2004,40,nonhosp,8
13,2004,41,hosp,1
13,2004,41,nonhosp,9
13,2004,42,hosp,1
13,2004,42,nonhosp,4
13,2004,43,hosp,1
13,2004,43,nonhosp,4
13,2004,44,nonhosp,8
13,2004,45,nonhosp,7
13,2004,46,nonhosp,1
13,2004,47,nonhosp,4
13,2004,48,hosp,1
13,2004,48,nonhosp,8
13,2004,49,hosp,1
13,2004,49,nonhosp,1
13,2004,50,hosp,2
13,2004,50,nonhosp,5
13,2004,51,hosp,1
13,2004,51,nonhosp,1
13,2004,52,hosp,2
13,2004,53,hosp,1
13,2004,53,nonhosp,5
13,2004,54,nonhosp,2
13,2004,55,hosp,1
13,2004,55,nonhosp,1
13,2004,57,nonhosp,2
13,2004,59,hosp,1
13,2004,59,nonhosp,3
13,2004,61,nonhosp,2
13,2004,62,nonhosp,3
13,2004,63,nonhosp,2
13,2004,64,nonhosp,2
13,2004,68,nonhosp,1
13,2004,70,hosp,1
13,2004,70,nonhosp,1
13,2004,72,nonhosp,2
13,2004,74,hosp,1
13,2004,74,nonhosp,1
13,2004,76,nonhosp,1
13,2004,79,nonhosp,1
13,2004,80,nonhosp,1
13,2005,2,hosp,2
13,2005,2,nonhosp,16
13,2005,3,hosp,3
13,2005,3,nonhosp,9
13,2005,4,hosp,4
13,2005,4,nonhosp,14
13,2005,5,hosp,8
13,2005,5,nonhosp,19
13,2005,6,hosp,4
13,2005,6,nonhosp,19
13,2005,7,hosp,5
13,2005,7,nonhosp,19
13,2005,8,hosp,5
13,2005,8,nonhosp,18
13,2005,9,hosp,3
13,2005,9,nonhosp,22
13,2005,10,hosp,5
13,2005,10,nonhosp,19
13,2005,11,hosp,5
13,2005,11,nonhosp,14
13,2005,12,hosp,2
13,2005,12,nonhosp,15
13,2005,13,hosp,3
13,2005,13,nonhosp,26
13,2005,14,hosp,3
13,2005,14,nonhosp,13
13,2005,15,hosp,1
13,2005,15,nonhosp,5
13,2005,16,nonhosp,7
13,2005,17,hosp,2
13,2005,17,nonhosp,4
13,2005,18,hosp,1
13,2005,18,nonhosp,5
13,2005,19,hosp,2
13,2005,19,nonhosp,9
13,2005,20,hosp,3
13,2005,20,nonhosp,12
13,2005,21,hosp,1
13,2005,21,nonhosp,8
13,2005,22,hosp,3
13,2005,22,nonhosp,4
13,2005,23,hosp,4
13,2005,23,nonhosp,8
13,2005,24,hosp,1
13,2005,24,nonhosp,8
13,2005,25,hosp,1
