state,Year,Age,hospitalization,numcase
51,2000,6,nonhosp,1
51,2000,9,hosp,1
51,2000,9,nonhosp,2
51,2000,10,hosp,1
51,2000,11,nonhosp,1
51,2000,14,nonhosp,2
51,2000,15,nonhosp,2
51,2000,16,nonhosp,1
51,2000,17,nonhosp,2
51,2000,18,nonhosp,1
51,2000,19,nonhosp,1
51,2000,20,nonhosp,1
51,2000,22,hosp,1
51,2000,22,nonhosp,1
51,2000,24,nonhosp,2
51,2000,25,hosp,1
51,2000,26,nonhosp,4
51,2000,28,nonhosp,1
51,2000,29,nonhosp,1
51,2000,30,nonhosp,2
51,2000,32,nonhosp,2
51,2000,33,nonhosp,1
51,2000,34,nonhosp,2
51,2000,35,nonhosp,1
51,2000,38,nonhosp,1
51,2000,50,hosp,1
51,2000,54,hosp,1
51,2001,2,hosp,1
51,2001,2,nonhosp,6
51,2001,3,hosp,1
51,2001,3,nonhosp,9
51,2001,4,hosp,2
51,2001,4,nonhosp,11
51,2001,5,hosp,1
51,2001,5,nonhosp,14
51,2001,6,nonhosp,25
51,2001,7,hosp,1
51,2001,7,nonhosp,17
51,2001,8,hosp,2
51,2001,8,nonhosp,21
51,2001,9,hosp,2
51,2001,9,nonhosp,35
51,2001,10,hosp,2
51,2001,10,nonhosp,21
51,2001,11,hosp,2
51,2001,11,nonhosp,28
51,2001,12,hosp,4
51,2001,12,nonhosp,38
51,2001,13,hosp,1
51,2001,13,nonhosp,34
51,2001,14,hosp,4
51,2001,14,nonhosp,37
51,2001,15,hosp,5
51,2001,15,nonhosp,40
51,2001,16,hosp,4
51,2001,16,nonhosp,30
51,2001,17,hosp,3
51,2001,17,nonhosp,43
51,2001,18,hosp,3
51,2001,18,nonhosp,33
51,2001,19,hosp,3
51,2001,19,nonhosp,35
51,2001,20,hosp,5
51,2001,20,nonhosp,55
51,2001,21,hosp,1
51,2001,21,nonhosp,34
51,2001,22,hosp,5
51,2001,22,nonhosp,30
51,2001,23,hosp,1
51,2001,23,nonhosp,32
51,2001,24,hosp,2
51,2001,24,nonhosp,34
51,2001,25,hosp,3
51,2001,25,nonhosp,46
51,2001,26,hosp,6
51,2001,26,nonhosp,33
51,2001,27,hosp,3
51,2001,27,nonhosp,28
51,2001,28,hosp,5
51,2001,28,nonhosp,35
51,2001,29,hosp,7
51,2001,29,nonhosp,21
51,2001,30,hosp,5
51,2001,30,nonhosp,50
51,2001,31,hosp,4
51,2001,31,nonhosp,34
51,2001,32,hosp,6
51,2001,32,nonhosp,43
51,2001,33,hosp,8
51,2001,33,nonhosp,44
51,2001,34,hosp,1
51,2001,34,nonhosp,29
51,2001,35,hosp,3
51,2001,35,nonhosp,49
51,2001,36,hosp,5
51,2001,36,nonhosp,40
51,2001,37,hosp,1
51,2001,37,nonhosp,37
51,2001,38,hosp,2
51,2001,38,nonhosp,38
51,2001,39,hosp,4
51,2001,39,nonhosp,42
51,2001,40,hosp,3
51,2001,40,nonhosp,32
51,2001,41,hosp,7
51,2001,41,nonhosp,35
51,2001,42,hosp,5
51,2001,42,nonhosp,33
51,2001,43,hosp,1
51,2001,43,nonhosp,31
51,2001,44,hosp,7
51,2001,44,nonhosp,25
51,2001,45,hosp,4
51,2001,45,nonhosp,27
51,2001,46,hosp,6
51,2001,46,nonhosp,20
51,2001,47,hosp,2
51,2001,47,nonhosp,16
51,2001,48,hosp,4
51,2001,48,nonhosp,22
51,2001,49,hosp,2
51,2001,49,nonhosp,19
51,2001,50,hosp,2
51,2001,50,nonhosp,15
51,2001,51,hosp,2
51,2001,51,nonhosp,25
51,2001,52,hosp,3
51,2001,52,nonhosp,18
51,2001,53,nonhosp,17
51,2001,54,hosp,3
51,2001,54,nonhosp,9
51,2001,55,hosp,1
51,2001,55,nonhosp,15
51,2001,56,nonhosp,13
51,2001,57,hosp,1
51,2001,57,nonhosp,13
51,2001,58,hosp,5
51,2001,58,nonhosp,12
51,2001,59,hosp,6
51,2001,59,nonhosp,10
51,2001,60,nonhosp,13
51,2001,61,hosp,1
51,2001,61,nonhosp,15
51,2001,62,nonhosp,6
51,2001,63,hosp,4
51,2001,63,nonhosp,6
51,2001,64,hosp,1
51,2001,64,nonhosp,4
51,2001,65,hosp,1
51,2001,65,nonhosp,5
51,2001,66,hosp,1
51,2001,66,nonhosp,9
51,2001,67,hosp,1
51,2001,67,nonhosp,6
51,2001,68,nonhosp,2
51,2001,69,hosp,1
51,2001,69,nonhosp,6
51,2001,70,hosp,2
51,2001,70,nonhosp,2
51,2001,71,hosp,1
51,2001,71,nonhosp,1
51,2001,72,nonhosp,3
51,2001,73,nonhosp,1
51,2001,74,nonhosp,2
51,2001,75,nonhosp,1
51,2001,76,nonhosp,5
51,2001,77,nonhosp,2
51,2001,78,hosp,1
51,2001,78,nonhosp,1
51,2001,79,nonhosp,1
51,2001,80,nonhosp,2
51,2001,82,nonhosp,2
51,2001,83,hosp,1
51,2001,83,nonhosp,1
51,2001,86,nonhosp,2
51,2001,87,nonhosp,1
51,2002,2,hosp,11
51,2002,2,nonhosp,79
51,2002,3,hosp,17
51,2002,3,nonhosp,87
51,2002,4,hosp,12
51,2002,4,nonhosp,108
51,2002,5,hosp,24
51,2002,5,nonhosp,116
51,2002,6,hosp,15
51,2002,6,nonhosp,123
51,2002,7,hosp,20
51,2002,7,nonhosp,150
51,2002,8,hosp,20
51,2002,8,nonhosp,176
51,2002,9,hosp,20
51,2002,9,nonhosp,152
51,2002,10,hosp,17
51,2002,10,nonhosp,187
51,2002,11,hosp,32
51,2002,11,nonhosp,184
51,2002,12,hosp,21
51,2002,12,nonhosp,230
51,2002,13,hosp,26
51,2002,13,nonhosp,242
51,2002,14,hosp,21
51,2002,14,nonhosp,235
51,2002,15,hosp,23
51,2002,15,nonhosp,251
51,2002,16,hosp,26
51,2002,16,nonhosp,241
51,2002,17,hosp,31
51,2002,17,nonhosp,223
51,2002,18,hosp,25
51,2002,18,nonhosp,215
51,2002,19,hosp,31
51,2002,19,nonhosp,252
51,2002,20,hosp,30
51,2002,20,nonhosp,275
51,2002,21,hosp,29
51,2002,21,nonhosp,253
51,2002,22,hosp,36
51,2002,22,nonhosp,259
51,2002,23,hosp,32
51,2002,23,nonhosp,220
51,2002,24,hosp,34
51,2002,24,nonhosp,238
51,2002,25,hosp,28
51,2002,25,nonhosp,262
51,2002,26,hosp,35
51,2002,26,nonhosp,220
51,2002,27,hosp,21
51,2002,27,nonhosp,248
51,2002,28,hosp,32
51,2002,28,nonhosp,232
51,2002,29,hosp,26
51,2002,29,nonhosp,253
51,2002,30,hosp,25
51,2002,30,nonhosp,229
51,2002,31,hosp,22
51,2002,31,nonhosp,231
51,2002,32,hosp,32
51,2002,32,nonhosp,215
51,2002,33,hosp,30
51,2002,33,nonhosp,220
51,2002,34,hosp,35
51,2002,34,nonhosp,237
51,2002,35,hosp,30
51,2002,35,nonhosp,228
51,2002,36,hosp,24
51,2002,36,nonhosp,236
51,2002,37,hosp,22
51,2002,37,nonhosp,211
51,2002,38,hosp,26
51,2002,38,nonhosp,185
51,2002,39,hosp,24
51,2002,39,nonhosp,168
51,2002,40,hosp,22
51,2002,40,nonhosp,177
51,2002,41,hosp,19
51,2002,41,nonhosp,172
51,2002,42,hosp,19
51,2002,42,nonhosp,175
51,2002,43,hosp,12
51,2002,43,nonhosp,156
51,2002,44,hosp,20
51,2002,44,nonhosp,156
51,2002,45,hosp,25
51,2002,45,nonhosp,148
51,2002,46,hosp,21
51,2002,46,nonhosp,147
51,2002,47,hosp,25
51,2002,47,nonhosp,132
51,2002,48,hosp,20
51,2002,48,nonhosp,100
51,2002,49,hosp,21
51,2002,49,nonhosp,113
51,2002,50,hosp,18
51,2002,50,nonhosp,104
51,2002,51,hosp,13
51,2002,51,nonhosp,124
51,2002,52,hosp,13
51,2002,52,nonhosp,89
51,2002,53,hosp,10
51,2002,53,nonhosp,65
51,2002,54,hosp,13
51,2002,54,nonhosp,84
51,2002,55,hosp,4
51,2002,55,nonhosp,74
51,2002,56,hosp,15
51,2002,56,nonhosp,62
51,2002,57,hosp,10
51,2002,57,nonhosp,70
51,2002,58,hosp,5
51,2002,58,nonhosp,52
51,2002,59,hosp,9
51,2002,59,nonhosp,66
51,2002,60,hosp,9
51,2002,60,nonhosp,48
51,2002,61,hosp,8
51,2002,61,nonhosp,41
51,2002,62,hosp,8
51,2002,62,nonhosp,53
51,2002,63,hosp,6
51,2002,63,nonhosp,51
51,2002,64,hosp,8
51,2002,64,nonhosp,29
51,2002,65,hosp,9
51,2002,65,nonhosp,35
51,2002,66,hosp,6
