state,Year,Age,severe,numcase
21,2002,15,Mild,172
21,2002,15,Severe,1
21,2002,16,Mild,195
21,2002,16,Severe,1
21,2002,17,Mild,209
21,2002,18,Mild,187
21,2002,18,Severe,1
21,2002,19,Mild,207
21,2002,19,Severe,2
21,2002,20,Mild,191
21,2002,20,Severe,3
21,2002,21,Mild,190
21,2002,21,Severe,2
21,2002,22,Mild,175
21,2002,23,Mild,147
21,2002,24,Mild,161
21,2002,25,Mild,172
21,2002,25,Severe,1
21,2002,26,Mild,166
21,2002,26,Severe,1
21,2002,27,Mild,133
21,2002,28,Mild,136
21,2002,29,Mild,151
21,2002,29,Severe,1
21,2002,30,Mild,137
21,2002,30,Severe,1
21,2002,31,Mild,140
21,2002,32,Mild,143
21,2002,33,Mild,139
21,2002,34,Mild,118
21,2002,34,Severe,1
21,2002,35,Mild,136
21,2002,35,Severe,2
21,2002,36,Mild,123
21,2002,36,Severe,4
21,2002,37,Mild,109
21,2002,37,Severe,1
21,2002,38,Mild,150
21,2002,38,Severe,5
21,2002,39,Mild,134
21,2002,40,Mild,127
21,2002,41,Mild,115
21,2002,42,Mild,102
21,2002,43,Mild,100
21,2002,44,Mild,133
21,2002,45,Mild,111
21,2002,46,Mild,98
21,2002,46,Severe,1
21,2002,47,Mild,95
21,2002,48,Mild,102
21,2002,49,Mild,82
21,2002,50,Mild,91
21,2002,51,Mild,78
21,2002,52,Mild,92
21,2002,52,Severe,1
21,2002,53,Mild,70
21,2002,54,Mild,76
21,2002,55,Mild,67
21,2002,56,Mild,66
21,2002,56,Severe,1
21,2002,57,Mild,77
21,2002,58,Mild,52
21,2002,59,Mild,58
21,2002,60,Mild,52
21,2002,61,Mild,43
21,2002,62,Mild,62
21,2002,62,Severe,1
21,2002,63,Mild,36
21,2002,64,Mild,55
21,2002,65,Mild,51
21,2002,66,Mild,42
21,2002,67,Mild,44
21,2002,68,Mild,25
21,2002,69,Mild,37
21,2002,70,Mild,23
21,2002,71,Mild,19
21,2002,72,Mild,21
21,2002,73,Mild,22
21,2002,74,Mild,18
21,2002,75,Mild,14
21,2002,76,Mild,20
21,2002,77,Mild,12
21,2002,78,Mild,13
21,2002,79,Mild,8
21,2002,80,Mild,7
21,2002,81,Mild,5
21,2002,82,Mild,7
21,2002,83,Mild,8
21,2002,84,Mild,7
21,2002,85,Mild,6
21,2002,86,Mild,1
21,2002,87,Mild,1
21,2002,88,Mild,1
21,2002,91,Mild,5
21,2002,92,Mild,1
21,2002,98,Mild,1
21,2002,99,Mild,1
21,2003,2,Mild,38
21,2003,3,Mild,41
21,2003,4,Mild,52
21,2003,5,Mild,43
21,2003,5,Severe,4
21,2003,6,Mild,54
21,2003,6,Severe,1
21,2003,7,Mild,61
21,2003,7,Severe,1
21,2003,8,Mild,70
21,2003,9,Mild,78
21,2003,10,Mild,90
21,2003,10,Severe,2
21,2003,11,Mild,90
21,2003,11,Severe,1
21,2003,12,Mild,114
21,2003,12,Severe,2
21,2003,13,Mild,132
21,2003,14,Mild,123
21,2003,14,Severe,1
21,2003,15,Mild,131
21,2003,15,Severe,5
21,2003,16,Mild,145
21,2003,17,Mild,152
21,2003,17,Severe,4
21,2003,18,Mild,132
21,2003,18,Severe,1
21,2003,19,Mild,136
21,2003,19,Severe,3
21,2003,20,Mild,137
21,2003,20,Severe,3
21,2003,21,Mild,127
21,2003,21,Severe,1
21,2003,22,Mild,110
21,2003,22,Severe,3
21,2003,23,Mild,119
21,2003,23,Severe,1
21,2003,24,Mild,106
21,2003,24,Severe,4
21,2003,25,Mild,109
21,2003,26,Mild,94
21,2003,27,Mild,117
21,2003,27,Severe,2
21,2003,28,Mild,98
21,2003,28,Severe,1
21,2003,29,Mild,109
21,2003,30,Mild,103
21,2003,31,Mild,80
21,2003,31,Severe,2
21,2003,32,Mild,91
21,2003,32,Severe,3
21,2003,33,Mild,82
21,2003,33,Severe,2
21,2003,34,Mild,96
21,2003,34,Severe,1
21,2003,35,Mild,83
21,2003,36,Mild,81
21,2003,36,Severe,2
21,2003,37,Mild,73
21,2003,38,Mild,83
21,2003,39,Mild,82
21,2003,39,Severe,1
21,2003,40,Mild,63
21,2003,40,Severe,2
21,2003,41,Mild,65
21,2003,41,Severe,1
21,2003,42,Mild,87
21,2003,43,Mild,54
21,2003,44,Mild,75
21,2003,45,Mild,81
21,2003,46,Mild,61
21,2003,46,Severe,2
21,2003,47,Mild,73
21,2003,48,Mild,51
21,2003,49,Mild,65
21,2003,49,Severe,1
21,2003,50,Mild,81
21,2003,50,Severe,3
21,2003,51,Mild,59
21,2003,52,Mild,53
21,2003,53,Mild,46
21,2003,53,Severe,1
21,2003,54,Mild,54
21,2003,54,Severe,1
21,2003,55,Mild,40
21,2003,55,Severe,1
21,2003,56,Mild,39
21,2003,56,Severe,1
21,2003,57,Mild,35
21,2003,58,Mild,36
21,2003,59,Mild,41
21,2003,60,Mild,49
21,2003,61,Mild,24
21,2003,62,Mild,34
21,2003,63,Mild,23
21,2003,63,Severe,1
21,2003,64,Mild,25
21,2003,65,Mild,25
21,2003,66,Mild,20
21,2003,67,Mild,22
21,2003,68,Mild,21
21,2003,68,Severe,1
21,2003,69,Mild,24
21,2003,70,Mild,18
21,2003,71,Mild,7
21,2003,72,Mild,19
21,2003,73,Mild,22
21,2003,74,Mild,6
21,2003,75,Mild,6
21,2003,76,Mild,6
21,2003,77,Mild,7
21,2003,78,Mild,9
21,2003,78,Severe,1
21,2003,79,Mild,7
21,2003,80,Mild,7
21,2003,81,Mild,3
21,2003,82,Mild,5
21,2003,82,Severe,1
21,2003,83,Mild,4
21,2003,84,Mild,6
21,2003,85,Mild,7
21,2003,86,Mild,1
21,2003,87,Mild,6
21,2003,88,Mild,1
21,2003,88,Severe,1
21,2003,89,Mild,1
21,2003,91,Mild,2
21,2003,92,Mild,1
21,2003,94,Mild,1
21,2004,2,Mild,11
21,2004,3,Mild,9
21,2004,4,Mild,11
21,2004,4,Severe,1
21,2004,5,Mild,11
21,2004,5,Severe,2
21,2004,6,Mild,8
21,2004,7,Mild,8
21,2004,8,Mild,10
21,2004,9,Mild,14
21,2004,10,Mild,13
21,2004,11,Mild,18
21,2004,12,Mild,22
21,2004,13,Mild,18
21,2004,14,Mild,31
21,2004,14,Severe,1
21,2004,15,Mild,35
21,2004,16,Mild,36
21,2004,17,Mild,23
21,2004,17,Severe,1
21,2004,18,Mild,34
21,2004,19,Mild,23
21,2004,20,Mild,27
21,2004,20,Severe,2
21,2004,21,Mild,26
21,2004,21,Severe,2
21,2004,22,Mild,23
21,2004,23,Mild,29
21,2004,23,Severe,1
21,2004,24,Mild,31
21,2004,25,Mild,29
21,2004,26,Mild,26
21,2004,27,Mild,27
21,2004,28,Mild,31
21,2004,29,Mild,33
21,2004,29,Severe,1
21,2004,30,Mild,33
21,2004,31,Mild,31
21,2004,32,Mild,33
21,2004,33,Mild,22
21,2004,34,Mild,30
21,2004,35,Mild,20
21,2004,36,Mild,23
21,2004,37,Mild,26
21,2004,38,Mild,24
21,2004,39,Mild,17
21,2004,40,Mild,26
21,2004,41,Mild,22
21,2004,42,Mild,31
21,2004,43,Mild,19
21,2004,44,Mild,12
21,2004,45,Mild,13
21,2004,45,Severe,2
21,2004,46,Mild,14
21,2004,47,Mild,13
21,2004,47,Severe,1
21,2004,48,Mild,17
21,2004,49,Mild,18
21,2004,50,Mild,16
21,2004,51,Mild,18
21,2004,52,Mild,14
21,2004,53,Mild,16
21,2004,54,Mild,21
21,2004,55,Mild,14
21,2004,56,Mild,6
21,2004,57,Mild,10
21,2004,58,Mild,16
21,2004,59,Mild,9
21,2004,60,Mild,10
21,2004,61,Mild,9
21,2004,62,Mild,5
21,2004,63,Mild,8
21,2004,63,Severe,1
21,2004,64,Mild,8
21,2004,65,Mild,7
21,2004,66,Mild,5
21,2004,67,Mild,6
21,2004,67,Severe,1
21,2004,68,Mild,6
21,2004,69,Mild,3
21,2004,70,Mild,6
21,2004,71,Mild,3
21,2004,72,Mild,6
21,2004,73,Mild,6
21,2004,73,Severe,1
21,2004,74,Mild,3
21,2004,75,Mild,1
21,2004,76,Mild,1
21,2004,77,Mild,1
21,2004,78,Mild,3
21,2004,79,Mild,1
21,2004,80,Mild,1
21,2004,81,Mild,1
21,2004,83,Mild,1
21,2004,84,Mild,2
21,2004,85,Mild,2
21,2004,86,Mild,1
21,2004,87,Mild,1
21,2004,88,Mild,1
21,2004,89,Mild,1
21,2005,2,Mild,17
21,2005,2,Severe,3
21,2005,3,Mild,29
21,2005,3,Severe,1
21,2005,4,Mild,33
21,2005,4,Severe,1
21,2005,5,Mild,31
21,2005,5,Severe,3
21,2005,6,Mild,46
21,2005,6,Severe,8
21,2005,7,Mild,46
21,2005,8,Mild,41
21,2005,8,Severe,5
21,2005,9,Mild,52
21,2005,9,Severe,3
21,2005,10,Mild,48
21,2005,10,Severe,1
21,2005,11,Mild,65
21,2005,11,Severe,1
21,2005,12,Mild,70
21,2005,12,Severe,3
21,2005,13,Mild,85
21,2005,14,Mild,76
21,2005,15,Mild,91
21,2005,15,Severe,1
21,2005,16,Mild,97
21,2005,16,Severe,2
21,2005,17,Mild,121
21,2005,17,Severe,1
21,2005,18,Mild,105
21,2005,18,Severe,4
21,2005,19,Mild,104
21,2005,19,Severe,3
21,2005,20,Mild,86
21,2005,20,Severe,3
21,2005,21,Mild,97
21,2005,21,Severe,4
21,2005,22,Mild,86
21,2005,22,Severe,1
21,2005,23,Mild,96
21,2005,23,Severe,2
21,2005,24,Mild,101
21,2005,24,Severe,3
21,2005,25,Mild,99
21,2005,25,Severe,2
21,2005,26,Mild,65
21,2005,26,Severe,2
21,2005,27,Mild,83
21,2005,27,Severe,2
21,2005,28,Mild,58
21,2005,28,Severe,1
21,2005,29,Mild,89
21,2005,29,Severe,4
21,2005,30,Mild,72
21,2005,30,Severe,3
21,2005,31,Mild,64
21,2005,31,Severe,2
21,2005,32,Mild,77
21,2005,32,Severe,3
21,2005,33,Mild,71
21,2005,33,Severe,2
21,2005,34,Mild,49
21,2005,34,Severe,4
21,2005,35,Mild,81
21,2005,36,Mild,63
21,2005,36,Severe,1
21,2005,37,Mild,51
21,2005,38,Mild,67
21,2005,38,Severe,1
21,2005,39,Mild,69
21,2005,39,Severe,1
21,2005,40,Mild,61
21,2005,40,Severe,1
21,2005,41,Mild,62
21,2005,42,Mild,54
21,2005,42,Severe,1
21,2005,43,Mild,44
21,2005,43,Severe,1
21,2005,44,Mild,45
21,2005,44,Severe,1
21,2005,45,Mild,34
21,2005,46,Mild,40
21,2005,46,Severe,2
21,2005,47,Mild,59
21,2005,47,Severe,2
21,2005,48,Mild,41
21,2005,48,Severe,1
21,2005,49,Mild,46
21,2005,49,Severe,4
21,2005,50,Mild,40
21,2005,50,Severe,2
21,2005,51,Mild,51
21,2005,51,Severe,3
21,2005,52,Mild,47
21,2005,53,Mild,39
21,2005,53,Severe,3
21,2005,54,Mild,41
21,2005,55,Mild,33
21,2005,56,Mild,31
21,2005,57,Mild,28
21,2005,58,Mild,17
21,2005,58,Severe,1
21,2005,59,Mild,36
21,2005,59,Severe,1
21,2005,60,Mild,27
21,2005,60,Severe,1
21,2005,61,Mild,26
21,2005,61,Severe,1
21,2005,62,Mild,23
21,2005,63,Mild,13
