"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48"
712,429,340,281,179.75,179.75,179.75,179.75,188.75,188.75,188.75,188.75,180.5,180.5,180.5,180.5,217,217,217,217,266.25,266.25,266.25,266.25,307.5,307.5,307.5,307.5,308.5,308.5,308.5,308.5,320.5,320.5,320.5,320.5,296.75,296.75,296.75,296.75,266.25,266.25,266.25,266.25,273.25,273.25,273.25,273.25
3153,1936,1499,1325,893.75,893.75,893.75,893.75,855.75,855.75,855.75,855.75,836,836,836,836,865.75,865.75,865.75,865.75,912.75,912.75,912.75,912.75,1035.5,1035.5,1035.5,1035.5,1107.5,1107.5,1107.5,1107.5,1152.75,1152.75,1152.75,1152.75,1160.25,1160.25,1160.25,1160.25,1093.25,1093.25,1093.25,1093.25,1074.25,1074.25,1074.25,1074.25
2011,1124,917,802,506.5,506.5,506.5,506.5,425.5,425.5,425.5,425.5,419.75,419.75,419.75,419.75,441.25,441.25,441.25,441.25,565.25,565.25,565.25,565.25,651,651,651,651,706.75,706.75,706.75,706.75,745,745,745,745,700.25,700.25,700.25,700.25,672.25,672.25,672.25,672.25,655.75,655.75,655.75,655.75
6214,3728,2918,2663,1464.75,1464.75,1464.75,1464.75,1204.25,1204.25,1204.25,1204.25,1052.5,1052.5,1052.5,1052.5,1047.5,1047.5,1047.5,1047.5,1209,1209,1209,1209,1379.25,1379.25,1379.25,1379.25,1547.25,1547.25,1547.25,1547.25,1642.5,1642.5,1642.5,1642.5,1659.25,1659.25,1659.25,1659.25,1618,1618,1618,1618,1605.75,1605.75,1605.75,1605.75
894,565,447,411,250.75,250.75,250.75,250.75,195.25,195.25,195.25,195.25,162,162,162,162,165.25,165.25,165.25,165.25,200.25,200.25,200.25,200.25,238.75,238.75,238.75,238.75,278,278,278,278,266.5,266.5,266.5,266.5,269.5,269.5,269.5,269.5,306.5,306.5,306.5,306.5,254.75,254.75,254.75,254.75
